index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,79,221,207.667,0.000346651,1
1,5,79,223,102,0.000364655,1
2,5,79,247,242.083,0.000402106,1
3,5,79,224,132.308,0.00034095,1
4,5,79,216,341.857,0.000323056,1
5,6,58,108,201.769,0.000177809,1
6,6,58,97,275.375,0.000147161,1
7,6,58,101,263.615,0.000174583,1
8,6,58,95,101.833,0.000151479,1
9,6,58,110,191.692,0.000174282,1
10,3,106,457,234.333,0.000371488,1
11,3,106,453,160.5,0.000375346,1
12,3,106,482,157.286,0.0003725,1
13,3,106,498,171.385,0.000379704,1
14,3,106,470,203.111,0.000360697,1
15,8,154,382,140.368,0.00103751,1
16,8,154,366,136.2,0.000915455,1
17,8,154,346,172.385,0.000690676,1
18,8,154,377,268.682,0.000833097,1
19,8,154,371,194.867,0.000968927,1
20,5,152,917,107.333,0.00186269,1
21,5,152,886,98.0882,0.00158649,1
22,5,152,894,124.067,0.00173707,1
23,5,152,927,117.433,0.0017224,1
24,5,152,930,115.5,0.00164017,1
25,8,141,450,238,0.00144196,1
26,8,141,458,165.15,0.00141166,1
27,8,141,434,251.4,0.0013555,1
28,8,141,454,226.682,0.00144629,1
29,8,141,470,164.368,0.00139019,1
30,4,117,661,140.059,0.000749649,1
31,4,117,679,154.952,0.000804523,1
32,4,117,662,98.9643,0.000805144,1
33,4,117,675,124.923,0.000815314,1
34,4,117,676,131.875,0.000809633,1
35,5,193,931,179.214,0.00176951,1
36,5,193,939,144.944,0.00164759,1
37,5,193,933,178.8,0.0018446,1
38,5,193,949,122.75,0.00192363,1
39,5,193,1000,108.8,0.0018803,1
40,7,50,57,159.846,0.000104399,1
41,7,50,54,290.385,0.00010468,1
42,7,50,64,255.077,0.000119819,1
43,7,50,61,144.333,9.9549e-05,1
44,7,50,51,180.917,8.6365e-05,1
45,3,92,369,168.7,0.000310251,1
46,3,92,352,211.778,0.000286847,1
47,3,92,349,183.769,0.00028858,1
48,3,92,386,139.133,0.000300112,1
49,3,92,353,188.273,0.000291466,1
50,6,153,515,236,0.00100886,1
51,6,153,525,187.647,0.00108684,1
52,6,153,488,156.647,0.000976421,1
53,6,153,528,236.688,0.0011747,1
54,6,153,509,165.235,0.00110622,1
55,5,116,372,133.455,0.000716135,1
56,5,116,410,139.9,0.000703881,1
57,5,116,360,153.688,0.000648376,1
58,5,116,378,206,0.000631914,1
59,5,116,389,164.278,0.000613689,1
60,3,134,862,154.071,0.000589374,1
61,3,134,857,145.438,0.000573253,1
62,3,134,822,148.455,0.000550359,1
63,3,134,846,193.833,0.000575367,1
64,3,134,854,224.167,0.000585786,1
65,8,171,657,194.048,0.00251703,1
66,8,171,713,132.5,0.00289895,1
67,8,171,749,162.161,0.00272748,1
68,8,171,706,165.111,0.00212794,1
69,8,171,721,156.483,0.00270161,1
70,7,118,368,224.316,0.000885137,1
71,7,118,346,210.3,0.000714272,1
72,7,118,344,228.444,0.000757274,1
73,7,118,390,178.192,0.000977823,1
74,7,118,362,183.348,0.000780027,1
75,8,160,561,167.261,0.00194999,1
76,8,160,539,185.565,0.00164616,1
