index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,79,221,138.269,0.0191306,1
1,5,79,223,73.1034,0.0189989,1
2,5,79,247,147.111,0.0193916,1
3,5,79,224,90.5263,0.0194426,1
4,5,79,216,199.417,0.0193495,1
5,6,58,108,159.825,0.00985356,1
6,6,58,97,157.357,0.00961284,1
7,6,58,101,226.033,0.00966776,1
8,6,58,95,90.625,0.00909395,1
9,6,58,110,151.974,0.00972479,1
10,3,106,457,141.741,0.031138,1
11,3,106,453,127.5,0.0349236,1
12,3,106,482,104.7,0.0343335,1
13,3,106,498,117.347,0.0335955,1
14,3,106,470,102.852,0.0357484,1
15,8,154,382,114.67,0.0848404,1
16,8,154,366,91.9804,0.073352,1
17,8,154,346,142.768,0.0755377,1
18,8,154,377,190.713,0.0766346,1
19,8,154,371,150.98,0.0773977,1
20,5,152,917,108.879,0.105438,1
21,5,152,886,113.496,0.0953623,1
22,5,152,894,163.866,0.104095,1
23,5,152,927,148.898,0.104942,1
24,5,152,930,112.252,0.106102,1
25,8,141,450,131.931,0.0695401,1
26,8,141,458,124.616,0.0684681,1
27,8,141,434,120.337,0.0714984,1
28,8,141,454,184.145,0.0689276,1
29,8,141,470,114.038,0.0715996,1
30,4,117,661,132.042,0.0567395,1
31,4,117,679,197.536,0.0636169,1
32,4,117,662,111.27,0.0552984,1
33,4,117,675,143.766,0.0497595,1
34,4,117,676,155.677,0.0522148,1
35,5,193,931,98.48,0.132875,1
36,5,193,939,90.4485,0.13659,1
37,5,193,933,113.9,0.126446,1
38,5,193,949,73.3279,0.130841,1
39,5,193,1000,66.9394,0.120629,1
40,7,50,57,112.133,0.00589373,1
41,7,50,54,215.727,0.0057965,1
42,7,50,64,203.542,0.00674134,1
43,7,50,61,133.87,0.00595452,1
44,7,50,51,135.688,0.00588001,1
45,3,92,369,156.483,0.0333162,1
46,3,92,352,189.306,0.0321792,1
47,3,92,349,212.812,0.0314231,1
48,3,92,386,121.453,0.0326718,1
49,3,92,353,202.216,0.031919,1
50,6,153,515,96.7763,0.072929,1
51,6,153,525,163.46,0.0763352,1
52,6,153,488,121.585,0.0726603,1
53,6,153,528,138.271,0.0774497,1
54,6,153,509,113.612,0.0735478,1
55,5,116,372,144.055,0.053188,1
56,5,116,410,150.845,0.0593101,1
57,5,116,360,171.253,0.0509433,1
58,5,116,378,240.037,0.0605492,1
59,5,116,389,199.075,0.0543437,1
60,3,134,862,101.123,0.0715757,1
61,3,134,857,112.27,0.0662834,1
62,3,134,822,115.966,0.0660534,1
63,3,134,846,129.779,0.0655934,1
64,3,134,854,140.365,0.0656783,1
65,8,171,657,143.908,0.112431,1
66,8,171,713,123.706,0.128866,1
67,8,171,749,159.959,0.123555,1
68,8,171,706,142.065,0.118751,1
69,8,171,721,143.946,0.126697,1
70,7,118,368,199,0.0516114,1
71,7,118,346,164.547,0.0461365,1
72,7,118,344,231.667,0.0517304,1
73,7,118,390,151.197,0.0558061,1
74,7,118,362,169.862,0.0621562,1
75,8,160,561,141.316,0.090591,1
76,8,160,539,148.621,0.0849286,1
77,8,160,528,145.549,0.0901756,1
78,8,160,538,187.394,0.0896003,1
79,8,160,518,138,0.0839098,1
80,6,75,162,81.7551,0.0152526,1
81,6,75,161,93.5536,0.0162021,1
82,6,75,166,69.3077,0.0159105,1
83,6,75,177,68.1176,0.0171082,1
84,6,75,180,114.973,0.0178911,1
85,4,133,698,115.155,0.0574969,1
86,4,133,689,148.531,0.064699,1
87,4,133,734,135.325,0.0651464,1
88,4,133,697,107.528,0.065029,1
89,4,133,703,126.226,0.0606088,1
90,8,68,104,205.684,0.0127165,1
91,8,68,140,79.4286,0.0132476,1
92,8,68,121,161.408,0.0137404,1
93,8,68,122,141.114,0.0137381,1
94,8,68,100,97.7917,0.0122904,1
95,6,167,765,153.278,0.102307,1
96,6,167,831,149.909,0.103974,1
97,6,167,836,131.965,0.106783,1
98,6,167,777,148.913,0.0978021,1
99,6,167,818,151.21,0.100016,1
100,8,59,71,97.5,0.00820086,1
101,8,59,51,45,0.00695514,1
102,8,59,73,126.439,0.00908743,1
103,8,59,68,95.8,0.00986955,1
104,8,59,80,90.15,0.00944604,1
105,4,192,1409,98.1333,0.171666,1
106,4,192,1400,100.058,0.188777,1
107,4,192,1482,99.2195,0.200255,1
108,4,192,1429,109.83,0.172336,1
109,4,192,1436,92.5484,0.176575,1
110,6,98,241,158.133,0.03253,1
111,6,98,226,127.545,0.0319972,1
112,6,98,193,206.528,0.031925,1
113,6,98,219,125.093,0.0299784,1
114,6,98,200,173.917,0.0291947,1
115,4,67,147,125.857,0.0131061,1
116,4,67,163,145.941,0.0121572,1
117,4,67,164,149.065,0.0132486,1
118,4,67,151,213,0.0119524,1
119,4,67,167,191.417,0.0124976,1
120,6,129,386,132.581,0.0528415,1
121,6,129,335,150.333,0.0506441,1
122,6,129,372,127.879,0.0513564,1
123,6,129,351,143.134,0.0492514,1
124,6,129,360,134.776,0.0513988,1
125,6,154,549,148.912,0.077379,1
126,6,154,487,190.552,0.0826338,1
127,6,154,494,164.081,0.0758429,1
128,6,154,502,202.22,0.0779206,1
129,6,154,503,171.578,0.0826163,1
130,7,145,376,168.017,0.063583,1
131,7,145,372,176.769,0.0659517,1
132,7,145,391,169.722,0.0662428,1
133,7,145,392,113.413,0.068224,1
134,7,145,379,138.98,0.0617639,1
135,5,117,526,111.039,0.0507508,1
136,5,117,550,83.0822,0.0481847,1
137,5,117,549,89.2113,0.0469986,1
138,5,117,531,63.6605,0.0473521,1
139,5,117,545,94.0506,0.0465233,1
140,3,59,157,161.15,0.00981769,1
141,3,59,140,103.571,0.009086,1
142,3,59,161,153.838,0.0108654,1
143,3,59,145,142.385,0.00939489,1
144,3,59,159,165.435,0.0107953,1
145,4,182,1631,159.184,0.184466,1
146,4,182,1667,116.042,0.205812,1
147,4,182,1639,130.435,0.183827,1
148,4,182,1681,120.823,0.17873,1
149,4,182,1669,152.618,0.181498,1
150,5,192,990,118.912,0.131235,1
151,5,192,973,151.606,0.134921,1
152,5,192,996,123.451,0.144919,1
153,5,192,956,138.323,0.143332,1
154,5,192,940,122.493,0.134722,1
155,6,114,353,142.707,0.0409003,1
156,6,114,342,206.512,0.0440815,1
157,6,114,376,167.365,0.046688,1
158,6,114,340,177.181,0.041185,1
159,6,114,334,143,0.0404198,1
160,3,98,397,171.703,0.0326797,1
161,3,98,435,116.707,0.0337085,1
162,3,98,414,127.816,0.0332437,1
163,3,98,431,125.423,0.0307032,1
164,3,98,430,123.205,0.0342312,1
165,4,154,855,89.9449,0.0946118,1
166,4,154,867,113.095,0.0869505,1
167,4,154,860,81.5789,0.098832,1
168,4,154,884,66.3261,0.0918014,1
169,4,154,864,124.042,0.0786694,1
170,3,155,793,112.657,0.0756374,1
171,3,155,880,100.208,0.0779516,1
172,3,155,789,129.772,0.0824086,1
173,3,155,793,126.593,0.0721539,1
174,3,155,799,112.218,0.0710504,1
175,6,192,1195,105.774,0.162981,1
176,6,192,1224,140.49,0.15817,1
177,6,192,1222,101.051,0.157443,1
178,6,192,1178,126.228,0.149815,1
179,6,192,1198,139.248,0.13906,1
180,7,53,51,127.357,0.00541925,1
181,7,53,65,118.133,0.00760311,1
182,7,53,63,185.5,0.00642731,1
183,7,53,60,90.7419,0.00656412,1
184,7,53,62,0,0.00273454,1
185,5,131,383,129.655,0.0512395,1
186,5,131,394,109.53,0.0527205,1
187,5,131,432,93.1507,0.0506581,1
188,5,131,391,83.9104,0.0511165,1
189,5,131,413,104.526,0.0486914,1
190,3,106,341,132.627,0.0310539,1
191,3,106,339,202.473,0.0325189,1
192,3,106,331,134.179,0.030108,1
193,3,106,336,209.947,0.0318352,1
194,3,106,369,230.03,0.0332161,1
195,5,157,593,168.248,0.0848833,1
196,5,157,567,188.81,0.0786319,1
197,5,157,515,199.87,0.0783479,1
198,5,157,553,182.15,0.0753067,1
199,5,157,541,151.748,0.0747497,1
200,6,79,210,98.8519,0.0181146,1
201,6,79,171,89.4211,0.0184445,1
202,6,79,179,139.484,0.018976,1
203,6,79,149,112.222,0.0170234,1
204,6,79,161,143.297,0.0186526,1
205,8,109,366,178.543,0.0476077,1
206,8,109,350,173.405,0.0460833,1
207,8,109,362,101.817,0.0470242,1
208,8,109,355,153.051,0.0422255,1
209,8,109,362,156.889,0.0429197,1
210,5,68,147,210.833,0.0131199,1
211,5,68,148,126.957,0.012772,1
212,5,68,123,155.566,0.0111333,1
213,5,68,130,152.341,0.0124477,1
214,5,68,147,134.902,0.0133716,1
215,6,182,1073,122.662,0.140839,1
216,6,182,1048,134.727,0.133111,1
217,6,182,1021,145.331,0.138234,1
218,6,182,1067,135.523,0.142774,1
219,6,182,1105,124.083,0.146166,1
220,5,74,173,145.4,0.0146835,1
221,5,74,218,111.087,0.018271,1
222,5,74,206,189.118,0.016845,1
223,5,74,196,83.3519,0.0162441,1
224,5,74,191,151.769,0.0163845,1
225,6,117,472,98.6111,0.0467669,1
226,6,117,531,73.2088,0.0557954,1
227,6,117,505,69.0556,0.0500091,1
228,6,117,499,96.4505,0.0490579,1
229,6,117,507,119.176,0.0481699,1
230,3,170,1174,60.2867,0.109214,1
231,3,170,1184,98.1603,0.103021,1
232,3,170,1174,84.6487,0.106759,1
233,3,170,1139,62.4364,0.104203,1
234,3,170,1201,60.8443,0.118774,1
235,3,151,1104,129.789,0.0993686,1
236,3,151,1162,127.831,0.096187,1
237,3,151,1122,108.963,0.0899782,1
238,3,151,1150,117.685,0.087723,1
239,3,151,1154,116.288,0.0959583,1
240,5,91,286,122.767,0.0248183,1
241,5,91,290,159.333,0.0259298,1
242,5,91,305,99.7143,0.0245522,1
243,5,91,275,143.671,0.0268327,1
244,5,91,296,88.4043,0.0260744,1
245,5,136,467,129.463,0.0553484,1
246,5,136,544,82.36,0.0575946,1
