index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,79,221,184.122,0.0161644,1
1,5,79,223,142.615,0.0172675,1
2,5,79,247,283.375,0.016672,1
3,5,79,224,127.923,0.0160352,1
4,5,79,216,341.857,0.0188541,1
5,6,58,108,217.737,0.00840467,1
6,6,58,97,275.375,0.00835508,1
7,6,58,101,349.579,0.00828476,1
8,6,58,95,116,0.00740068,1
9,6,58,110,224.579,0.00810888,1
10,3,106,457,177.654,0.0367671,1
11,3,106,453,213.071,0.0383343,1
12,3,106,482,212.071,0.0419653,1
13,3,106,498,171.436,0.0386536,1
14,3,106,470,265.444,0.0402911,1
15,8,154,382,173.92,0.0733352,1
16,8,154,366,120.684,0.0705296,1
17,8,154,346,185.712,0.0617857,1
18,8,154,377,280.909,0.0627529,1
19,8,154,371,192.093,0.0637103,1
20,5,152,917,145.944,0.100755,1
21,5,152,886,155.641,0.105979,1
22,5,152,894,211.594,0.119756,1
23,5,152,927,195.029,0.109191,1
24,5,152,930,153.61,0.100696,1
25,8,141,450,222.545,0.0590467,1
26,8,141,458,131.221,0.0560549,1
27,8,141,434,196.03,0.0579333,1
28,8,141,454,252.889,0.0554791,1
29,8,141,470,180.176,0.0554692,1
30,4,117,661,177.479,0.0675507,1
31,4,117,679,289.897,0.0618993,1
32,4,117,662,153.028,0.0593548,1
33,4,117,675,201.481,0.0621423,1
34,4,117,676,204.697,0.0658701,1
35,5,193,931,168,0.127479,1
36,5,193,939,137.643,0.126517,1
37,5,193,933,170.25,0.120373,1
38,5,193,949,212.545,0.134877,1
39,5,193,1000,120.19,0.133781,1
40,7,50,57,159.846,0.00556738,1
41,7,50,54,239.684,0.00549364,1
42,7,50,64,275.478,0.00545051,1
43,7,50,61,162.952,0.0053778,1
44,7,50,51,159.5,0.00501375,1
45,3,92,369,258.774,0.0280705,1
46,3,92,352,265.167,0.0289108,1
47,3,92,349,272.578,0.0292122,1
48,3,92,386,194.385,0.033773,1
49,3,92,353,286.875,0.028472,1
50,6,153,515,236,0.0626501,1
51,6,153,525,218.2,0.0707984,1
52,6,153,488,158.986,0.0686498,1
53,6,153,528,271.591,0.0678368,1
54,6,153,509,216.529,0.0632002,1
55,5,116,372,167.906,0.042534,1
56,5,116,410,184.603,0.0455959,1
57,5,116,360,216.64,0.0405176,1
58,5,116,378,291.696,0.0458183,1
59,5,116,389,244.831,0.0429428,1
60,3,134,862,158.571,0.0853116,1
61,3,134,857,229.762,0.0883093,1
62,3,134,822,229.3,0.089616,1
63,3,134,846,217.938,0.0842222,1
64,3,134,854,364.917,0.0881422,1
65,8,171,657,207.046,0.101131,1
66,8,171,713,164.449,0.0951508,1
67,8,171,749,221.654,0.108494,1
68,8,171,706,180.328,0.0967734,1
69,8,171,721,218.826,0.0969001,1
70,7,118,368,251.356,0.0422346,1
71,7,118,346,234.485,0.0363317,1
72,7,118,344,304.333,0.0417299,1
73,7,118,390,217.722,0.0456854,1
74,7,118,362,226.936,0.0475902,1
75,8,160,561,207.712,0.0765824,1
