index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,79,221,147.97,0.0213917,1
1,5,79,223,82.2727,0.0221039,1
2,5,79,247,170.882,0.0265134,1
3,5,79,224,92.1667,0.0163324,1
4,5,79,216,218.308,0.0189718,1
5,6,58,108,165.029,0.00455868,1
6,6,58,97,157.357,0.00306182,1
7,6,58,101,226.033,0.00445,1
8,6,58,95,90.625,0.00392958,1
9,6,58,110,154.543,0.00449531,1
10,3,106,457,158.263,0.0532414,1
11,3,106,453,127.5,0.0505922,1
12,3,106,482,113.5,0.0568111,1
13,3,106,498,118.514,0.0705193,1
14,3,106,470,105.579,0.0551804,1
15,8,154,382,116.023,0.0778886,1
16,8,154,366,97.5309,0.0666323,1
17,8,154,346,143.396,0.0632835,1
18,8,154,377,201.177,0.0842171,1
19,8,154,371,149.98,0.101372,1
20,5,152,917,106.914,0.444994,1
21,5,152,886,113.496,0.331424,1
22,5,152,894,166.317,0.369726,1
23,5,152,927,149.164,0.376095,1
24,5,152,930,112.425,0.371796,1
25,8,141,450,133.039,0.157692,1
26,8,141,458,124.757,0.127758,1
27,8,141,434,144.906,0.126773,1
28,8,141,454,201.734,0.158474,1
29,8,141,470,120.646,0.142925,1
30,4,117,661,133.678,0.131837,1
31,4,117,679,195.37,0.191591,1
32,4,117,662,111.146,0.119041,1
33,4,117,675,143.766,0.140203,1
34,4,117,676,155.614,0.156879,1
35,5,193,931,114.426,0.455884,1
36,5,193,939,96.2903,0.468005,1
37,5,193,933,118.41,0.396264,1
38,5,193,949,84.2737,0.462576,1
39,5,193,1000,74.3596,0.450027,1
40,7,50,57,129.875,0.000859449,1
41,7,50,54,218.542,0.000868907,1
42,7,50,64,198,0.00098012,1
43,7,50,61,133.87,0.000567603,1
44,7,50,51,135.688,0.000579155,1
45,3,92,369,153.918,0.0331057,1
46,3,92,352,186.8,0.0353706,1
47,3,92,349,218.073,0.0326868,1
48,3,92,386,123.559,0.0310667,1
49,3,92,353,206.447,0.0305389,1
50,6,153,515,118.741,0.146961,1
51,6,153,525,168.531,0.167043,1
52,6,153,488,130.844,0.14421,1
53,6,153,528,145.178,0.202261,1
54,6,153,509,153.027,0.162877,1
55,5,116,372,136.026,0.0587424,1
56,5,116,410,151.5,0.072029,1
57,5,116,360,168.865,0.0625983,1
58,5,116,378,239.123,0.0776642,1
59,5,116,389,199.481,0.0726564,1
60,3,134,862,114.143,0.175304,1
61,3,134,857,115.987,0.158209,1
62,3,134,822,120.39,0.197915,1
63,3,134,846,140.061,0.175905,1
64,3,134,854,149.634,0.191372,1
65,8,171,657,156.139,0.322648,1
66,8,171,713,124.391,0.421236,1
67,8,171,749,159.959,0.491045,1
68,8,171,706,145.637,0.43459,1
69,8,171,721,144.88,0.327275,1
70,7,118,368,202.267,0.0858426,1
71,7,118,346,204.175,0.0732447,1
72,7,118,344,231.836,0.0589723,1
73,7,118,390,151.614,0.0863601,1
74,7,118,362,167.662,0.0816625,1
75,8,160,561,139.426,0.263885,1
76,8,160,539,149.352,0.209457,1
77,8,160,528,170.356,0.264076,1
78,8,160,538,179.405,0.209451,1
79,8,160,518,139.081,0.125666,1
80,6,75,162,85.6487,0.0109069,1
81,6,75,161,95.7273,0.0087763,1
82,6,75,166,63.8837,0.00988705,1
83,6,75,177,106.08,0.0112573,1
84,6,75,180,134.75,0.0118692,1
85,4,133,698,114.485,0.16041,1
86,4,133,689,153.228,0.134725,1
87,4,133,734,134.557,0.209189,1
88,4,133,697,107.429,0.16481,1
89,4,133,703,124.594,0.166109,1
90,8,68,104,205.684,0.00329794,1
91,8,68,140,79.0175,0.00556071,1
92,8,68,121,179.423,0.00697847,1
93,8,68,122,148.029,0.00524578,1
94,8,68,100,136.304,0.00325511,1
95,6,167,765,153.75,0.383463,1
96,6,167,831,153.375,0.536489,1
97,6,167,836,129.795,0.444859,1
98,6,167,777,153.794,0.344394,1
99,6,167,818,152.468,0.396795,1
100,8,59,71,120,0.000856804,1
101,8,59,51,45,0.000454998,1
102,8,59,73,137.333,0.00142496,1
103,8,59,68,95.9,0.000931197,1
104,8,59,80,107.381,0.00199271,1
105,4,192,1409,115.874,0.734779,1
106,4,192,1400,98.3727,0.7827,1
107,4,192,1482,106.234,0.812937,1
108,4,192,1429,136.063,0.846434,1
109,4,192,1436,96.3933,0.662203,1
110,6,98,241,155.75,0.0283159,1
111,6,98,226,123.31,0.0193322,1
112,6,98,193,207.02,0.0176989,1
113,6,98,219,122.422,0.0168417,1
114,6,98,200,169.216,0.0182331,1
115,4,67,147,125.857,0.00596484,1
116,4,67,163,145.941,0.00960189,1
117,4,67,164,170.667,0.00868638,1
118,4,67,151,213,0.0083288,1
119,4,67,167,191.417,0.0117924,1
120,6,129,386,132.581,0.0621093,1
121,6,129,335,145.495,0.0537229,1
122,6,129,372,125.173,0.0722418,1
123,6,129,351,139.604,0.0658316,1
124,6,129,360,148.61,0.053289,1
125,6,154,549,148.353,0.168271,1
126,6,154,487,190.552,0.122115,1
127,6,154,494,165.429,0.132115,1
128,6,154,502,217.063,0.16164,1
129,6,154,503,176.612,0.154829,1
130,7,145,376,176.03,0.0902302,1
131,7,145,372,178.033,0.0861587,1
132,7,145,391,175.98,0.10671,1
