index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,79,221,207.667,0.00507532,1
1,5,79,223,123.75,0.00436841,1
2,5,79,247,251.455,0.00559335,1
3,5,79,224,137.231,0.00406635,1
4,5,79,216,341.857,0.00374859,1
5,6,58,108,240.75,0.00142802,1
6,6,58,97,275.375,0.00113871,1
7,6,58,101,349.579,0.00151811,1
8,6,58,95,116.846,0.00135802,1
9,6,58,110,230.476,0.00132518,1
10,3,106,457,235.5,0.00590726,1
11,3,106,453,213.071,0.00578406,1
12,3,106,482,212.071,0.00647766,1
13,3,106,498,219.346,0.00653663,1
14,3,106,470,265.444,0.00634568,1
15,8,154,382,167.25,0.0197958,1
16,8,154,366,141.055,0.0154605,1
17,8,154,346,201.385,0.0153356,1
18,8,154,377,282.259,0.0260047,1
19,8,154,371,200.263,0.0232173,1
20,5,152,917,151.736,0.0390293,1
21,5,152,886,163.03,0.0324265,1
22,5,152,894,214.613,0.0278746,1
23,5,152,927,194.618,0.0389022,1
24,5,152,930,175.915,0.0349031,1
25,8,141,450,243,0.0386349,1
26,8,141,458,189.71,0.0343701,1
27,8,141,434,280.2,0.0366828,1
28,8,141,454,285.385,0.0547529,1
29,8,141,470,180.404,0.0371502,1
30,4,117,661,187.114,0.0104074,1
31,4,117,679,339.75,0.0144854,1
32,4,117,662,158.696,0.0109671,1
33,4,117,675,199.418,0.0128067,1
34,4,117,676,203.959,0.0127798,1
35,5,193,931,213.714,0.053788,1
36,5,193,939,179.825,0.0551543,1
37,5,193,933,192.055,0.057155,1
38,5,193,949,161.094,0.0648296,1
39,5,193,1000,137.469,0.0481436,1
40,7,50,57,159.846,0.000384994,1
41,7,50,54,290.385,0.000329819,1
42,7,50,64,313.615,0.000391406,1
43,7,50,61,162.952,0.000214029,1
44,7,50,51,180.917,0.00022044,1
45,3,92,369,269.448,0.00426444,1
46,3,92,352,407.643,0.00466656,1
47,3,92,349,274.2,0.00404798,1
48,3,92,386,214.267,0.00396751,1
49,3,92,353,312.25,0.00416629,1
50,6,153,515,236,0.0260808,1
51,6,153,525,257.58,0.0311114,1
52,6,153,488,203.65,0.024947,1
53,6,153,528,271.591,0.0316631,1
54,6,153,509,228.737,0.0272047,1
55,5,116,372,178.085,0.00739906,1
56,5,116,410,191.83,0.00903182,1
57,5,116,360,307.474,0.011644,1
58,5,116,378,294.519,0.00890268,1
59,5,116,389,237.063,0.00966957,1
60,3,134,862,169.875,0.0140394,1
61,3,134,857,192.375,0.0123528,1
62,3,134,822,229.593,0.0145684,1
63,3,134,846,308.056,0.0119618,1
64,3,134,854,364.917,0.0139596,1
65,8,171,657,243.333,0.0498965,1
66,8,171,713,168.034,0.0668337,1
67,8,171,749,222.867,0.0736115,1
68,8,171,706,206,0.075142,1
69,8,171,721,251.206,0.066183,1
70,7,118,368,286.696,0.0166123,1
71,7,118,346,280.971,0.0143448,1
72,7,118,344,328.056,0.0158034,1
73,7,118,390,244.595,0.0169894,1
74,7,118,362,229.167,0.020985,1
75,8,160,561,215.772,0.046205,1
76,8,160,539,246.905,0.0439041,1
77,8,160,528,276.345,0.0545699,1
78,8,160,538,259.778,0.0386049,1
79,8,160,518,261.85,0.037646,1
80,6,75,162,141.273,0.00288986,1
81,6,75,161,147.579,0.00240112,1
82,6,75,166,119.435,0.00268844,1
83,6,75,177,169.091,0.0035151,1
84,6,75,180,234.706,0.00284948,1
85,4,133,698,162.97,0.0125347,1
86,4,133,689,250.167,0.0168257,1
87,4,133,734,206.111,0.0185978,1
88,4,133,697,156.59,0.0158732,1
89,4,133,703,226.069,0.0178065,1
90,8,68,104,266.133,0.00149529,1
91,8,68,140,134.105,0.00289557,1
92,8,68,121,279.312,0.00289968,1
93,8,68,122,214.6,0.00169565,1
94,8,68,100,186.353,0.00112911,1
95,6,167,765,240.263,0.0540253,1
96,6,167,831,205.464,0.0536895,1
97,6,167,836,215.429,0.0486402,1
98,6,167,777,268.611,0.0396718,1
99,6,167,818,216.75,0.047236,1
100,8,59,71,160.667,0.000376148,1
101,8,59,51,49.5,0.000258894,1
102,8,59,73,192.267,0.000520203,1
103,8,59,68,191.6,0.000427355,1
104,8,59,80,150.333,0.000850813,1
105,4,192,1409,174.14,0.0539557,1
106,4,192,1400,154.254,0.0531558,1
107,4,192,1482,240.939,0.0495804,1
108,4,192,1429,226,0.0564101,1
109,4,192,1436,151.49,0.0448298,1
110,6,98,241,229.548,0.0062535,1
111,6,98,226,195.375,0.0046891,1
112,6,98,193,334.909,0.00447877,1
113,6,98,219,147.571,0.00431303,1
114,6,98,200,245.619,0.0047563,1
115,4,67,147,176.2,0.00155927,1
116,4,67,163,191.179,0.00177149,1
117,4,67,164,243.846,0.00177659,1
118,4,67,151,292.875,0.00198203,1
119,4,67,167,328.143,0.0026583,1
120,6,129,386,202.217,0.0148598,1
121,6,129,335,210.349,0.0101745,1
122,6,129,372,188.958,0.0134885,1
123,6,129,351,292.478,0.0137506,1
124,6,129,360,267.083,0.0121255,1
125,6,154,549,225.286,0.0307248,1
126,6,154,487,289.148,0.0238537,1
127,6,154,494,284.04,0.024421,1
128,6,154,502,289.638,0.0308029,1
129,6,154,503,233.863,0.027618,1
130,7,145,376,231.083,0.0182393,1
131,7,145,372,290.812,0.0250739,1
132,7,145,391,271.375,0.0236827,1
133,7,145,392,182.447,0.0185276,1
134,7,145,379,216.5,0.0153886,1
135,5,117,526,192.381,0.015579,1
136,5,117,550,171.833,0.0148929,1
137,5,117,549,179.167,0.0175334,1
138,5,117,531,143.053,0.023832,1
139,5,117,545,160.514,0.0237013,1
140,3,59,157,205.611,0.00157865,1
141,3,59,140,253.167,0.00108536,1
142,3,59,161,239.75,0.00141565,1
143,3,59,145,218.444,0.00125789,1
144,3,59,159,254.375,0.00159785,1
145,4,182,1631,218.394,0.0596116,1
146,4,182,1667,167.969,0.0598187,1
147,4,182,1639,196.611,0.0501677,1
148,4,182,1681,166.532,0.0375033,1
149,4,182,1669,208.983,0.0617128,1
150,5,192,990,182.28,0.0384032,1
151,5,192,973,222.041,0.0461725,1
152,5,192,996,193.917,0.0446671,1
153,5,192,956,197.86,0.0510707,1
154,5,192,940,161.689,0.0438448,1
155,6,114,353,189.056,0.012267,1
156,6,114,342,282.381,0.0124882,1
157,6,114,376,227.846,0.0113942,1
158,6,114,340,241.045,0.0108099,1
159,6,114,334,273.643,0.0146806,1
160,3,98,397,310.071,0.00522576,1
161,3,98,435,190.143,0.0062138,1
162,3,98,414,173,0.00549478,1
163,3,98,431,205.588,0.00508297,1
164,3,98,430,285.333,0.00534953,1
165,4,154,855,198.8,0.0257408,1
166,4,154,867,258.286,0.0240213,1
167,4,154,860,134.75,0.0235125,1
168,4,154,884,124.16,0.0206326,1
169,4,154,864,199,0.022716,1
170,3,155,793,215,0.0125901,1
171,3,155,880,167,0.0153672,1
172,3,155,789,259.727,0.0138318,1
173,3,155,793,310.167,0.0134969,1
174,3,155,799,237.429,0.0128224,1
175,6,192,1195,188.5,0.105033,1
176,6,192,1224,222.116,0.10112,1
177,6,192,1222,197.855,0.118536,1
178,6,192,1178,185.955,0.120458,1
179,6,192,1198,280.607,0.121264,1
180,7,53,51,162.091,0.000279523,1
181,7,53,65,126.571,0.000631875,1
182,7,53,63,251,0.000385626,1
183,7,53,60,148.9,0.000436663,1
184,7,53,62,0,0.000125209,1
185,5,131,383,207.05,0.015539,1
186,5,131,394,187.583,0.0148613,1
187,5,131,432,167.091,0.0135449,1
188,5,131,391,130.588,0.014425,1
189,5,131,413,185.214,0.01226,1
190,3,106,341,269.643,0.0050452,1
191,3,106,339,292.625,0.00389181,1
192,3,106,331,333.5,0.00435411,1
193,3,106,336,431.636,0.00504039,1
194,3,106,369,379.333,0.00537121,1
195,5,157,593,233.029,0.0239623,1
196,5,157,567,294.571,0.0219805,1
197,5,157,515,262.864,0.0192215,1
198,5,157,553,318.778,0.0271583,1
199,5,157,541,249.9,0.0187409,1
200,6,79,210,165.714,0.00516778,1
201,6,79,171,157.808,0.00293233,1
202,6,79,179,207.706,0.00273496,1
203,6,79,149,246,0.00274761,1
204,6,79,161,237.083,0.00339588,1
205,8,109,366,238.375,0.0183194,1
206,8,109,350,235.704,0.0142928,1
207,8,109,362,165.172,0.0141132,1
208,8,109,355,204.484,0.0122127,1
209,8,109,362,203.621,0.0146123,1
210,5,68,147,297,0.00182222,1
211,5,68,148,180.333,0.00181267,1
212,5,68,123,227.5,0.00138816,1
213,5,68,130,192.679,0.00146506,1
214,5,68,147,172.667,0.00175803,1
215,6,182,1073,152.094,0.0774732,1
216,6,182,1048,183.708,0.0657365,1
217,6,182,1021,229.897,0.0764519,1
218,6,182,1067,168.967,0.0797284,1
219,6,182,1105,162.646,0.0793161,1
220,5,74,173,239.913,0.00283528,1
221,5,74,218,170.4,0.00373567,1
222,5,74,206,247.308,0.0040971,1
223,5,74,196,191.917,0.00293089,1
224,5,74,191,263.214,0.0028579,1
225,6,117,472,218,0.0173954,1
226,6,117,531,139.077,0.0337087,1
227,6,117,505,152.409,0.0225588,1
228,6,117,499,194.529,0.0194611,1
229,6,117,507,173.148,0.0314812,1
230,3,170,1174,113.102,0.019542,1
231,3,170,1184,159.85,0.017681,1
232,3,170,1174,171.091,0.0203945,1
233,3,170,1139,138.902,0.0208563,1
234,3,170,1201,179.533,0.0216145,1
235,3,151,1104,192.4,0.0177807,1
236,3,151,1162,232.028,0.0192595,1
237,3,151,1122,164.333,0.0167657,1
238,3,151,1150,278.692,0.018406,1
239,3,151,1154,196.889,0.0206338,1
240,5,91,286,186.172,0.00452729,1
241,5,91,290,273.267,0.00729043,1
242,5,91,305,190.808,0.00640451,1
243,5,91,275,229.429,0.0060165,1
244,5,91,296,122.696,0.00569538,1
245,5,136,467,188.286,0.0186561,1
246,5,136,544,140.19,0.0210107,1
247,5,136,493,176.25,0.0182085,1
248,5,136,539,196.529,0.0175116,1
249,5,136,496,181.562,0.0146014,1
250,8,76,160,220.188,0.00224248,1
251,8,76,145,279.562,0.00302325,1
252,8,76,142,196.042,0.00281713,1
253,8,76,148,231.682,0.0021575,1
254,8,76,136,248.269,0.001485,1
255,3,73,245,165.167,0.00219955,1
256,3,73,227,219.714,0.00178918,1
257,3,73,243,186.25,0.00224432,1
258,3,73,254,201.2,0.00257346,1
259,3,73,245,257.6,0.00232038,1
260,6,156,788,203.59,0.0497773,1
261,6,156,783,288.906,0.0554159,1
262,6,156,758,192.56,0.0403382,1
263,6,156,776,186.015,0.0419675,1
264,6,156,773,183.182,0.0465294,1
265,5,157,865,132.424,0.0399332,1
266,5,157,913,267.231,0.046833,1
267,5,157,887,240.219,0.0430414,1
268,5,157,876,179.094,0.0348878,1
269,5,157,859,181.033,0.034701,1
270,8,63,102,234.278,0.00188894,1
271,8,63,74,113.5,0.000411324,1
272,8,63,86,156.72,0.00103662,1
273,8,63,95,286.786,0.00107604,1
274,8,63,86,225.308,0.000681731,1
275,5,98,330,210.773,0.00632376,1
276,5,98,300,292.174,0.0066188,1
277,5,98,331,261.923,0.00797908,1
278,5,98,330,238.185,0.0084107,1
279,5,98,358,234.067,0.00836613,1
280,3,55,145,133.7,0.00105623,1
281,3,55,166,199.92,0.00117214,1
282,3,55,173,242.333,0.00122239,1
283,3,55,171,196.235,0.00137365,1
284,3,55,156,165.429,0.00111973,1
285,6,179,967,186.883,0.0578072,1
286,6,179,1008,209.035,0.0667976,1
287,6,179,1003,168.449,0.0529226,1
288,6,179,1049,207.507,0.0515505,1
289,6,179,1027,244.985,0.0658684,1
290,6,114,345,309.35,0.0118878,1
291,6,114,350,206.708,0.0142923,1
292,6,114,360,220.024,0.0138358,1
293,6,114,347,235.75,0.011357,1
294,6,114,309,249.5,0.0110067,1
295,3,114,476,380.312,0.00646854,1
296,3,114,455,204.455,0.00584067,1
297,3,114,464,298.676,0.00645123,1
298,3,114,507,195.933,0.00535427,1
299,3,114,487,202.6,0.0057312,1
300,8,190,659,210.97,0.0534337,1
301,8,190,661,200.486,0.0605849,1
302,8,190,678,216.41,0.0532027,1
303,8,190,656,290.115,0.0902858,1
304,8,190,678,175.24,0.0692834,1
305,3,59,145,315.308,0.00132712,1
306,3,59,144,376.75,0.0013142,1
307,3,59,135,322.857,0.0013776,1
308,3,59,147,235.714,0.00120008,1
309,3,59,161,167.714,0.00152239,1
310,5,96,234,218.913,0.00430242,1
311,5,96,240,168.194,0.00548029,1
312,5,96,210,276.882,0.00364374,1
313,5,96,233,405.429,0.0057771,1
314,5,96,233,392.6,0.00501218,1
315,3,124,492,247.696,0.00772953,1
316,3,124,500,248.857,0.00700974,1
317,3,124,467,192.25,0.00714793,1
318,3,124,461,288,0.00734266,1
319,3,124,492,323.143,0.00756886,1
320,8,67,81,52.125,0.000474806,1
321,8,67,85,95.4167,0.0005188,1
322,8,67,84,30.8462,0.000374644,1
323,8,67,85,110.846,0.000761113,1
324,8,67,77,19.5,0.000391687,1
325,8,197,821,247.286,0.107841,1
326,8,197,818,182.613,0.0830775,1
327,8,197,834,212.433,0.118802,1
328,8,197,831,163.094,0.102389,1
329,8,197,818,182.125,0.101641,1
330,4,104,376,233,0.00779062,1
331,4,104,365,269.382,0.00664191,1
