index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,166,998,109.699,1.02318,1
1,5,166,997,130.344,2.38984,1
2,5,166,976,90.8462,7.83917,1
3,5,166,1011,95.983,1.56748,1
4,5,166,984,91.649,10.3645,1
5,7,212,824,118.06,0.822778,1
6,7,212,805,125.213,0.946108,1
7,7,212,841,114.159,1.72263,1
8,7,212,858,126.443,4.20138,1
9,7,212,806,98.4688,1.63937,1
10,5,178,1004,130.328,0.499271,1
11,5,178,967,140.278,3.58792,1
12,5,178,994,139.534,0.623129,1
13,5,178,1024,142.117,0.627047,1
14,5,178,1030,167.182,0.143537,1
15,3,148,930,146.303,0.996467,1
16,3,148,852,129.885,1.16417,1
17,3,148,886,149.337,0.585628,1
18,3,148,874,131.573,0.340185,1
19,3,148,922,144.958,0.297447,1
20,5,145,543,87.4896,2.41353,1
21,5,145,585,123.515,0.267876,1
22,5,145,496,147.308,0.415196,1
23,5,145,585,104.592,0.27659,1
24,5,145,552,159.38,0.48926,1
25,6,180,790,183.067,0.45797,1
26,6,180,782,122.733,0.282725,1
27,6,180,768,175.276,0.277801,1
28,6,180,795,115.14,0.935238,1
29,6,180,762,138.505,0.552683,1
30,4,55,95,281.913,0.0163999,1
31,4,55,97,138.812,0.0304693,1
32,4,55,108,164.9,0.0518409,1
33,4,55,100,146.294,0.0605845,1
34,4,55,101,217.231,0.0259286,1
35,8,197,860,108.835,8.90323,1
36,8,197,901,99.8146,8.29414,1
37,8,197,850,106.421,50.8577,1
38,8,197,828,94.2642,60.0771,0
39,8,197,853,99.7376,6.9081,1
40,3,98,406,117.014,0.221546,1
41,3,98,359,238.07,0.230412,1
42,3,98,391,100.5,0.143156,1
43,3,98,356,127.047,0.205952,1
44,3,98,375,170.475,0.319004,1
45,8,207,941,129.947,8.27912,1
46,8,207,964,107.919,10.3034,1
47,8,207,960,112.212,11.8632,1
48,8,207,944,82.6981,3.50411,1
49,8,207,939,139.784,4.04667,1
50,3,73,223,156.471,0.0578477,1
51,3,73,236,94.5909,0.0447082,1
52,3,73,226,185.413,0.0371406,1
53,3,73,232,264.621,0.0487946,1
54,3,73,222,108.73,0.0477435,1
55,4,63,157,169.074,0.0336792,1
56,4,63,172,259.2,0.021786,1
57,4,63,136,236,0.0303342,1
58,4,63,132,121,0.0235954,1
59,4,63,136,149.407,0.0302483,1
60,7,149,522,142.312,0.197272,1
61,7,149,563,122.812,0.339485,1
62,7,149,525,101.76,0.632531,1
63,7,149,511,165.828,0.205116,1
64,7,149,502,194.758,0.0798026,1
65,8,167,671,182.009,0.340877,1
66,8,167,699,145.953,0.339186,1
67,8,167,696,192.607,0.318731,1
68,8,167,658,184.827,0.584192,1
69,8,167,673,194.77,0.402309,1
70,7,157,641,158.019,0.566863,1
71,7,157,643,99.3596,1.07175,1
72,7,157,666,156.206,0.126591,1
73,7,157,695,134.228,0.209682,1
74,7,157,665,165.126,0.361028,1
75,6,189,950,89.3642,0.727143,1
