index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,166,998,86.7349,0.00319057,1
1,5,166,997,121.337,0.00314738,1
2,5,166,976,81.3253,0.00307729,1
3,5,166,1011,92.0602,0.00350687,1
4,5,166,984,89.9157,0.00314441,1
5,7,212,824,87.6459,0.00281861,1
6,7,212,805,84.783,0.00281178,1
7,7,212,841,80.2227,0.00285774,1
8,7,212,858,79.7877,0.00288129,1
9,7,212,806,60.4929,0.00275441,1
10,5,178,1004,105.185,0.00322899,1
11,5,178,967,123.978,0.0030673,1
12,5,178,994,122.607,0.0031921,1
13,5,178,1024,126.635,0.00321688,1
14,5,178,1030,148.303,0.00325688,1
15,3,148,930,136.439,0.00303767,1
16,3,148,852,111.791,0.00267717,1
17,3,148,886,119.311,0.00274296,1
18,3,148,874,121.73,0.0028999,1
19,3,148,922,128.243,0.0028988,1
20,5,145,543,77.4583,0.00184452,1
21,5,145,585,94.4552,0.00194078,1
22,5,145,496,111.676,0.00172679,1
23,5,145,585,76.6552,0.00197013,1
24,5,145,552,136.034,0.00188825,1
25,6,180,790,135.722,0.00258968,1
26,6,180,782,88.0333,0.00262847,1
27,6,180,768,140.589,0.00254994,1
28,6,180,795,87.1732,0.00260788,1
29,6,180,762,100.754,0.00252833,1
30,4,55,95,161.3,0.000406223,1
31,4,55,97,100.115,0.000457791,1
32,4,55,108,114.811,0.000436059,1
33,4,55,100,91.7692,0.000421191,1
34,4,55,101,129.264,0.00041566,1
35,8,197,860,97.0711,0.00285085,1
36,8,197,901,95.5051,0.00294712,1
37,8,197,850,93.0203,0.00299398,1
38,8,197,828,83.9796,0.00276667,1
39,8,197,853,91.2132,0.0028262,1
40,3,98,406,103.959,0.00135763,1
41,3,98,359,219.929,0.00120754,1
42,3,98,391,88.5612,0.00133472,1
43,3,98,356,113.092,0.00124691,1
44,3,98,375,134.98,0.00128948,1
45,8,207,941,111.7,0.00326802,1
46,8,207,964,87.6135,0.00339506,1
47,8,207,960,106.217,0.00323229,1
48,8,207,944,67.8301,0.00332042,1
49,8,207,939,124.483,0.00318639,1
50,3,73,223,98.6986,0.000796084,1
51,3,73,236,71.7222,0.000814268,1
52,3,73,226,140.181,0.000798679,1
53,3,73,232,163.918,0.000803057,1
54,3,73,222,78.6389,0.000777638,1
55,4,63,157,98.6833,0.0005783,1
56,4,63,172,130.937,0.000651338,1
57,4,63,136,109.194,0.000532142,1
58,4,63,132,58.5,0.000521862,1
59,4,63,136,82.7581,0.000539556,1
60,7,149,522,83.0805,0.0018392,1
61,7,149,563,69.6487,0.00191182,1
62,7,149,525,76.8121,0.00181352,1
63,7,149,511,84.1824,0.00179468,1
64,7,149,502,93.4094,0.00177932,1
65,8,167,671,136.527,0.00225234,1
66,8,167,699,105.299,0.00231968,1
67,8,167,696,148.461,0.00241661,1
68,8,167,658,138.281,0.00225723,1
69,8,167,673,149.645,0.0022603,1
70,7,157,641,128.146,0.00213583,1
71,7,157,643,82.6497,0.00224732,1
72,7,157,666,115.344,0.00221328,1
73,7,157,695,99.9108,0.00226004,1
74,7,157,665,135.28,0.00218072,1
75,6,189,950,84.7884,0.00308322,1
76,6,189,979,102.556,0.00313225,1
