index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,166,998,87.2606,0.00229648,1
1,5,166,997,121.337,0.00228092,1
2,5,166,976,81.3253,0.0022674,1
3,5,166,1011,92.0602,0.00236121,1
4,5,166,984,89.9157,0.0023058,1
5,7,212,824,88.4928,0.00211598,1
6,7,212,805,85.1848,0.00214668,1
7,7,212,841,80.2227,0.0021514,1
8,7,212,858,79.7877,0.00216516,1
9,7,212,806,60.4929,0.00207816,1
10,5,178,1004,105.185,0.00236637,1
11,5,178,967,123.978,0.00226493,1
12,5,178,994,122.607,0.0023024,1
13,5,178,1024,126.635,0.00236635,1
14,5,178,1030,148.303,0.00239063,1
15,3,148,930,136.439,0.00214649,1
16,3,148,852,111.791,0.00197031,1
17,3,148,886,119.311,0.00209155,1
18,3,148,874,121.73,0.00203618,1
19,3,148,922,128.243,0.00209822,1
20,5,145,543,78.5493,0.00140536,1
21,5,145,585,94.4552,0.0015081,1
22,5,145,496,111.676,0.00130848,1
23,5,145,585,77.1875,0.00145344,1
24,5,145,552,136.034,0.00140953,1
25,6,180,790,135.722,0.00192534,1
26,6,180,782,88.0333,0.00191931,1
27,6,180,768,140.589,0.00190705,1
28,6,180,795,87.1732,0.00195446,1
29,6,180,762,101.32,0.00187834,1
30,4,55,95,164.592,0.000326641,1
31,4,55,97,104.12,0.000329737,1
32,4,55,108,121.7,0.000356829,1
33,4,55,100,91.7692,0.000346078,1
34,4,55,101,131.75,0.000334346,1
35,8,197,860,97.0711,0.00214699,1
36,8,197,901,95.5051,0.00226544,1
37,8,197,850,93.4949,0.00241881,1
38,8,197,828,83.9796,0.00219465,1
39,8,197,853,91.2132,0.00221291,1
40,3,98,406,103.959,0.0010349,1
41,3,98,359,219.929,0.000912776,1
42,3,98,391,88.5612,0.000995864,1
43,3,98,356,113.092,0.000920681,1
44,3,98,375,134.98,0.000943203,1
45,8,207,941,111.7,0.00234712,1
46,8,207,964,87.6135,0.00235203,1
47,8,207,960,106.733,0.00236298,1
48,8,207,944,67.8301,0.00231175,1
49,8,207,939,124.483,0.00237795,1
50,3,73,223,98.6986,0.000601152,1
51,3,73,236,71.7222,0.000635147,1
52,3,73,226,140.181,0.000607055,1
53,3,73,232,163.918,0.000626261,1
54,3,73,222,78.6389,0.000599981,1
55,4,63,157,100.356,0.000455136,1
56,4,63,172,133.048,0.000483218,1
57,4,63,136,109.194,0.000417995,1
58,4,63,132,58.5,0.000419688,1
59,4,63,136,84.1148,0.000428915,1
60,7,149,522,84.7877,0.0014027,1
61,7,149,563,70.1225,0.00149038,1
62,7,149,525,77.3311,0.00138853,1
63,7,149,511,84.7551,0.00138824,1
64,7,149,502,94.0405,0.00131817,1
65,8,167,671,138.182,0.00171236,1
66,8,167,699,105.934,0.00175692,1
67,8,167,696,151.177,0.00171219,1
68,8,167,658,139.114,0.0016934,1
69,8,167,673,151.47,0.00168095,1
70,7,157,641,128.146,0.0016282,1
71,7,157,643,83.1795,0.00160638,1
72,7,157,666,115.344,0.00166193,1
73,7,157,695,100.551,0.00167801,1
74,7,157,665,135.28,0.0016556,1
75,6,189,950,84.7884,0.00227216,1
76,6,189,979,102.556,0.00231826,1
77,6,189,977,130.463,0.00233053,1
78,6,189,915,88.1111,0.00221932,1
79,6,189,957,87.7407,0.00245164,1
80,7,132,423,131.492,0.00116944,1
81,7,132,436,130.562,0.0011816,1
82,7,132,455,109.076,0.00119443,1
