index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,166,998,98.4516,0.0172996,1
1,5,166,997,81.26,0.0159717,1
2,5,166,976,67.3659,0.0163119,1
3,5,166,1011,69.5897,0.0187741,1
4,5,166,984,63.28,0.0158996,1
5,7,212,824,91.6383,0.011923,1
6,7,212,805,102.054,0.0128223,1
7,7,212,841,85.875,0.0139765,1
8,7,212,858,105.743,0.0148013,1
9,7,212,806,79.0488,0.0126009,1
10,5,178,1004,62.8545,0.0176662,1
11,5,178,967,70.2292,0.0148307,1
12,5,178,994,71.74,0.0153263,1
13,5,178,1024,65.4035,0.0182864,1
14,5,178,1030,70.3922,0.0172079,1
15,3,148,930,76.7273,0.00490459,1
16,3,148,852,70.2222,0.00415467,1
17,3,148,886,85.6452,0.00432841,1
18,3,148,874,70.5,0.0043021,1
19,3,148,922,102.043,0.00460554,1
20,5,145,543,66.1936,0.00487819,1
21,5,145,585,94.7805,0.00509886,1
22,5,145,496,103.967,0.00360921,1
23,5,145,585,101.581,0.00632581,1
24,5,145,552,119.971,0.00444672,1
25,6,180,790,110.021,0.0112051,1
26,6,180,782,77.4545,0.0105891,1
27,6,180,768,105.073,0.0120001,1
28,6,180,795,70.3,0.0105393,1
29,6,180,762,90.4091,0.00978791,1
30,4,55,95,167.765,0.000295051,1
31,4,55,97,115.875,0.000318115,1
32,4,55,108,157.625,0.000351498,1
33,4,55,100,104,0.000310831,1
34,4,55,101,163.25,0.000341529,1
35,8,197,860,78.5517,0.0189856,1
36,8,197,901,77.8636,0.0214588,1
37,8,197,850,85.4706,0.0214746,1
38,8,197,828,61.3878,0.0197699,1
39,8,197,853,65.0893,0.0163434,1
40,3,98,406,73.5625,0.00161691,1
41,3,98,359,153.611,0.00129019,1
42,3,98,391,100.5,0.00150049,1
43,3,98,356,104.529,0.00124817,1
44,3,98,375,123.15,0.00132703,1
45,8,207,941,94.5417,0.023594,1
46,8,207,964,98.2,0.0243996,1
47,8,207,960,82.4706,0.0269301,1
48,8,207,944,82.6981,0.0297071,1
49,8,207,939,91.7381,0.0265008,1
50,3,73,223,127,0.000729908,1
51,3,73,236,75.1176,0.000761808,1
52,3,73,226,143.25,0.000707676,1
53,3,73,232,178.308,0.000781175,1
54,3,73,222,95.6,0.000675094,1
55,4,63,157,134.357,0.000569553,1
56,4,63,172,225.846,0.000644455,1
57,4,63,136,212,0.000505842,1
58,4,63,132,121,0.00041561,1
59,4,63,136,121.5,0.000670044,1
60,7,149,522,132.171,0.00714899,1
61,7,149,563,88.7222,0.00779624,1
62,7,149,525,80.1176,0.00711888,1
63,7,149,511,107.226,0.00734629,1
64,7,149,502,153.615,0.00593381,1
65,8,167,671,91.9841,0.0138889,1
66,8,167,699,92.7164,0.0156832,1
67,8,167,696,101.852,0.0163843,1
68,8,167,658,103.167,0.0127166,1
69,8,167,673,97.0164,0.0122238,1
70,7,157,641,112.133,0.010562,1
71,7,157,643,72.66,0.0110429,1
72,7,157,666,99.6458,0.0102695,1
73,7,157,695,89.2245,0.0127996,1
74,7,157,665,106.417,0.0106516,1
75,6,189,950,54.617,0.015389,1
76,6,189,979,73.84,0.0180995,1
77,6,189,977,91.1731,0.018942,1
78,6,189,915,72.8649,0.0162579,1
79,6,189,957,72.1591,0.0170487,1
80,7,132,423,120.341,0.00379253,1
81,7,132,436,107.075,0.00552985,1
82,7,132,455,89.4848,0.0057799,1
83,7,132,454,118.6,0.00548376,1
84,7,132,460,87.8605,0.00564351,1
85,5,104,388,138.708,0.00285315,1
86,5,104,387,116.895,0.00313317,1
87,5,104,375,159.35,0.00254932,1
88,5,104,397,90.2759,0.00316516,1
89,5,104,389,166.818,0.00320535,1
90,7,63,80,125.5,0.000261998,1
91,7,63,79,113.923,0.000214608,1
92,7,63,64,80.6875,0.00015798,1
93,7,63,66,138.188,0.000184661,1
94,7,63,85,106.118,0.00028372,1
95,4,53,97,89.2308,0.000303337,1
96,4,53,97,21.8667,0.000317243,1
97,4,53,98,216.091,0.000298548,1
98,4,53,101,85,0.000334286,1
99,4,53,95,121.167,0.000302375,1
100,7,103,221,137.214,0.00147825,1
101,7,103,250,83.0714,0.00182619,1
102,7,103,262,54.9615,0.00228258,1
103,7,103,267,93.6538,0.00220403,1
104,7,103,238,81.0357,0.00158897,1
105,6,184,880,97.8605,0.0136901,1
106,6,184,914,101.78,0.0146191,1
107,6,184,915,93.0233,0.0152775,1
108,6,184,900,87.3784,0.015041,1
109,6,184,882,91.6274,0.0151548,1
110,3,178,1407,54.1556,0.00854685,1
111,3,178,1408,71.7037,0.00922227,1
112,3,178,1415,64.9756,0.00853407,1
113,3,178,1459,69.4062,0.0090681,1
114,3,178,1435,59.7941,0.00871687,1
115,7,103,277,145.867,0.00215854,1
116,7,103,273,103.811,0.0021714,1
117,7,103,312,109.548,0.00323476,1
118,7,103,294,139.147,0.002673,1
119,7,103,296,119.59,0.00273769,1
120,4,206,1925,45.2069,0.0288605,1
121,4,206,1968,45.8971,0.0329372,1
122,4,206,1942,53.0769,0.0317414,1
123,4,206,1874,53.4444,0.028893,1
124,4,206,1935,47.7581,0.03103,1
125,8,202,978,70.8533,0.0251111,1
126,8,202,968,80.3385,0.0226535,1
127,8,202,998,85.6912,0.0221819,1
128,8,202,972,90.3288,0.0253182,1
129,8,202,982,84.96,0.0242346,1
130,3,138,959,90.2143,0.00513016,1
131,3,138,912,112.208,0.00491863,1
132,3,138,972,81.0357,0.00505361,1
133,3,138,941,93.4815,0.00499037,1
134,3,138,952,76.5882,0.00489891,1
135,8,177,750,104.704,0.0185697,1
136,8,177,737,97.9138,0.0154429,1
137,8,177,749,101.937,0.0155653,1
138,8,177,775,104.859,0.0178014,1
139,8,177,749,87.4848,0.0161208,1
140,5,184,1011,85.4878,0.0130151,1
141,5,184,1018,103.636,0.0143085,1
142,5,184,1001,104.561,0.0131962,1
143,5,184,1042,99.6389,0.014283,1
144,5,184,1024,83.775,0.014669,1
145,3,206,1453,61.129,0.008649,1
146,3,206,1425,71.0588,0.00813864,1
147,3,206,1427,58.6667,0.00830059,1
148,3,206,1404,84.5806,0.00801277,1
149,3,206,1400,71.0938,0.00793542,1
150,3,71,210,155.333,0.000583961,1
151,3,71,193,109.5,0.000548293,1
152,3,71,215,133.857,0.000630008,1
153,3,71,216,129.895,0.000639706,1
154,3,71,200,146.231,0.000618957,1
155,8,115,396,90.9111,0.00570619,1
156,8,115,367,140.556,0.00406735,1
157,8,115,350,84.9783,0.00484087,1
158,8,115,354,113.846,0.00471614,1
159,8,115,348,89.48,0.00421689,1
160,7,64,91,129.062,0.000267849,1
161,7,64,85,60.1579,0.000275754,1
162,7,64,90,158.938,0.00038385,1
163,7,64,90,87.1429,0.000279721,1
164,7,64,85,80.25,0.000285643,1
165,8,59,68,66.8947,0.000206263,1
166,8,59,71,88.0909,0.000210981,1
167,8,59,51,0,0.000124016,1
168,8,59,71,129.286,0.00022654,1
169,8,59,67,95.3043,0.00022063,1
170,8,122,342,71.0541,0.00288176,1
171,8,122,332,97.8781,0.00254761,1
172,8,122,353,108.629,0.00321752,1
173,8,122,351,121.65,0.00329924,1
174,8,122,343,99.0513,0.00319548,1
175,4,156,960,61.6667,0.0104798,1
176,4,156,1002,81.5333,0.0113083,1
177,4,156,971,58.1373,0.0108247,1
178,4,156,976,73.087,0.0111815,1
179,4,156,971,63.4717,0.010223,1
180,8,123,288,97.3143,0.00218137,1
181,8,123,288,146.656,0.00192248,1
182,8,123,280,143.167,0.00190922,1
183,8,123,294,110.686,0.00235988,1
184,8,123,273,114.087,0.00192484,1
185,5,75,162,114.1,0.000689671,1
186,5,75,182,120.05,0.000821352,1
187,5,75,155,76.7308,0.000653502,1
188,5,75,182,142.042,0.000942432,1
189,5,75,191,132.526,0.000930008,1
190,6,172,855,107,0.0160142,1
191,6,172,879,106.4,0.0167234,1
192,6,172,855,107.872,0.0150009,1
193,6,172,912,108.14,0.0167785,1
194,6,172,874,119.079,0.0153912,1
195,4,110,518,138.312,0.00374161,1
196,4,110,546,120.2,0.00399008,1
197,4,110,525,91.3636,0.00342758,1
198,4,110,529,90.1053,0.00379558,1
199,4,110,542,123.957,0.00398748,1
200,3,93,396,105.615,0.00148788,1
201,3,93,395,113.059,0.0014354,1
202,3,93,354,92.875,0.00124471,1
203,3,93,380,73.7857,0.00134501,1
204,3,93,394,155.833,0.00148626,1
205,7,105,315,119.395,0.00269005,1
206,7,105,310,107.923,0.00274403,1
207,7,105,315,104.927,0.0026998,1
208,7,105,338,109.658,0.00362891,1
209,7,105,316,101.913,0.00249375,1
