index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,166,998,154.429,0.00194284,1
1,5,166,997,178.789,0.00208478,1
2,5,166,976,145.368,0.00206979,1
3,5,166,1011,124.833,0.00215672,1
4,5,166,984,115.55,0.00184695,1
5,7,212,824,186.867,0.00236751,1
6,7,212,805,164.174,0.00246714,1
7,7,212,841,132.115,0.00232772,1
8,7,212,858,231.312,0.00267377,1
9,7,212,806,130.667,0.00224311,1
10,5,178,1004,98.5652,0.00203607,1
11,5,178,967,134.571,0.00176136,1
12,5,178,994,123.69,0.00195566,1
13,5,178,1024,103.867,0.00223619,1
14,5,178,1030,130.318,0.00209371,1
15,3,148,930,148.941,0.000632733,1
16,3,148,852,124.765,0.000626741,1
17,3,148,886,195.333,0.000589421,1
18,3,148,874,133.167,0.000703628,1
19,3,148,922,138.059,0.000651779,1
20,5,145,543,102.3,0.000915701,1
21,5,145,585,232.933,0.000912895,1
22,5,145,496,223.538,0.00077849,1
23,5,145,585,174.944,0.000966067,1
24,5,145,552,293.636,0.000859574,1
25,6,180,790,181.792,0.00173526,1
26,6,180,782,153.682,0.0018556,1
27,6,180,768,181.214,0.00173195,1
28,6,180,795,106.783,0.00186618,1
29,6,180,762,180.818,0.00172266,1
30,4,55,95,292.857,0.000132192,1
31,4,55,97,191.4,0.000139345,1
32,4,55,108,280.222,0.000133204,1
33,4,55,100,165.556,0.000125278,1
34,4,55,101,261.818,0.000144274,1
35,8,197,860,144.938,0.00298684,1
36,8,197,901,131.769,0.00306881,1
37,8,197,850,128.486,0.00314254,1
38,8,197,828,125.333,0.00310458,1
39,8,197,853,121.5,0.00297409,1
40,3,98,406,147.375,0.000329146,1
41,3,98,359,296.333,0.000291284,1
42,3,98,391,175.545,0.000306052,1
43,3,98,356,177.7,0.000296484,1
44,3,98,375,175.929,0.000305571,1
45,8,207,941,162.071,0.00383059,1
46,8,207,964,148.267,0.00418082,1
47,8,207,960,140.2,0.00400184,1
48,8,207,944,119.821,0.00411951,1
49,8,207,939,180.7,0.00347644,1
50,3,73,223,225.778,0.000202736,1
51,3,73,236,141.889,0.000209899,1
52,3,73,226,286.5,0.000201093,1
53,3,73,232,386.333,0.000204368,1
54,3,73,222,143.4,0.000206763,1
55,4,63,157,235.125,0.000180704,1
56,4,63,172,419.429,0.000198377,1
57,4,63,136,344.5,0.000174703,1
58,4,63,132,162,0.000158512,1
59,4,63,136,209.333,0.000179071,1
60,7,149,522,243.474,0.00132665,1
61,7,149,563,138.409,0.00138539,1
62,7,149,525,138.647,0.00146706,1
63,7,149,511,184.667,0.0017645,1
64,7,149,502,234.941,0.00117075,1
65,8,167,671,139.73,0.00228337,1
66,8,167,699,141.182,0.00293067,1
67,8,167,696,149.548,0.00288586,1
68,8,167,658,175.611,0.00248317,1
69,8,167,673,134.634,0.00214748,1
70,7,157,641,169.556,0.00182947,1
71,7,157,643,125.481,0.0016733,1
72,7,157,666,167.862,0.00176299,1
73,7,157,695,145.733,0.00229852,1
74,7,157,665,200.667,0.00180251,1
75,6,189,950,101.842,0.00254452,1
76,6,189,979,135.9,0.00256438,1
77,6,189,977,163.96,0.00234686,1
78,6,189,915,123.077,0.00240815,1
79,6,189,957,211.667,0.00222648,1
80,7,132,423,199.333,0.00112513,1
81,7,132,436,186.217,0.00133958,1
82,7,132,455,153.643,0.00122427,1
83,7,132,454,182.6,0.00117095,1
84,7,132,460,125.933,0.0012653,1
85,5,104,388,221.933,0.000604359,1
86,5,104,387,158.643,0.000623355,1
87,5,104,375,212.467,0.000569723,1
88,5,104,397,154,0.000698608,1
89,5,104,389,244.667,0.000659854,1
90,7,63,80,223.111,0.000138183,1
91,7,63,79,174.235,0.000125168,1
92,7,63,64,107.583,9.8026e-05,1
93,7,63,66,201,0.000104459,1
94,7,63,85,138.769,0.000124847,1
95,4,53,97,128.889,0.000136169,1
96,4,53,97,30.5455,0.000135458,1
97,4,53,98,353.4,0.000127352,1
98,4,53,101,155,0.000127893,1
99,4,53,95,181.75,0.000124627,1
100,7,103,221,178.955,0.000469854,1
