index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,166,998,99.7642,0.115848,1
1,5,166,997,125.785,0.100196,1
2,5,166,976,86.947,0.111501,1
3,5,166,1011,93.2297,0.10624,1
4,5,166,984,91.0597,0.102737,1
5,7,212,824,104.171,0.160541,1
6,7,212,805,115.978,0.160874,1
7,7,212,841,83.1871,0.155347,1
8,7,212,858,116.676,0.155201,1
9,7,212,806,79.0488,0.158788,1
10,5,178,1004,125.9,0.156296,1
11,5,178,967,137.059,0.15063,1
12,5,178,994,138.007,0.143499,1
13,5,178,1024,140.595,0.146801,1
14,5,178,1030,163.871,0.163029,1
15,3,148,930,144.015,0.0822225,1
16,3,148,852,124.696,0.0759187,1
17,3,148,886,144.848,0.0816033,1
18,3,148,874,131.573,0.0806548,1
19,3,148,922,144.958,0.0870566,1
20,5,145,543,83.8235,0.0681654,1
21,5,145,585,116,0.0685261,1
22,5,145,496,143.253,0.0646113,1
23,5,145,585,104.427,0.0667955,1
24,5,145,552,156.379,0.0662268,1
25,6,180,790,172.736,0.119834,1
26,6,180,782,120.766,0.124397,1
27,6,180,768,171.851,0.112844,1
28,6,180,795,115.14,0.117503,1
29,6,180,762,134.814,0.119866,1
30,4,55,95,281.913,0.00840044,1
31,4,55,97,123.2,0.00845861,1
32,4,55,108,164.9,0.00786674,1
33,4,55,100,138.167,0.00811625,1
34,4,55,101,217.231,0.00804655,1
35,8,197,860,104.087,0.140878,1
36,8,197,901,96.7877,0.149127,1
37,8,197,850,98.5241,0.139018,1
38,8,197,828,90.461,0.148493,1
39,8,197,853,99.1824,0.14234,1
40,3,98,406,115.513,0.0300262,1
41,3,98,359,238.07,0.0246582,1
42,3,98,391,100.5,0.0274247,1
43,3,98,356,125.253,0.0231221,1
44,3,98,375,154.429,0.0285263,1
45,8,207,941,124.54,0.143005,1
46,8,207,964,96.7143,0.170711,1
47,8,207,960,111.852,0.170431,1
48,8,207,944,82.6981,0.156454,1
49,8,207,939,134.625,0.165336,1
50,3,73,223,141.732,0.0133902,1
51,3,73,236,88.25,0.014753,1
52,3,73,226,185.413,0.0144384,1
53,3,73,232,259.205,0.0146401,1
54,3,73,222,108.73,0.0139862,1
55,4,63,157,169.074,0.0112652,1
56,4,63,172,237.44,0.0109389,1
57,4,63,136,225.2,0.0107307,1
58,4,63,132,117.818,0.00980376,1
59,4,63,136,126.625,0.0112312,1
60,7,149,522,132.616,0.07594,1
61,7,149,563,119.429,0.088399,1
62,7,149,525,85.2692,0.0765131,1
63,7,149,511,165.828,0.0764307,1
64,7,149,502,142.487,0.0749841,1
65,8,167,671,181.811,0.145894,1
66,8,167,699,145.953,0.130121,1
67,8,167,696,191.932,0.15489,1
68,8,167,658,181.85,0.134859,1
69,8,167,673,194.277,0.134889,1
70,7,157,641,149.578,0.0915747,1
71,7,157,643,92.6,0.0915136,1
72,7,157,666,152.02,0.0979058,1
73,7,157,695,131.691,0.0937804,1
74,7,157,665,158.699,0.094748,1
75,6,189,950,89.3642,0.127726,1
76,6,189,979,111.944,0.133549,1
77,6,189,977,138.09,0.142976,1
78,6,189,915,92.1772,0.129007,1
79,6,189,957,91.5449,0.135849,1
80,7,132,423,165.011,0.0660562,1
81,7,132,436,152.681,0.063523,1
82,7,132,455,136.466,0.0684655,1
83,7,132,454,186.515,0.0616889,1
84,7,132,460,127.831,0.0655036,1
85,5,104,388,163.68,0.03388,1
86,5,104,387,102.097,0.0343359,1
87,5,104,375,205.742,0.0354511,1
88,5,104,397,118.302,0.0373752,1
89,5,104,389,187.81,0.0382795,1
90,7,63,80,125.5,0.0107061,1
91,7,63,79,136.306,0.00898194,1
92,7,63,64,80.6875,0.00608886,1
93,7,63,66,147.278,0.00855376,1
94,7,63,85,137.767,0.00994571,1
95,4,53,97,89.2308,0.00659596,1
96,4,53,97,28.1765,0.00752926,1
97,4,53,98,216.091,0.00663223,1
98,4,53,101,85.2222,0.00701378,1
99,4,53,95,121.167,0.00689823,1
100,7,103,221,124.188,0.0322026,1
101,7,103,250,96.1489,0.0350773,1
102,7,103,262,62.3517,0.0353538,1
103,7,103,267,83.8228,0.033379,1
104,7,103,238,101.677,0.0351596,1
105,6,184,880,138.963,0.13179,1
106,6,184,914,177.357,0.134069,1
107,6,184,915,178.365,0.131541,1
108,6,184,900,151.987,0.121533,1
109,6,184,882,147.43,0.131118,1
110,3,178,1407,95.3688,0.12462,1
111,3,178,1408,96.488,0.144873,1
112,3,178,1415,97.6531,0.145542,1
113,3,178,1459,105.041,0.15832,1
114,3,178,1435,111.808,0.146869,1
115,7,103,277,192.915,0.040145,1
116,7,103,273,139.368,0.0380545,1
117,7,103,312,140.818,0.0444984,1
118,7,103,294,164.03,0.0432274,1
119,7,103,296,171.234,0.0365323,1
120,4,206,1925,107.326,0.258614,1
121,4,206,1968,117.057,0.248349,1
122,4,206,1942,154.925,0.23743,1
123,4,206,1874,101.113,0.233152,1
124,4,206,1935,115.782,0.24659,1
125,8,202,978,139.066,0.152236,1
126,8,202,968,148.75,0.153061,1
127,8,202,998,146.614,0.157158,1
