index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,166,998,157.148,0.121962,1
1,5,166,997,181.433,0.106065,1
2,5,166,976,144.661,0.110479,1
3,5,166,1011,119.727,0.107651,1
4,5,166,984,118.827,0.112526,1
5,7,212,824,166.486,0.143324,1
6,7,212,805,153.778,0.139965,1
7,7,212,841,120.14,0.140115,1
8,7,212,858,208.278,0.142506,1
9,7,212,806,122.75,0.137803,1
10,5,178,1004,165.096,0.141068,1
11,5,178,967,209.213,0.131453,1
12,5,178,994,176.423,0.122587,1
13,5,178,1024,185.589,0.15288,1
14,5,178,1030,220.913,0.142695,1
15,3,148,930,203.033,0.100324,1
16,3,148,852,196.86,0.0982152,1
17,3,148,886,288.85,0.0977494,1
18,3,148,874,182.884,0.104843,1
19,3,148,922,224,0.100035,1
20,5,145,543,132.978,0.064548,1
21,5,145,585,180.143,0.0626112,1
22,5,145,496,214.63,0.0596091,1
23,5,145,585,219.083,0.0616607,1
24,5,145,552,217.074,0.0603299,1
25,6,180,790,265,0.104726,1
26,6,180,782,171.191,0.114308,1
27,6,180,768,268.547,0.105948,1
28,6,180,795,146.635,0.100755,1
29,6,180,762,178.455,0.104073,1
30,4,55,95,373.562,0.00698546,1
31,4,55,97,200.133,0.00629943,1
32,4,55,108,280.222,0.00686435,1
33,4,55,100,166.04,0.00685577,1
34,4,55,101,309.857,0.00670291,1
35,8,197,860,162.149,0.123186,1
36,8,197,901,133.077,0.139089,1
37,8,197,850,146.072,0.125469,1
38,8,197,828,125.229,0.126914,1
39,8,197,853,128.926,0.126621,1
40,3,98,406,143.609,0.0303442,1
41,3,98,359,314.509,0.0279869,1
42,3,98,391,179,0.030731,1
43,3,98,356,245.111,0.024786,1
44,3,98,375,278.429,0.0280862,1
45,8,207,941,168.381,0.133307,1
46,8,207,964,125.626,0.140049,1
47,8,207,960,141.205,0.149194,1
48,8,207,944,123.623,0.146687,1
49,8,207,939,159.5,0.141332,1
50,3,73,223,307.111,0.0125838,1
51,3,73,236,151.222,0.0138677,1
52,3,73,226,286.5,0.0138201,1
53,3,73,232,379.5,0.0132129,1
54,3,73,222,173.143,0.0136016,1
55,4,63,157,192.4,0.0104037,1
56,4,63,172,419.429,0.00989103,1
57,4,63,136,354.615,0.00817826,1
58,4,63,132,169,0.0101428,1
59,4,63,136,184.111,0.00996564,1
60,7,149,522,205.75,0.0691695,1
61,7,149,563,127.259,0.0727578,1
62,7,149,525,145.192,0.0641587,1
63,7,149,511,200.857,0.0630433,1
64,7,149,502,202.81,0.0639091,1
65,8,167,671,217.286,0.110536,1
66,8,167,699,192.372,0.105768,1
67,8,167,696,248.301,0.109096,1
68,8,167,658,238.035,0.0949698,1
69,8,167,673,229.909,0.100628,1
70,7,157,641,205.221,0.0759057,1
71,7,157,643,129.838,0.077864,1
72,7,157,666,220.955,0.0833384,1
73,7,157,695,185.019,0.0859764,1
74,7,157,665,243.222,0.0804096,1
75,6,189,950,117.532,0.125942,1
76,6,189,979,136.528,0.124786,1
77,6,189,977,174.922,0.134233,1
78,6,189,915,114.435,0.118766,1
79,6,189,957,215.333,0.130739,1
80,7,132,423,244.054,0.0530068,1
81,7,132,436,226.714,0.0523783,1
82,7,132,455,171.306,0.056937,1
83,7,132,454,253.444,0.0534382,1
84,7,132,460,150.838,0.0491356,1
85,5,104,388,274.467,0.0334798,1
86,5,104,387,129.176,0.030542,1
87,5,104,375,267.667,0.0297587,1
88,5,104,397,162.205,0.0340922,1
89,5,104,389,323.867,0.0325632,1
90,7,63,80,210.4,0.00905414,1
91,7,63,79,196.28,0.00748448,1
92,7,63,64,107.583,0.00560789,1
93,7,63,66,220.917,0.00678353,1
94,7,63,85,183.739,0.00844635,1
95,4,53,97,130.786,0.00574547,1
96,4,53,97,43.5455,0.00603063,1
97,4,53,98,283.667,0.00584762,1
98,4,53,101,146,0.00561183,1
99,4,53,95,181.75,0.00668545,1
100,7,103,221,131,0.0265198,1
101,7,103,250,140.5,0.027462,1
102,7,103,262,88.1333,0.0319649,1
103,7,103,267,142.786,0.0304054,1
104,7,103,238,143.974,0.0286837,1
105,6,184,880,211.235,0.117419,1
106,6,184,914,234.629,0.121592,1
107,6,184,915,242.722,0.122802,1
108,6,184,900,199.209,0.113102,1
109,6,184,882,195.802,0.121472,1
110,3,178,1407,148.098,0.222916,1
111,3,178,1408,136,0.189799,1
112,3,178,1415,145.704,0.209757,1
113,3,178,1459,198.604,0.211285,1
114,3,178,1435,166.112,0.215088,1
115,7,103,277,286.5,0.0338238,1
116,7,103,273,202.125,0.0293538,1
117,7,103,312,170.057,0.0335184,1
118,7,103,294,223.605,0.0298634,1
119,7,103,296,238.146,0.0296482,1
120,4,206,1925,131.399,0.314607,1
121,4,206,1968,166.655,0.335729,1
122,4,206,1942,197.277,0.351196,1
123,4,206,1874,160.944,0.326264,1
124,4,206,1935,164.059,0.340392,1
125,8,202,978,183.641,0.142708,1
126,8,202,968,192.91,0.140428,1
127,8,202,998,180.903,0.141351,1
