index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,166,998,104.638,0.512428,1
1,5,166,997,128.436,0.443691,1
2,5,166,976,88.3496,0.424087,1
3,5,166,1011,95.9664,0.514791,1
4,5,166,984,90.297,0.511558,1
5,7,212,824,117.478,0.472324,1
6,7,212,805,123.516,0.656318,1
7,7,212,841,114.159,0.456557,1
8,7,212,858,122.5,0.541506,1
9,7,212,806,97.2381,0.459153,1
10,5,178,1004,127.608,0.486597,1
11,5,178,967,139.183,0.400718,1
12,5,178,994,137.207,0.487457,1
13,5,178,1024,139.164,0.55419,1
14,5,178,1030,167.182,0.566142,1
15,3,148,930,146.053,0.214156,1
16,3,148,852,128.129,0.182672,1
17,3,148,886,144.379,0.174746,1
18,3,148,874,131.573,0.177585,1
19,3,148,922,144.958,0.198032,1
20,5,145,543,85.4273,0.130365,1
21,5,145,585,123.515,0.154825,1
22,5,145,496,144.817,0.129864,1
23,5,145,585,104.427,0.129715,1
24,5,145,552,157.912,0.132752,1
25,6,180,790,182.267,0.381271,1
26,6,180,782,118.533,0.36542,1
27,6,180,768,175.276,0.430087,1
28,6,180,795,114.12,0.371231,1
29,6,180,762,138.505,0.36375,1
30,4,55,95,281.913,0.00304083,1
31,4,55,97,138.812,0.00359857,1
32,4,55,108,164.9,0.00444599,1
33,4,55,100,146.294,0.00365894,1
34,4,55,101,217.231,0.00364015,1
35,8,197,860,108,0.437496,1
36,8,197,901,96.8208,0.554622,1
37,8,197,850,99.1739,0.516865,1
38,8,197,828,90.9915,0.448019,1
39,8,197,853,98.5753,0.582534,1
40,3,98,406,109.47,0.0426882,1
41,3,98,359,233.92,0.0390133,1
42,3,98,391,100.5,0.039439,1
43,3,98,356,123.915,0.0320665,1
44,3,98,375,158.697,0.036273,1
45,8,207,941,125.096,0.692317,1
46,8,207,964,104.673,0.528762,1
47,8,207,960,110.777,0.89453,1
48,8,207,944,82.6981,0.782193,1
49,8,207,939,138.899,0.764094,1
50,3,73,223,156.471,0.0122637,1
51,3,73,236,94.5909,0.0156855,1
52,3,73,226,185.413,0.0147458,1
53,3,73,232,259.205,0.0182309,1
54,3,73,222,107.684,0.0131929,1
55,4,63,157,169.074,0.00756307,1
56,4,63,172,259.2,0.0118212,1
57,4,63,136,216.72,0.00763528,1
58,4,63,132,121,0.00485373,1
59,4,63,136,147.783,0.00718961,1
60,7,149,522,142.312,0.177631,1
61,7,149,563,121.917,0.227258,1
62,7,149,525,100.212,0.212421,1
63,7,149,511,165.828,0.187103,1
64,7,149,502,194.758,0.173728,1
65,8,167,671,181.532,0.41849,1
66,8,167,699,145.953,0.291845,1
67,8,167,696,190.305,0.375869,1
68,8,167,658,183.462,0.378021,1
69,8,167,673,194.77,0.401233,1
70,7,157,641,158.019,0.292525,1
71,7,157,643,96.2041,0.203795,1
72,7,157,666,154.141,0.277728,1
73,7,157,695,128.947,0.343125,1
74,7,157,665,165.126,0.39611,1
75,6,189,950,89.3103,0.489626,1
76,6,189,979,111.648,0.584739,1
77,6,189,977,139.088,0.550319,1
78,6,189,915,90.5497,0.509627,1
79,6,189,957,91.2247,0.5169,1
80,7,132,423,173.05,0.118179,1
81,7,132,436,155.047,0.131586,1
82,7,132,455,141.012,0.122703,1
83,7,132,454,189.362,0.132284,1
84,7,132,460,119.143,0.136609,1
85,5,104,388,170.519,0.0757376,1
86,5,104,387,116.895,0.0613658,1
87,5,104,375,210.375,0.0609573,1
88,5,104,397,118.302,0.0588698,1
89,5,104,389,195.629,0.072255,1
90,7,63,80,125.5,0.00148843,1
91,7,63,79,136.229,0.000986985,1
92,7,63,64,80.6875,0.000434235,1
93,7,63,66,147.278,0.0012172,1
94,7,63,85,127.879,0.00278759,1
95,4,53,97,89.2308,0.00336489,1
96,4,53,97,28.1765,0.00297197,1
97,4,53,98,216.091,0.0035814,1
98,4,53,101,88.4375,0.00334794,1
99,4,53,95,121.167,0.00232713,1
100,7,103,221,137.214,0.0286056,1
101,7,103,250,91.6327,0.0311225,1
102,7,103,262,60.7447,0.0266142,1
103,7,103,267,94.5,0.0372963,1
104,7,103,238,100.864,0.0246144,1
105,6,184,880,140.447,0.468003,1
106,6,184,914,178.824,0.628817,1
107,6,184,915,179.034,0.589495,1
108,6,184,900,151.535,0.446189,1
109,6,184,882,147.182,0.455306,1
110,3,178,1407,95.3688,0.421719,1
111,3,178,1408,104.726,0.353311,1
112,3,178,1415,97.6531,0.419953,1
113,3,178,1459,105.041,0.513893,1
114,3,178,1435,113.489,0.45425,1
115,7,103,277,195.607,0.0425683,1
116,7,103,273,135.754,0.0351662,1
117,7,103,312,143.738,0.0570639,1
118,7,103,294,172.545,0.0440105,1
119,7,103,296,171.091,0.0394948,1
120,4,206,1925,106.856,1.19417,1
121,4,206,1968,117.147,1.43121,1
122,4,206,1942,154.614,1.39052,1
123,4,206,1874,101.58,1.11355,1
124,4,206,1935,116.466,1.32605,1
125,8,202,978,138.22,0.671161,1
126,8,202,968,151.698,0.577729,1
127,8,202,998,144.479,0.631412,1
128,8,202,972,156.722,0.620894,1
129,8,202,982,150.665,0.722164,1
130,3,138,959,148.811,0.208693,1
131,3,138,912,129.965,0.20202,1
132,3,138,972,117.548,0.19814,1
133,3,138,941,135.141,0.212579,1
134,3,138,952,148.348,0.212434,1
135,8,177,750,209.073,0.417856,1
136,8,177,737,196.75,0.564208,1
137,8,177,749,192.651,0.528015,1
138,8,177,775,167.575,0.592507,1
139,8,177,749,175.574,0.555842,1
140,5,184,1011,94.4706,0.475451,1
141,5,184,1018,157.812,0.626998,1
142,5,184,1001,142.25,0.474757,1
143,5,184,1042,105.525,0.495887,1
144,5,184,1024,129.886,0.54354,1
145,3,206,1453,88.642,0.480547,1
146,3,206,1425,152.09,0.534302,1
147,3,206,1427,117.188,0.530113,1
148,3,206,1404,153.493,0.519403,1
149,3,206,1400,124.383,0.489311,1
150,3,71,210,192.609,0.0131806,1
151,3,71,193,148.12,0.01169,1
152,3,71,215,166.297,0.0152627,1
153,3,71,216,156.4,0.01087,1
154,3,71,200,163.057,0.0139895,1
155,8,115,396,145.675,0.0991329,1
156,8,115,367,199.2,0.0847283,1
157,8,115,350,133.787,0.08934,1
158,8,115,354,161.904,0.0775137,1
159,8,115,348,110.537,0.0642756,1
160,7,64,91,179.059,0.00349751,1
161,7,64,85,71.0938,0.0023275,1
162,7,64,90,158.938,0.0030899,1
163,7,64,90,97.1111,0.00250098,1
164,7,64,85,80.25,0.00256427,1
165,8,59,68,70,0.000733605,1
166,8,59,71,94.7,0.00121825,1
167,8,59,51,0,0.000165835,1
168,8,59,71,129.286,0.000739095,1
169,8,59,67,141.152,0.00172875,1
170,8,122,342,87.2759,0.0655026,1
171,8,122,332,108.341,0.0523594,1
172,8,122,353,135.762,0.070421,1
173,8,122,351,137.818,0.0731176,1
174,8,122,343,148.485,0.081064,1
175,4,156,960,132.08,0.266281,1
176,4,156,1002,124.359,0.294021,1
177,4,156,971,123.613,0.360169,1
178,4,156,976,175.393,0.400654,1
179,4,156,971,136.898,0.342563,1
180,8,123,288,136.821,0.052663,1
181,8,123,288,156.906,0.0438441,1
182,8,123,280,170.763,0.0464098,1
183,8,123,294,145.925,0.0484601,1
184,8,123,273,114.276,0.0362471,1
185,5,75,162,182.077,0.0105373,1
186,5,75,182,201.18,0.0145757,1
187,5,75,155,123.064,0.0105608,1
188,5,75,182,164.421,0.013885,1
189,5,75,191,173.936,0.0137572,1
190,6,172,855,144.787,0.389256,1
191,6,172,879,179.156,0.597089,1
192,6,172,855,147.341,0.477462,1
193,6,172,912,173.854,0.461976,1
194,6,172,874,151.467,0.548853,1
195,4,110,518,138.312,0.0938642,1
196,4,110,546,123,0.0807039,1
197,4,110,525,126.655,0.0870377,1
198,4,110,529,106.434,0.0781192,1
199,4,110,542,166.971,0.117262,1
200,3,93,396,144.882,0.0429171,1
201,3,93,395,153.06,0.0381903,1
202,3,93,354,98.8333,0.0314936,1
203,3,93,380,100.125,0.0329164,1
204,3,93,394,162.864,0.0385862,1
205,7,105,315,148.833,0.0432736,1
206,7,105,310,127.877,0.0523538,1
207,7,105,315,137.194,0.0560515,1
208,7,105,338,150.5,0.0693274,1
209,7,105,316,146.667,0.0439181,1
210,5,112,469,155.8,0.0822734,1
211,5,112,450,147.352,0.104664,1
212,5,112,473,148.385,0.103835,1
213,5,112,527,200.011,0.120292,1
214,5,112,495,98.4096,0.118774,1
215,6,135,470,129.224,0.108022,1
216,6,135,453,124.875,0.0968476,1
217,6,135,482,166.822,0.146845,1
218,6,135,483,148.165,0.144495,1
219,6,135,442,121.979,0.105323,1
220,8,202,1024,130.331,1.09718,1
221,8,202,1052,135.809,1.08194,1
222,8,202,1003,137.745,1.13663,1
223,8,202,1015,111.289,0.963609,1
224,8,202,1011,141.68,1.0558,1
225,5,61,107,209.5,0.00382367,1
226,5,61,94,171.528,0.00297301,1
227,5,61,101,196.6,0.00343785,1
228,5,61,93,130.957,0.00306609,1
229,5,61,112,161.679,0.00505129,1
230,8,61,93,129.391,0.003621,1
231,8,61,83,82.8148,0.00139098,1
232,8,61,95,161.206,0.00404402,1
233,8,61,88,117.6,0.00252883,1
234,8,61,90,186.286,0.00259366,1
235,3,186,1428,129.302,0.585718,1
236,3,186,1318,113.434,0.41916,1
237,3,186,1323,176.461,0.401869,1
238,3,186,1328,143.107,0.460605,1
239,3,186,1343,126.904,0.46498,1
240,6,105,334,101.771,0.0426779,1
241,6,105,316,135.147,0.0550852,1
242,6,105,322,117.227,0.0421571,1
243,6,105,312,78.3429,0.0561589,1
244,6,105,307,96.0294,0.0354847,1
245,5,114,346,186.188,0.0465365,1
246,5,114,299,220.444,0.0357633,1
247,5,114,342,76.9,0.0393428,1
248,5,114,342,182.524,0.0451973,1
249,5,114,328,119.375,0.0480213,1
250,6,169,775,146.663,0.326835,1
251,6,169,698,152.67,0.269425,1
252,6,169,701,145.736,0.250905,1
253,6,169,678,147.264,0.229287,1
254,6,169,716,159.495,0.329583,1
255,7,149,514,168.746,0.192692,1
256,7,149,501,138.778,0.234829,1
257,7,149,520,118.802,0.190126,1
258,7,149,471,146.694,0.127599,1
259,7,149,499,125.838,0.187834,1
260,5,139,560,165.489,0.137495,1
261,5,139,496,190.333,0.127871,1
262,5,139,538,163.507,0.116262,1
263,5,139,503,164.606,0.116451,1
264,5,139,531,151.96,0.0983844,1
265,7,118,455,94.0588,0.111493,1
266,7,118,440,120.359,0.111102,1
267,7,118,472,98.1875,0.124637,1
268,7,118,448,108.116,0.105485,1
269,7,118,467,116.698,0.165082,1
270,7,215,953,153.816,0.657417,1
271,7,215,989,124.911,0.832528,1
272,7,215,987,146.798,0.741262,1
273,7,215,1025,177.017,0.891174,1
274,7,215,994,140.27,0.897957,1
275,8,184,851,119.664,0.564799,1
276,8,184,822,132.975,0.451857,1
277,8,184,825,111.534,0.505046,1
278,8,184,891,113.096,0.526878,1
279,8,184,846,120.462,0.559759,1
280,3,108,509,164.429,0.0624551,1
281,3,108,510,131.725,0.0757146,1
282,3,108,492,141.985,0.0555739,1
283,3,108,470,116.143,0.0563878,1
284,3,108,508,114.471,0.0611789,1
285,7,61,106,60.64,0.00429871,1
286,7,61,104,120.074,0.00518054,1
287,7,61,110,121.143,0.00576017,1
288,7,61,104,120.269,0.00359339,1
289,7,61,99,102.25,0.00268648,1
290,4,177,1167,126.24,0.469607,1
291,4,177,1144,161.733,0.46824,1
292,4,177,1167,149.297,0.504364,1
293,4,177,1108,149.409,0.469734,1
294,4,177,1174,151.178,0.495375,1
295,5,199,1364,94.5175,0.993267,1
296,5,199,1410,75.4472,0.997213,1
297,5,199,1313,103.077,0.757783,1
298,5,199,1315,106.312,0.813593,1
299,5,199,1399,77.005,0.98864,1
300,4,155,771,106.162,0.214849,1
301,4,155,758,192.207,0.211592,1
302,4,155,804,98.6727,0.257416,1
303,4,155,834,93.4805,0.256952,1
304,4,155,768,153.317,0.221979,1
305,3,98,338,136.479,0.0331223,1
306,3,98,339,147.04,0.0318386,1
307,3,98,326,89.4359,0.0227735,1
308,3,98,340,131.255,0.0378536,1
309,3,98,351,150.189,0.0394355,1
310,3,82,389,121.231,0.0316146,1
311,3,82,392,153.517,0.033622,1
312,3,82,390,132.707,0.0356479,1
313,3,82,388,171.611,0.0373738,1
314,3,82,383,115.439,0.0438832,1
315,5,212,1552,134.18,1.31362,1
316,5,212,1548,117.064,1.42116,1
317,5,212,1535,134.736,1.43822,1
318,5,212,1577,130.289,1.6045,1
319,5,212,1621,88.3143,1.39614,1
320,4,112,436,181.217,0.0710842,1
321,4,112,416,154.494,0.0634987,1
322,4,112,409,137.366,0.0606718,1
323,4,112,412,168.718,0.057822,1
324,4,112,424,197.726,0.0626438,1
325,5,135,615,146.056,0.171684,1
326,5,135,643,101.735,0.182747,1
327,5,135,635,127.037,0.158323,1
328,5,135,630,112.085,0.187865,1
329,5,135,618,156.915,0.171784,1
330,6,84,209,239.62,0.0190481,1
331,6,84,196,157.611,0.014483,1
332,6,84,212,202.041,0.0192047,1
333,6,84,214,164.158,0.0179707,1
334,6,84,196,199.367,0.0205275,1
335,3,138,872,215.547,0.213036,1
336,3,138,924,140,0.204046,1
337,3,138,892,181.117,0.225589,1
338,3,138,904,136.088,0.214098,1
339,3,138,889,158.038,0.184546,1
340,8,143,366,143.169,0.065393,1
341,8,143,377,145.68,0.0880912,1
342,8,143,381,167.518,0.0800394,1
343,8,143,413,133.629,0.108051,1
344,8,143,430,180.944,0.13028,1
345,8,98,241,110.364,0.0284891,1
346,8,98,238,161.756,0.0285711,1
347,8,98,250,139.944,0.0350975,1
348,8,98,248,131.226,0.0365593,1
349,8,98,251,167.278,0.0439839,1
350,6,147,597,150.417,0.222788,1
351,6,147,645,162.926,0.248879,1
352,6,147,624,174.432,0.230657,1
353,6,147,630,141.627,0.223061,1
354,6,147,622,142.5,0.177934,1
355,5,58,70,186.154,0.0013603,1
356,5,58,62,195.333,0.000730839,1
357,5,58,64,194.333,0.00108213,1
358,5,58,52,271.273,0.000560536,1
359,5,58,73,147.833,0.00167875,1
360,6,105,281,168.364,0.0356777,1
361,6,105,282,165.721,0.0371509,1
362,6,105,264,183.255,0.0424997,1
