index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,5,166,998,162,0.0554144,1
1,5,166,997,270.28,0.0526272,1
2,5,166,976,158.75,0.0444481,1
3,5,166,1011,151.522,0.0454441,1
4,5,166,984,128.25,0.0470593,1
5,7,212,824,226.5,0.0997949,1
6,7,212,805,178.24,0.122697,1
7,7,212,841,161.378,0.0811608,1
8,7,212,858,231.312,0.0859169,1
9,7,212,806,151.069,0.0719203,1
10,5,178,1004,210.84,0.0409783,1
11,5,178,967,284.812,0.0507972,1
12,5,178,994,180.234,0.047628,1
13,5,178,1024,185.553,0.0548496,1
14,5,178,1030,232.823,0.0482753,1
15,3,148,930,226.526,0.0144654,1
16,3,148,852,231.13,0.0135838,1
17,3,148,886,317.722,0.0148164,1
18,3,148,874,190.561,0.01292,1
19,3,148,922,233.172,0.0151072,1
20,5,145,543,141.784,0.0173495,1
21,5,145,585,239.6,0.0194003,1
22,5,145,496,241.525,0.0198683,1
23,5,145,585,219.769,0.0196918,1
24,5,145,552,293.636,0.0175006,1
25,6,180,790,289.133,0.0543457,1
26,6,180,782,166.296,0.0551526,1
27,6,180,768,280.086,0.0658109,1
28,6,180,795,143.909,0.0557936,1
29,6,180,762,199,0.0482925,1
30,4,55,95,380.778,0.000960867,1
31,4,55,97,191.4,0.000981737,1
32,4,55,108,280.222,0.000926481,1
33,4,55,100,210.273,0.000985594,1
34,4,55,101,309.857,0.00101952,1
35,8,197,860,166.033,0.102023,1
36,8,197,901,157.611,0.106253,1
37,8,197,850,154.662,0.0948634,1
38,8,197,828,163.521,0.0868964,1
39,8,197,853,150.233,0.0808476,1
40,3,98,406,160.231,0.00383044,1
41,3,98,359,399.667,0.00449246,1
42,3,98,391,184.625,0.0040897,1
43,3,98,356,210.964,0.00406203,1
44,3,98,375,278.429,0.004453,1
45,8,207,941,205.892,0.118673,1
46,8,207,964,158.15,0.120276,1
47,8,207,960,152.743,0.130652,1
48,8,207,944,123.818,0.127543,1
49,8,207,939,230.08,0.118689,1
50,3,73,223,307.111,0.00219662,1
51,3,73,236,181.7,0.00223317,1
52,3,73,226,356.727,0.0022504,1
53,3,73,232,388,0.00280677,1
54,3,73,222,173.143,0.00223214,1
55,4,63,157,245,0.00169965,1
56,4,63,172,419.429,0.00221741,1
57,4,63,136,354.615,0.00186661,1
58,4,63,132,169,0.00119507,1
59,4,63,136,209.333,0.00161728,1
60,7,149,522,247.95,0.0354967,1
61,7,149,563,185.114,0.0404482,1
62,7,149,525,164.857,0.032116,1
63,7,149,511,245.364,0.0461147,1
64,7,149,502,255.556,0.0322528,1
65,8,167,671,219,0.0400313,1
66,8,167,699,200.653,0.0467754,1
67,8,167,696,250.837,0.050476,1
68,8,167,658,264.469,0.0677616,1
69,8,167,673,229.909,0.0483626,1
70,7,157,641,226.758,0.0526165,1
71,7,157,643,192.586,0.0392796,1
72,7,157,666,233.706,0.0456035,1
73,7,157,695,178.576,0.0475829,1
74,7,157,665,242.528,0.0639424,1
75,6,189,950,133.638,0.0665828,1
76,6,189,979,170.56,0.0753222,1
77,6,189,977,198.226,0.0659687,1
78,6,189,915,144.549,0.0776925,1
79,6,189,957,215.333,0.0622582,1
80,7,132,423,258.394,0.0275463,1
81,7,132,436,228.574,0.0221806,1
82,7,132,455,188.925,0.0304952,1
83,7,132,454,249.755,0.0206082,1
84,7,132,460,150.771,0.0238762,1
85,5,104,388,274.467,0.010762,1
86,5,104,387,165.105,0.00876257,1
87,5,104,375,282.421,0.0105581,1
88,5,104,397,178.808,0.0108672,1
89,5,104,389,323.867,0.0108775,1
90,7,63,80,228.778,0.000705341,1
91,7,63,79,196.28,0.000380264,1
92,7,63,64,107.583,0.000211883,1
93,7,63,66,220.917,0.000460696,1
94,7,63,85,169.45,0.000783489,1
95,4,53,97,137.533,0.000879132,1
96,4,53,97,43.5455,0.000692727,1
97,4,53,98,353.4,0.000900533,1
98,4,53,101,155,0.000737903,1
99,4,53,95,181.75,0.000698829,1
100,7,103,221,180.545,0.00677468,1
101,7,103,250,135,0.00775065,1
102,7,103,262,105.619,0.00653497,1
103,7,103,267,160.452,0.00905812,1
104,7,103,238,162.737,0.00586519,1
105,6,184,880,221.634,0.057517,1
106,6,184,914,233.991,0.056394,1
