index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,240,2084,324.548,0.714968,1
1,6,240,2463,191.025,0.470831,1
2,6,240,2664,123.903,0.334791,1
3,6,240,4405,198.188,1.72709,1
4,6,240,3019,342.737,1.09018,1
5,6,240,1683,266.987,0.272379,1
6,6,240,4853,274.433,1.22778,1
7,6,240,5231,93.2259,0.94113,1
8,6,240,2614,162.765,0.364385,1
9,6,240,4448,51.8667,0.409111,1
10,6,240,1440,193.799,0.278407,1
11,6,240,1445,253.52,0.432703,1
12,6,240,2713,241.44,1.00936,1
13,6,240,2759,146.228,0.628978,1
14,6,240,2431,370.408,0.676825,1
15,6,240,2765,169.167,0.291946,1
16,6,240,2376,132.489,0.353568,1
17,6,240,1284,178.894,0.303023,1
18,6,240,1076,273.455,0.192873,1
19,6,240,7699,194.217,1.67403,1
20,6,240,4729,198.796,2.12027,1
21,6,240,3358,269.025,1.89621,1
22,6,240,1628,82.2409,0.370209,1
23,6,240,3037,260.152,1.26407,1
24,6,240,1068,233.208,0.304869,1
25,6,240,3468,277.408,1.61928,1
26,6,240,4934,361.125,1.80943,1
27,6,240,928,285.072,0.225488,1
28,6,240,1656,245.168,0.460752,1
29,6,240,5830,108.28,1.76164,1
30,6,240,1000,160.825,0.231668,1
31,6,240,4350,138.175,0.542815,1
32,6,240,2337,288.95,0.745784,1
33,6,240,5703,182.387,0.710683,1
34,6,240,3757,117.087,1.05975,1
35,6,240,2835,329.021,0.61392,1
36,6,240,2318,275.271,0.781004,1
37,6,240,2898,258.571,0.761069,1
38,6,240,2915,250.381,1.12039,1
39,6,240,5070,266.079,1.8431,1
40,6,240,862,133.317,0.257757,1
41,6,240,1285,153.801,0.40672,1
42,6,240,1281,276.25,0.316964,1
43,6,240,4911,145.605,1.91931,1
44,6,240,2183,133.769,0.557135,1
45,6,240,5085,214.517,2.69793,1
46,6,240,2783,270.276,0.609251,1
47,6,240,4982,290.538,1.86032,1
48,6,240,1738,246.125,0.314084,1
49,6,240,1875,347.696,0.609257,1
50,6,240,4158,262.867,0.634218,1
51,6,240,4638,182.775,0.978623,1
52,6,240,2228,198.992,0.554792,1
53,6,240,606,193.174,0.204761,1
54,6,240,1981,119.932,0.249216,1
55,6,240,2369,107.549,0.519822,1
56,6,240,4191,317.792,1.25747,1
57,6,240,1209,316.861,0.307554,1
58,6,240,2841,172.261,0.754049,1
59,6,240,723,162.943,0.192469,1
60,6,240,2089,234.903,0.435735,1
61,6,240,545,214.33,0.234639,1
62,6,240,2332,70.9095,0.258892,1
63,6,240,3023,290.646,0.497572,1
64,6,240,3310,166.436,2.29208,1
65,6,240,2192,350.921,0.449904,1
66,6,240,1974,171.553,0.43564,1
67,6,240,2571,255.7,0.477852,1
68,6,240,576,202.224,0.208827,1
69,6,240,965,188.371,0.193512,1
70,6,240,5446,127.821,1.28713,1
71,6,240,1862,154.749,0.286298,1
72,6,240,1055,204.176,0.183658,1
73,6,240,3604,252.142,0.864044,1
