index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,240,2084,344.647,0.720434,1
1,6,240,2463,197.929,0.608444,1
2,6,240,2664,146.716,0.457525,1
3,6,240,4405,210.267,3.25611,1
4,6,240,3019,419.282,1.84332,1
5,6,240,1683,298.791,0.33126,1
6,6,240,4853,317.581,2.10567,1
7,6,240,5231,105.861,1.38901,1
8,6,240,2614,185.97,0.655958,1
9,6,240,4448,57.9579,2.97032,1
10,6,240,1440,225.363,0.269099,1
11,6,240,1445,329.762,0.394521,1
12,6,240,2713,256.015,0.736302,1
13,6,240,2759,163.819,0.574023,1
14,6,240,2431,400,0.563247,1
15,6,240,2765,174.852,1.24728,1
16,6,240,2376,156.086,0.496498,1
17,6,240,1284,208.635,0.286336,1
18,6,240,1076,292.602,0.189185,1
19,6,240,7699,200.276,7.19132,1
20,6,240,4729,215.973,1.74929,1
21,6,240,3358,294.131,2.1627,1
22,6,240,1628,92.051,0.3587,1
23,6,240,3037,290.297,1.0039,1
24,6,240,1068,258.827,0.233513,1
25,6,240,3468,290.89,1.22903,1
26,6,240,4934,367.829,2.46709,1
27,6,240,928,313.005,0.195975,1
28,6,240,1656,283.946,0.481967,1
29,6,240,5830,127.43,2.25522,1
30,6,240,1000,220.196,0.197014,1
31,6,240,4350,148.922,2.38726,1
32,6,240,2337,298.817,0.584166,1
33,6,240,5703,189.974,4.19223,1
34,6,240,3757,138.427,1.99296,1
35,6,240,2835,356.24,0.792585,1
36,6,240,2318,324.319,0.447005,1
37,6,240,2898,268.687,0.817516,1
38,6,240,2915,310.67,1.33414,1
39,6,240,5070,293.977,2.92643,1
40,6,240,862,152.826,0.202008,1
41,6,240,1285,180.144,0.384421,1
42,6,240,1281,294.875,0.312393,1
43,6,240,4911,165.49,3.07915,1
44,6,240,2183,142.816,0.366404,1
45,6,240,5085,277.937,2.06882,1
46,6,240,2783,323.256,1.00279,1
47,6,240,4982,321.225,1.47316,1
48,6,240,1738,271.474,0.392607,1
49,6,240,1875,437.866,0.667763,1
50,6,240,4158,281.023,2.65922,1
51,6,240,4638,188.431,1.3703,1
52,6,240,2228,245.99,0.679277,1
53,6,240,606,223.427,0.181123,1
54,6,240,1981,137.81,0.413842,1
55,6,240,2369,131.156,0.625547,1
56,6,240,4191,339.329,1.54475,1
57,6,240,1209,339.733,0.315111,1
58,6,240,2841,234.047,1.05851,1
59,6,240,723,206.452,0.168097,1
60,6,240,2089,253.612,0.409669,1
61,6,240,545,296.3,0.138085,1
62,6,240,2332,76.8738,0.4708,1
63,6,240,3023,326.5,0.980413,1
64,6,240,3310,185.354,1.17544,1
65,6,240,2192,364.734,0.587108,1
66,6,240,1974,202.742,0.426748,1
67,6,240,2571,264.175,0.525822,1
68,6,240,576,244.968,0.160234,1
69,6,240,965,217.244,0.189419,1
70,6,240,5446,140.046,4.72667,1
71,6,240,1862,177.575,0.33075,1
72,6,240,1055,230.535,0.166737,1
73,6,240,3604,271.554,2.35518,1
74,6,240,3591,171.763,1.74258,1
75,6,240,2580,150.259,1.08202,1
76,6,240,3239,262.948,1.9579,1
77,6,240,704,231.538,0.158632,1
78,6,240,2923,188.337,0.698246,1
79,6,240,2042,400.093,0.524873,1
80,6,240,5036,305.408,2.50027,1
81,6,240,3964,109.258,2.11437,1
82,6,240,5865,249.837,5.23346,1
83,6,240,2968,98.689,1.62431,1
84,6,240,2003,185.955,0.444617,1
85,6,240,1181,180.693,0.241778,1
86,6,240,3862,268.456,2.05414,1
87,6,240,2501,260.742,0.575541,1
88,6,240,2035,142.222,0.381554,1
89,6,240,1583,96.3758,0.727837,1
90,6,240,3599,203.403,1.48933,1
91,6,240,5616,113.034,4.28285,1
92,6,240,2332,153.373,0.505091,1
93,6,240,3856,394.532,1.94642,1
94,6,240,4117,254.593,3.24682,1
95,6,240,2426,238.639,0.696434,1
96,6,240,2842,125.254,1.15103,1
97,6,240,2989,134.275,0.989299,1
98,6,240,1016,137.829,0.193614,1
99,6,240,3700,247.458,2.7109,1
100,6,240,714,233.426,0.246533,1
101,6,240,1972,383.265,0.655595,1
102,6,240,2418,262.137,1.07617,1
103,6,240,3759,359.996,1.15511,1
104,6,240,2138,98.4118,1.14358,1
105,6,240,3000,192.189,0.761766,1
106,6,240,845,147.156,0.159144,1
107,6,240,2360,188.066,0.597323,1
108,6,240,1078,194.116,0.397267,1
109,6,240,1902,161.929,0.569267,1
110,6,240,3622,233.76,0.961906,1
111,6,240,3906,135.636,2.09518,1
112,6,240,5049,421.925,2.46219,1
113,6,240,5647,95.0187,1.52408,1
114,6,240,3271,316.987,1.32672,1
115,6,240,2340,165.018,0.603759,1
116,6,240,4767,208.457,1.68844,1
117,6,240,2957,111.857,0.654831,1
118,6,240,1184,231.96,0.320124,1
119,6,240,5207,307.312,4.76356,1
120,6,240,1358,142.479,0.19583,1
121,6,240,4057,219.296,2.15567,1
122,6,240,3635,256.65,1.93241,1
123,6,240,992,256.032,0.266369,1
124,6,240,1242,286.033,0.349115,1
125,6,240,1127,217.344,0.255208,1
126,6,240,5422,318.535,4.89054,1
127,6,240,1776,219.271,0.437077,1
128,6,240,3937,288.991,1.25365,1
129,6,240,2155,180.1,0.581784,1
130,6,240,1516,291.122,0.287765,1
131,6,240,1331,332.42,0.368189,1
132,6,240,5241,354.459,4.30769,1
133,6,240,756,119.029,0.249788,1
134,6,240,5701,245.202,3.86971,1
135,6,240,5459,269.763,1.73461,1
136,6,240,4156,291.425,1.1502,1
137,6,240,3726,291.987,1.01334,1
138,6,240,839,251.532,0.21178,1
139,6,240,3789,352.558,0.910655,1
140,6,240,5753,245.976,2.58416,1
141,6,240,2352,236.207,0.871247,1
142,6,240,1192,168.726,0.165114,1
143,6,240,3314,216.941,1.85598,1
144,6,240,4559,112.575,2.22146,1
145,6,240,1480,166.842,0.24405,1
146,6,240,5536,281.595,3.3222,1
147,6,240,5377,206.273,2.65043,1
148,6,240,3755,156.885,2.16818,1
149,6,240,3919,65.8995,1.44424,1
150,6,240,1103,185.845,0.181948,1
151,6,240,979,175.051,0.196201,1
152,6,240,3163,226.498,1.06195,1
153,6,240,1303,237.342,0.25494,1
154,6,240,4367,257.293,1.60116,1
155,6,240,1836,213.75,0.550442,1
156,6,240,2601,289.646,0.6719,1
157,6,240,1484,208.38,0.564195,1
158,6,240,1586,347,0.33164,1
159,6,240,2468,415.618,0.920512,1
160,6,240,1820,249.922,0.431056,1
161,6,240,4036,275.712,2.07811,1
162,6,240,5220,174.329,2.74987,1
163,6,240,1517,363.198,0.376137,1
164,6,240,4788,164.188,2.44734,1
165,6,240,1359,459.421,0.303849,1
166,6,240,3293,118.786,1.38837,1
167,6,240,5012,429.734,2.37014,1
168,6,240,883,249.325,0.192754,1
169,6,240,1628,160.934,0.26462,1
170,6,240,1998,138.33,0.374568,1
171,6,240,3077,219.559,0.783094,1
172,6,240,4905,213.922,3.13426,1
173,6,240,4524,344.029,1.8122,1
174,6,240,1998,247.123,0.496514,1
175,6,240,1207,232.803,0.219604,1
176,6,240,2323,229.941,0.634929,1
177,6,240,1004,284.083,0.174951,1
178,6,240,1711,213.673,0.378343,1
179,6,240,2015,324.514,0.515517,1
180,6,240,2733,282.727,1.0657,1
181,6,240,737,231.481,0.16252,1
182,6,240,1876,211.049,0.321252,1
183,6,240,2092,169.322,0.402756,1
184,6,240,1312,221.01,0.241262,1
185,6,240,2431,137.878,1.22159,1
186,6,240,3314,163.726,0.782583,1
187,6,240,1957,197.255,0.339375,1
188,6,240,2542,190.682,0.596643,1
189,6,240,2947,146.313,0.684093,1
190,6,240,5724,295.77,2.48921,1
191,6,240,4038,224.764,1.67835,1
192,6,240,2145,64.785,0.760594,1
193,6,240,3702,204.255,1.311,1
194,6,240,4049,116.384,2.05494,1
195,6,240,807,348.561,0.18508,1
196,6,240,1532,239.869,0.318507,1
197,6,240,1626,232.098,0.321119,1
198,6,240,2099,189.645,0.406975,1
199,6,240,5197,206.346,4.82002,1
200,6,240,5559,281.719,2.89127,1
201,6,240,4013,342.351,2.78983,1
202,6,240,1318,181.168,0.374726,1
203,6,240,3709,375.683,1.82461,1
204,6,240,2003,199.847,0.987314,1
205,6,240,3996,157.022,0.977708,1
206,6,240,2428,266.067,0.587857,1
207,6,240,3326,267.78,1.02227,1
208,6,240,4067,247.352,2.59058,1
209,6,240,2143,243.271,0.577071,1
210,6,240,3197,405.93,1.48124,1
211,6,240,1595,248.26,0.294014,1
212,6,240,2688,390.631,0.537796,1
213,6,240,1262,185.843,0.22427,1
214,6,240,2887,429.577,0.840626,1
215,6,240,978,130.622,0.22953,1
216,6,240,1222,302.54,0.238734,1
217,6,240,2220,253.014,0.740427,1
218,6,240,1087,199.606,0.383835,1
219,6,240,2161,435.736,1.25478,1
220,6,240,2733,402.379,1.01343,1
221,6,240,5241,150.032,2.53685,1
222,6,240,2614,262.261,0.963736,1
223,6,240,2759,130.433,0.449236,1
224,6,240,5163,225.125,1.97757,1
225,6,240,3189,388.938,0.786227,1
226,6,240,3131,280.734,0.911584,1
227,6,240,4665,233.298,2.66357,1
