index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,240,2084,365.058,4.29661,1
1,6,240,2463,245.608,1.98805,1
2,6,240,2664,133.979,1.51189,1
3,6,240,4405,206.875,3.19464,1
4,6,240,3019,361.379,7.28861,1
5,6,240,1683,271.854,2.6066,1
6,6,240,4853,289.783,14.5024,1
7,6,240,5231,118.896,4.78873,1
8,6,240,2614,196.599,1.6279,1
9,6,240,4448,84.2333,1.79891,1
10,6,240,1440,207.461,0.748408,1
11,6,240,1445,268.157,1.98273,1
12,6,240,2713,281.475,3.7793,1
13,6,240,2759,163.462,5.08128,1
14,6,240,2431,420.225,2.2858,1
15,6,240,2765,338.933,2.357,1
16,6,240,2376,144.679,1.14027,1
17,6,240,1284,227.71,1.53313,1
18,6,240,1076,333.308,0.718593,1
19,6,240,7699,212.779,9.71038,1
20,6,240,4729,257.462,9.70576,1
21,6,240,3358,368.133,14.6667,1
22,6,240,1628,118.386,1.1122,1
23,6,240,3037,300.229,8.59996,1
24,6,240,1068,252.568,0.782888,1
25,6,240,3468,343.2,6.89442,1
26,6,240,4934,386.208,17.2499,1
27,6,240,928,304.577,0.577754,1
28,6,240,1656,327.404,2.45917,1
29,6,240,5830,110.475,7.63858,1
30,6,240,1000,194.065,0.355201,1
31,6,240,4350,147.133,1.74131,1
32,6,240,2337,350.042,3.20026,1
33,6,240,5703,234.775,3.04834,1
34,6,240,3757,122.857,1.31345,1
35,6,240,2835,359.221,5.40929,1
36,6,240,2318,293.842,2.02028,1
37,6,240,2898,326.263,4.66153,1
38,6,240,2915,283.017,11.6151,1
39,6,240,5070,280.292,9.46547,1
40,6,240,862,154.35,0.339862,1
41,6,240,1285,189.714,1.21807,1
42,6,240,1281,330.504,0.85366,1
43,6,240,4911,151.221,4.49092,1
44,6,240,2183,162.748,2.3388,1
45,6,240,5085,234.363,4.5443,1
46,6,240,2783,296.004,7.99717,1
47,6,240,4982,301.929,8.23854,1
48,6,240,1738,264.546,2.36127,1
49,6,240,1875,356.604,5.86457,1
50,6,240,4158,287.179,8.78007,1
51,6,240,4638,205.929,8.16597,1
52,6,240,2228,229.198,3.19707,1
53,6,240,606,286.037,0.218738,1
54,6,240,1981,141.748,0.956075,1
55,6,240,2369,123.285,3.29603,1
56,6,240,4191,347.812,7.30351,1
57,6,240,1209,341.408,0.692468,1
58,6,240,2841,173.809,3.85644,1
59,6,240,723,210.915,0.140905,1
60,6,240,2089,244.613,2.20947,1
61,6,240,545,226.222,0.1566,1
62,6,240,2332,111.932,1.02082,1
63,6,240,3023,303.138,4.29308,1
64,6,240,3310,213.581,7.56364,1
65,6,240,2192,390.167,5.03691,1
66,6,240,1974,198.385,1.90444,1
67,6,240,2571,297.062,5.77547,1
68,6,240,576,226.677,0.1498,1
69,6,240,965,231.238,0.375177,1
70,6,240,5446,140.604,3.10127,1
71,6,240,1862,157.593,1.43739,1
72,6,240,1055,215.79,0.448086,1
73,6,240,3604,276.163,8.72045,1
74,6,240,3591,249.492,5.50476,1
75,6,240,2580,157.117,2.94645,1
76,6,240,3239,392.742,12.089,1
77,6,240,704,193.687,0.270236,1
78,6,240,2923,217.396,2.85164,1
79,6,240,2042,351.517,3.14746,1
80,6,240,5036,397.554,12.0508,1
81,6,240,3964,117.778,4.41903,1
82,6,240,5865,322.396,8.87735,1
83,6,240,2968,161.745,3.51256,1
84,6,240,2003,164.06,2.70273,1
85,6,240,1181,196.411,0.360338,1
86,6,240,3862,339.692,5.16263,1
87,6,240,2501,318.214,3.2149,1
88,6,240,2035,164.417,1.50422,1
