index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,240,2084,380.265,0.0842657,1
1,6,240,2463,252.987,0.0747611,1
2,6,240,2664,159.03,0.0809973,1
3,6,240,4405,218.93,0.0684275,1
4,6,240,3019,414.981,0.221614,1
5,6,240,1683,299.391,0.203475,1
6,6,240,4853,335.683,0.145495,1
7,6,240,5231,135.138,0.190951,1
8,6,240,2614,218.094,0.14936,1
9,6,240,4448,94.5942,0.0844324,1
10,6,240,1440,243.161,0.051707,1
11,6,240,1445,339.364,0.194381,1
12,6,240,2713,300.693,0.150645,1
13,6,240,2759,183.254,0.180429,1
14,6,240,2431,453.196,0.120232,1
15,6,240,2765,350.198,0.188452,1
16,6,240,2376,168.609,0.125984,1
17,6,240,1284,269.383,0.0793235,1
18,6,240,1076,369.819,0.074685,1
19,6,240,7699,218.235,0.105124,1
20,6,240,4729,279.973,0.0802697,1
21,6,240,3358,385.817,0.631831,1
22,6,240,1628,133.084,0.101918,1
23,6,240,3037,335.962,0.13575,1
24,6,240,1068,295.067,0.0634862,1
25,6,240,3468,360.26,0.115925,1
26,6,240,4934,391.097,0.274812,1
27,6,240,928,333.154,0.0595305,1
28,6,240,1656,377.327,0.239717,1
29,6,240,5830,130.468,0.109933,1
30,6,240,1000,277.242,0.0720979,1
31,6,240,4350,156.248,0.111133,1
32,6,240,2337,360.698,0.145611,1
33,6,240,5703,242.871,0.185977,1
34,6,240,3757,142.203,0.0968396,1
35,6,240,2835,386.697,0.179775,1
36,6,240,2318,341.901,0.109151,1
37,6,240,2898,346.039,0.12744,1
38,6,240,2915,339.695,0.207333,1
39,6,240,5070,308.578,0.180452,1
40,6,240,862,210.887,0.0469596,1
41,6,240,1285,220.163,0.15025,1
42,6,240,1281,451.838,0.0714362,1
43,6,240,4911,177.113,0.199336,1
44,6,240,2183,172.518,0.15852,1
45,6,240,5085,305.635,0.194389,1
46,6,240,2783,345.532,0.361497,1
47,6,240,4982,330.829,0.153132,1
48,6,240,1738,285.616,0.186006,1
49,6,240,1875,417.488,0.183486,1
50,6,240,4158,295.807,0.157456,1
51,6,240,4638,215.323,0.102863,1
52,6,240,2228,282.534,0.118432,1
53,6,240,606,375.711,0.0390307,1
54,6,240,1981,195.132,0.0738112,1
55,6,240,2369,150.446,0.0671041,1
