index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,160,361,194.777,0.0754087,1
1,6,160,2425,244.962,0.59138,1
2,6,160,2304,206.131,0.243834,1
3,6,160,822,249.816,0.134465,1
4,6,160,2458,241.956,0.258226,1
5,6,160,2321,184.331,0.534652,1
6,6,160,411,235.112,0.0835813,1
7,6,160,1681,209.994,0.233917,1
8,6,160,817,112.483,0.0954818,1
9,6,160,1076,206.348,0.140964,1
10,6,160,1471,196.275,0.26224,1
11,6,160,812,184.213,0.114757,1
12,6,160,723,238.032,0.0944843,1
13,6,160,2040,165.113,0.390735,1
14,6,160,552,106.026,0.0724834,1
15,6,160,1865,238.631,0.491667,1
16,6,160,1639,217.14,0.22647,1
17,6,160,1425,190.283,0.125156,1
18,6,160,2287,186.663,0.292806,1
19,6,160,1000,186.865,0.118702,1
20,6,160,1453,223.248,0.360018,1
21,6,160,1174,177.603,0.182714,1
22,6,160,1841,171.357,0.494048,1
23,6,160,441,163.495,0.0923325,1
24,6,160,470,211.342,0.0765144,1
25,6,160,1724,201.741,0.255708,1
26,6,160,739,248.925,0.100401,1
27,6,160,362,138.145,0.0818472,1
28,6,160,1698,177.856,0.188576,1
29,6,160,411,205.977,0.0780648,1
30,6,160,362,217.594,0.0734291,1
31,6,160,1523,160.956,0.213684,1
32,6,160,1880,156.297,0.159957,1
33,6,160,888,215.475,0.137027,1
34,6,160,2514,202.856,0.41466,1
35,6,160,1794,195.176,0.27252,1
36,6,160,2406,243.694,0.427107,1
37,6,160,637,230.241,0.122269,1
38,6,160,2295,277.263,0.401071,1
39,6,160,846,224.324,0.165487,1
40,6,160,458,204.062,0.100619,1
41,6,160,2319,243.994,0.223891,1
42,6,160,1836,187.581,0.398437,1
43,6,160,1645,158.887,0.401856,1
44,6,160,1216,259.906,0.237384,1
45,6,160,1737,221.875,0.225521,1
46,6,160,1469,205.956,0.242457,1
47,6,160,734,246.147,0.0971178,1
48,6,160,1325,258.619,0.26373,1
49,6,160,2745,152.575,0.314948,1
50,6,160,1120,207.931,0.112327,1
51,6,160,1946,231.656,0.262276,1
52,6,160,1091,179.987,0.140291,1
53,6,160,2185,195.85,0.266638,1
54,6,160,1309,217.369,0.267856,1
