index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,160,361,229.039,0.066731,1
1,6,160,2425,272.725,0.471704,1
2,6,160,2304,213.564,0.376489,1
3,6,160,822,317.864,0.103085,1
4,6,160,2458,280.613,0.677675,1
5,6,160,2321,221.977,0.518736,1
6,6,160,411,290.931,0.0681444,1
7,6,160,1681,226.24,0.478743,1
8,6,160,817,129.636,0.112635,1
9,6,160,1076,238.746,0.121494,1
10,6,160,1471,245.96,0.338199,1
11,6,160,812,220.188,0.10416,1
12,6,160,723,267.538,0.095726,1
13,6,160,2040,196.06,0.382474,1
14,6,160,552,148.636,0.0804798,1
15,6,160,1865,280.285,0.472782,1
16,6,160,1639,244.642,0.447182,1
17,6,160,1425,205.272,0.301634,1
18,6,160,2287,198.833,0.413498,1
19,6,160,1000,201.811,0.11172,1
20,6,160,1453,255.853,0.39791,1
21,6,160,1174,187.272,0.179756,1
22,6,160,1841,206.431,0.367727,1
23,6,160,441,213.264,0.0752143,1
24,6,160,470,234.508,0.0705616,1
25,6,160,1724,217.321,0.249835,1
26,6,160,739,279.787,0.0927972,1
27,6,160,362,177.303,0.062575,1
28,6,160,1698,203.007,0.245023,1
29,6,160,411,253.625,0.0643224,1
30,6,160,362,271.918,0.0708992,1
31,6,160,1523,171.687,0.247503,1
32,6,160,1880,164,0.584868,1
33,6,160,888,241.797,0.134187,1
34,6,160,2514,228.596,0.578664,1
35,6,160,1794,235.008,0.239385,1
36,6,160,2406,253.528,0.854557,1
37,6,160,637,274.974,0.0897571,1
38,6,160,2295,306.493,0.684879,1
39,6,160,846,236.039,0.127838,1
40,6,160,458,240.496,0.0882282,1
41,6,160,2319,252.37,0.719819,1
42,6,160,1836,206.297,0.467265,1
43,6,160,1645,171.578,0.194675,1
44,6,160,1216,323.68,0.158629,1
45,6,160,1737,257.504,0.376564,1
46,6,160,1469,236.489,0.235237,1
47,6,160,734,271.465,0.0979122,1
48,6,160,1325,357.536,0.314115,1
49,6,160,2745,165.164,0.700819,1
50,6,160,1120,233.365,0.143811,1
51,6,160,1946,270.316,0.483024,1
52,6,160,1091,195.726,0.193006,1
53,6,160,2185,208.94,0.647925,1
54,6,160,1309,242.376,0.269524,1
55,6,160,1135,234.051,0.230334,1
56,6,160,1614,243.646,0.393452,1
57,6,160,662,240.064,0.0996069,1
58,6,160,1156,244.575,0.170658,1
59,6,160,719,259.843,0.0921157,1
60,6,160,1209,230.696,0.204687,1
