index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,160,361,242.315,0.0617242,1
1,6,160,2425,265.419,2.6264,1
2,6,160,2304,237.881,2.19629,1
3,6,160,822,263.431,0.524764,1
4,6,160,2458,269.663,1.41867,1
5,6,160,2321,206.381,2.02524,1
6,6,160,411,274.619,0.0859278,1
7,6,160,1681,265.669,0.919659,1
8,6,160,817,192.025,0.240429,1
9,6,160,1076,223.924,0.340856,1
10,6,160,1471,218.606,1.4687,1
11,6,160,812,219.83,0.259805,1
12,6,160,723,257.075,0.352272,1
13,6,160,2040,192.856,1.29758,1
14,6,160,552,180.551,0.0474071,1
15,6,160,1865,257.506,0.873826,1
16,6,160,1639,278.723,1.41116,1
17,6,160,1425,253.163,0.690683,1
18,6,160,2287,223.325,1.01253,1
19,6,160,1000,272.013,0.713792,1
20,6,160,1453,292.893,1.44572,1
21,6,160,1174,245.449,0.645305,1
22,6,160,1841,212.337,1.06341,1
23,6,160,441,181.348,0.0828397,1
24,6,160,470,264.645,0.0902133,1
25,6,160,1724,211.288,1.20691,1
26,6,160,739,277.114,0.21941,1
27,6,160,362,177.306,0.0610796,1
28,6,160,1698,189.744,0.855649,1
29,6,160,411,258.559,0.0597511,1
30,6,160,362,257.09,0.0430669,1
31,6,160,1523,192.606,0.75023,1
32,6,160,1880,221.459,0.50155,1
33,6,160,888,229.295,0.206141,1
34,6,160,2514,221.006,1.89332,1
35,6,160,1794,204.875,0.504217,1
36,6,160,2406,295.569,1.99886,1
37,6,160,637,249.643,0.302644,1
38,6,160,2295,297.781,1.76544,1
39,6,160,846,301.699,0.445483,1
40,6,160,458,250.219,0.120003,1
41,6,160,2319,280.581,1.47422,1
42,6,160,1836,207.544,0.658456,1
43,6,160,1645,222.519,0.974787,1
44,6,160,1216,285.744,0.494126,1
45,6,160,1737,233.856,1.42767,1
46,6,160,1469,217.228,0.706912,1
47,6,160,734,264.623,0.337085,1
48,6,160,1325,283.688,1.36292,1
49,6,160,2745,184.944,1.39179,1
50,6,160,1120,242.712,0.3942,1
51,6,160,1946,263.756,1.87398,1
52,6,160,1091,256.635,0.68756,1
53,6,160,2185,220.988,1.11714,1
54,6,160,1309,267.531,1.11689,1
55,6,160,1135,250.519,0.315732,1
56,6,160,1614,232.331,1.27662,1
57,6,160,662,176.626,0.150835,1
58,6,160,1156,298.686,0.51287,1
59,6,160,719,237.471,0.279598,1
60,6,160,1209,193.075,0.630917,1
61,6,160,1749,284.019,1.05226,1
62,6,160,1700,317.294,0.991703,1
63,6,160,378,232.15,0.0590608,1
64,6,160,1760,292.938,1.56184,1
65,6,160,1430,290.164,0.936144,1
66,6,160,2426,230.669,2.27794,1
67,6,160,883,255.881,0.349297,1
68,6,160,1028,201.912,0.395861,1
69,6,160,2427,205.525,1.01859,1
70,6,160,631,217.359,0.157621,1
71,6,160,758,227.806,0.209023,1
72,6,160,2087,284.119,1.9383,1
73,6,160,1057,239.199,0.459018,1
74,6,160,682,272.809,0.271651,1
75,6,160,1242,212.994,0.822636,1
76,6,160,466,193.581,0.118668,1
77,6,160,961,191.465,0.290157,1
78,6,160,1887,175.582,0.859889,1
79,6,160,632,188.318,0.105713,1
80,6,160,1791,295.231,1.14023,1
81,6,160,2171,291.692,1.08216,1
82,6,160,231,227.42,0.0190349,1
83,6,160,607,213.465,0.214381,1
84,6,160,1952,217.181,0.972165,1
85,6,160,977,252.886,0.343486,1
86,6,160,901,248.923,0.286871,1
87,6,160,1895,238.131,1.20763,1
88,6,160,556,204.437,0.105143,1
89,6,160,2214,268.969,1.71059,1
90,6,160,2594,301.478,1.85739,1
91,6,160,657,224.968,0.105873,1
92,6,160,694,231.276,0.338787,1
93,6,160,1115,253.038,0.43409,1
94,6,160,1135,227.39,0.797568,1
95,6,160,1850,197.019,0.532753,1
96,6,160,1182,306.677,1.05513,1
97,6,160,1671,262.102,1.99074,1
98,6,160,855,238.478,0.526672,1
99,6,160,1691,214.478,1.43495,1
100,6,160,1632,291.531,1.03451,1
101,6,160,1668,292.194,1.80704,1
102,6,160,773,196.911,0.173514,1
103,6,160,363,283.974,0.0746514,1
104,6,160,1052,247.975,0.496118,1
105,6,160,890,270.359,0.571071,1
106,6,160,344,272.901,0.0567675,1
107,6,160,803,307.327,0.504712,1
108,6,160,1034,273.107,0.526058,1
109,6,160,2188,276.112,1.34108,1
110,6,160,1805,239.137,1.39812,1
111,6,160,944,213.756,0.314622,1
112,6,160,1104,203.813,0.447008,1
113,6,160,721,244.556,0.185836,1
114,6,160,733,181.682,0.165663,1
115,6,160,1845,293.825,2.24469,1
116,6,160,999,261.362,0.703043,1
117,6,160,793,201.7,0.308431,1
118,6,160,1931,302.506,1.34448,1
119,6,160,1503,201.937,0.804481,1
120,6,160,613,215.164,0.112509,1
121,6,160,1334,276.717,1.56144,1
122,6,160,1633,293.667,0.980852,1
123,6,160,652,262.828,0.232374,1
124,6,160,956,282.478,0.335298,1
125,6,160,2580,309.075,2.4483,1
126,6,160,1727,258.312,1.53381,1
127,6,160,939,232.654,0.355371,1
128,6,160,514,241.76,0.110652,1
129,6,160,1671,241.613,0.645033,1
130,6,160,977,179.089,0.276206,1
131,6,160,1533,315.163,1.10151,1
132,6,160,1192,232.585,0.601023,1
