index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,6,160,361,371,0.0108269,1
1,6,160,2425,295.775,0.0389193,1
2,6,160,2304,243.981,0.0496143,1
3,6,160,822,328.627,0.0284248,1
4,6,160,2458,312.971,0.0266382,1
5,6,160,2321,248.892,0.0334266,1
6,6,160,411,372.833,0.0137275,1
7,6,160,1681,283.38,0.0564085,1
8,6,160,817,223.3,0.0437524,1
9,6,160,1076,265.306,0.03766,1
10,6,160,1471,275.268,0.0273884,1
11,6,160,812,274.068,0.0336735,1
12,6,160,723,297.235,0.034582,1
13,6,160,2040,229.992,0.0373372,1
14,6,160,552,259.13,0.00921375,1
15,6,160,1865,290.9,0.0696613,1
16,6,160,1639,317.275,0.0957093,1
17,6,160,1425,269.376,0.050788,1
18,6,160,2287,248.165,0.0385264,1
19,6,160,1000,294.821,0.0888486,1
20,6,160,1453,330.284,0.0645636,1
21,6,160,1174,256.828,0.0428693,1
22,6,160,1841,255.053,0.0356925,1
23,6,160,441,267.672,0.0119634,1
24,6,160,470,335,0.0150762,1
25,6,160,1724,229.511,0.0643868,1
26,6,160,739,311.271,0.0338964,1
27,6,160,362,257.231,0.0127797,1
28,6,160,1698,224.946,0.036429,1
29,6,160,411,335.122,0.0137817,1
30,6,160,362,387.273,0.00760687,1
31,6,160,1523,205.591,0.034827,1
32,6,160,1880,231.556,0.0474412,1
33,6,160,888,252.077,0.0317257,1
34,6,160,2514,249.191,0.0270039,1
35,6,160,1794,248.344,0.0466797,1
36,6,160,2406,302.416,0.048051,1
37,6,160,637,303.315,0.0279878,1
38,6,160,2295,326.628,0.0637912,1
39,6,160,846,322.722,0.0481957,1
40,6,160,458,297.37,0.0207765,1
41,6,160,2319,289.632,0.0421797,1
42,6,160,1836,231.339,0.0377933,1
43,6,160,1645,253.57,0.0442962,1
44,6,160,1216,353.608,0.0546608,1
45,6,160,1737,272.489,0.0400638,1
