index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,45,32,215.455,0.0148327,1
1,3,45,43,184.929,0.0106698,1
2,3,45,45,227.632,0.0147925,1
3,3,45,49,458.5,0.00945508,1
4,3,45,266,133.911,0.0278948,1
5,3,45,434,248.133,0.0686696,1
6,3,45,324,277.622,0.132523,1
7,3,45,476,464.511,0.0164091,1
8,3,45,60,209.25,0.0137796,1
9,3,45,79,191.8,0.0171192,1
10,3,45,88,245.833,0.0376112,1
11,3,45,151,402.756,0.0148985,1
12,3,45,173,166.571,0.046057,1
13,3,45,173,151.488,0.0635628,1
14,3,45,190,308.349,0.00951779,1
15,3,45,200,436.822,0.0159026,1
16,3,45,162,65.1765,0.0407292,1
17,3,45,250,275.333,0.0181933,1
18,3,45,162,303.244,0.0375025,1
19,3,45,238,349.133,0.0171678,1
20,3,45,140,208.2,0.0300293,1
21,3,45,303,222.419,0.018459,1
22,3,45,140,270.619,0.0494058,1
23,3,45,249,455.689,0.0172558,1
24,3,60,70,282,0.0106151,1
25,3,60,75,151,0.0309259,1
26,3,60,87,374.476,0.0170606,1
27,3,60,57,490.7,0.0171392,1
28,3,60,539,131.333,0.0505515,1
29,3,60,884,201.9,0.0445549,1
30,3,60,756,258.833,0.26839,1
31,3,60,896,412.233,0.0395385,1
32,3,60,269,136.469,0.0311539,1
33,3,60,202,204.673,0.141957,1
34,3,60,259,280.083,0.0227714,1
35,3,60,259,452.45,0.0248236,1
36,3,60,334,134.228,0.0601324,1
37,3,60,340,228.25,0.0225135,1
38,3,60,345,241.475,0.0205157,1
39,3,60,358,448.233,0.0226346,1
40,3,60,409,97.2241,0.107425,1
41,3,60,432,211.917,0.0141492,1
42,3,60,288,247.569,0.180635,1
43,3,60,409,370.8,0.0273198,1
44,3,60,480,108,0.0680113,1
45,3,60,467,125.362,0.125703,1
46,3,60,345,284.45,0.0528309,1
47,3,60,386,434.8,0.0873019,1
48,3,75,138,138.571,0.0463265,1
49,3,75,90,166.613,0.0267592,1
50,3,75,140,325.639,0.0729183,1
51,3,75,138,394.973,0.0374177,1
52,3,75,756,114.987,0.245599,1
53,3,75,1394,196.133,0.115185,1
54,3,75,414,343.04,0.128879,1
55,3,75,1400,369.613,0.136483,1
56,3,75,160,210.176,0.0761007,1
57,3,75,394,218.472,0.0505634,1
58,3,75,409,266.853,0.027192,1
59,3,75,142,404.214,0.0707988,1
60,3,75,394,103.333,0.173447,1
61,3,75,322,234.373,0.168926,1
62,3,75,260,342.873,0.168788,1
63,3,75,453,456.36,0.0208616,1
64,3,75,700,66.9861,0.229335,1
65,3,75,472,184.373,0.162253,1
66,3,75,625,343.427,0.0326289,1
67,3,75,513,364.987,0.146498,1
68,3,75,483,68.8088,0.0681289,1
69,3,75,591,232.2,0.607328,1
70,3,75,591,326.013,0.179929,1
71,3,75,615,364.027,0.121543,1
72,3,90,93,191.417,0.0376204,1
73,3,90,118,316.05,0.0829468,1
74,3,90,100,327.377,0.0709787,1
75,3,90,134,430.657,0.0450408,1
76,3,90,1736,107.467,0.52918,1
77,3,90,2024,162.011,0.0779593,1
78,3,90,1664,298.644,0.472324,1
79,3,90,1625,425.411,0.0445331,1
80,3,90,475,85.5952,0.167912,1
81,3,90,174,250.429,0.0845733,1
82,3,90,300,250.813,0.456256,1
83,3,90,571,378.5,0.0478136,1
84,3,90,650,81.7045,0.0562442,1
85,3,90,201,204.122,0.113034,1
86,3,90,201,320.829,0.137795,1
87,3,90,291,431.481,0.226339,1
88,3,90,252,172.442,0.0725151,1
89,3,90,792,204.899,0.698281,1
90,3,90,212,315.209,0.115599,1
91,3,90,972,450.578,0.0309204,1
92,3,90,393,115.356,0.169631,1
93,3,90,638,178.605,0.596734,1
94,3,90,348,363.974,0.253747,1
95,3,90,840,445.4,0.0748797,1
96,3,105,170,344,0.0258124,1
97,3,105,59,286.167,0.0172521,1
98,3,105,210,260.434,0.184555,1
99,3,105,254,288.41,0.0509583,1
100,3,105,1944,122.267,0.58413,1
101,3,105,2574,168.333,0.781647,1
102,3,105,594,255.171,0.173248,1
103,3,105,2516,399.324,0.318267,1
104,3,105,823,95.9082,0.56839,1
105,3,105,735,205.806,0.315342,1
106,3,105,724,316.6,0.044789,1
107,3,105,178,468.033,0.121371,1
108,3,105,446,97.587,0.2236,1
109,3,105,754,226.231,0.774636,1
110,3,105,980,286.276,0.340694,1
111,3,105,800,365.333,0.378618,1
112,3,105,1273,98.5865,0.0647942,1
113,3,105,1188,219.905,0.84234,1
114,3,105,1287,304.933,0.10062,1
115,3,105,1323,448.162,0.0638638,1
116,3,105,300,104.429,0.137597,1
117,3,105,1628,225.162,0.0674184,1
118,3,105,1641,419.21,0.0710399,1
119,3,105,1095,388.905,0.501823,1
120,3,120,357,118.901,0.15267,1
121,3,120,79,267.857,0.0260526,1
122,3,120,148,372,0.138145,1
123,3,120,281,344.167,0.243525,1
124,3,120,1836,119.058,0.6326,1
125,3,120,3239,219.492,1.79646,1
126,3,120,1100,350.258,0.522446,1
127,3,120,3536,446.742,0.139883,1
128,3,120,1078,102.551,0.0622327,1
129,3,120,827,221.95,0.371434,1
130,3,120,1050,349.125,0.0568209,1
131,3,120,330,424.324,0.29322,1
132,3,120,1228,69.381,0.533494,1
133,3,120,1430,221.3,0.0695171,1
134,3,120,1433,273.3,0.0689936,1
135,3,120,1440,454.067,0.0487312,1
136,3,120,448,138.02,0.359673,1
137,3,120,1512,197.658,1.26311,1
138,3,120,959,321.742,4.42392,1
139,3,120,1187,392.017,1.28166,1
140,3,120,1338,107.821,0.976764,1
141,3,120,2073,198.275,0.87569,1
142,3,120,1895,304.25,0.478378,1
143,3,120,410,382,0.265528,1
144,3,135,448,151.408,0.157924,1
145,3,135,431,181.133,0.172782,1
146,3,135,455,320.545,0.0703741,1
147,3,135,239,439.813,0.216637,1
148,3,135,3744,113.407,1.79017,1
149,3,135,4500,226.052,0.405304,1
150,3,135,4250,294.481,0.251529,1
151,3,135,2006,418.067,7.2146,1
152,3,135,1354,124.098,0.217506,1
153,3,135,1240,167.704,0.605016,1
154,3,135,1030,312.533,0.595332,1
155,3,135,1333,445.593,0.0717082,1
156,3,135,1760,95.7704,1.39854,1
157,3,135,1065,195.907,4.49352,1
158,3,135,1030,261.955,2.24493,1
159,3,135,920,420.719,1.58336,1
160,3,135,1150,107.358,1.25366,1
161,3,135,2275,238.659,0.10742,1
162,3,135,2268,349.281,0.108626,1
163,3,135,1872,473.489,0.089766,1
164,3,135,390,116.509,0.147605,1
165,3,135,609,187.239,0.339088,1
166,3,135,951,221.9,3.309,1
167,3,135,1598,413.978,1.72836,1
168,3,150,526,120.113,1.8565,1
169,3,150,554,232.229,0.103077,1
170,3,150,460,327.161,0.34653,1
171,3,150,522,465.671,0.0900337,1
172,3,150,1400,99.4933,0.251957,1
173,3,150,5336,179.933,1.68459,1
174,3,150,5184,294.813,0.426286,1
175,3,150,5481,430.307,0.483735,1
176,3,150,780,102.431,1.09,1
177,3,150,1106,182.985,5.30654,1
178,3,150,1590,312.713,0.0570712,1
179,3,150,1684,417.953,0.0908292,1
180,3,150,1250,122.398,6.2314,1
181,3,150,857,198.298,3.34146,1
182,3,150,1440,335.973,3.70189,1
183,3,150,345,355.022,0.26124,1
184,3,150,2448,98.7365,2.57939,1
185,3,150,2650,207.747,0.130482,1
186,3,150,1354,326.713,3.65449,1
187,3,150,2794,413.587,0.172972,1
188,3,150,1752,89.4365,2.12913,1
189,3,150,2835,208.473,2.57112,1
190,3,150,2265,308.267,4.04221,1
191,3,150,840,423.745,1.54186,1
192,3,165,251,152.455,0.123666,1
193,3,165,671,169.476,0.339219,1
194,3,165,656,296.926,0.0836456,1
195,3,165,361,364.562,0.296743,1
196,3,165,4154,70.7879,4.73923,1
197,3,165,5474,212.63,2.10414,1
198,3,165,5000,324.552,6.09855,1
199,3,165,6734,377.248,1.8773,1
200,3,165,1831,109.274,2.96417,1
201,3,165,1995,195.752,0.103701,1
202,3,165,376,314.296,0.270429,1
203,3,165,1890,376.188,0.101358,1
204,3,165,2554,83.4545,1.34388,1
205,3,165,845,226.447,1.62782,1
206,3,165,2501,270.576,0.0907659,1
207,3,165,1930,410.6,1.63106,1
208,3,165,1323,113.708,1.84171,1
209,3,165,3193,243.903,0.101804,1
210,3,165,1323,323.286,4.55904,1
211,3,165,3325,395.491,0.165024,1
212,3,165,1740,99.4194,3.241,1
213,3,165,1509,202.648,5.37581,1
214,3,165,3939,322.436,0.207678,1
215,3,165,3488,425.606,0.203049,1
216,3,180,333,158.018,0.188783,1
217,3,180,137,309.25,0.0885538,1
218,3,180,725,301.267,0.157732,1
219,3,180,773,362.694,0.0588765,1
220,3,180,1539,123.178,0.759295,1
221,3,180,5396,195.633,5.92131,1
222,3,180,4131,287.728,7.08835,1
223,3,180,7904,399.322,0.686502,1
224,3,180,1455,112.257,7.39465,1
225,3,180,2400,217.311,0.127748,1
226,3,180,2177,289.467,1.74888,1
227,3,180,2393,374.378,0.151398,1
228,3,180,484,138.406,0.152086,1
229,3,180,2830,214.439,2.16321,1
230,3,180,2903,355.717,0.205018,1
231,3,180,3095,403.878,0.269902,1
232,3,180,2945,132.1,4.49,1
233,3,180,3712,226.289,2.21857,1
234,3,180,3600,331.233,0.253171,1
235,3,180,4018,398.344,0.176881,1
236,3,180,4082,103.676,7.07273,1
237,3,180,4422,165.906,5.80184,1
238,3,180,4038,320.628,7.11156,1
239,3,180,3645,383.294,2.10724,1
240,3,195,534,140.945,3.30412,1
241,3,195,380,265.922,1.7743,1
242,3,195,946,281.364,0.0930158,1
243,3,195,631,414.617,0.828382,1
244,3,195,4250,116.513,4.70296,1
245,3,195,5724,228.067,7.52184,1
246,3,195,7344,328.579,5.02708,1
247,3,195,2700,418.036,1.30564,1
248,3,195,1360,127.525,7.73399,1
249,3,195,2116,152.394,2.67227,1
250,3,195,1927,294.749,4.01666,1
251,3,195,760,445.627,2.08996,1
252,3,195,2338,125.967,16.1316,1
253,3,195,740,215.492,0.731634,1
254,3,195,2338,315.59,15.2082,1
255,3,195,3209,410.759,0.211925,1
256,3,195,4225,106.462,6.32891,1
257,3,195,4087,217.256,9.61657,1
258,3,195,4687,291.431,0.199344,1
259,3,195,4477,455.359,0.329552,1
260,3,195,4173,92.5282,2.69666,1
261,3,195,4670,225.836,17.5358,1
262,3,195,2721,275.677,5.64624,1
263,3,195,897,411.765,1.68075,1
264,4,45,32,31.75,0.00962757,1
265,4,45,38,174,0.0117878,1
266,4,45,33,162.857,0.00738963,1
267,4,45,40,373.143,0.0106112,1
268,4,45,289,143.333,0.0347406,1
269,4,45,421,184.133,0.0361311,1
270,4,45,321,212.2,0.061161,1
271,4,45,424,403.4,0.0218004,1
272,4,45,96,124.043,0.0655995,1
273,4,45,110,193.051,0.0320255,1
274,4,45,93,284.095,0.0278721,1
275,4,45,106,434.023,0.0160034,1
276,4,45,149,95.2857,0.0785977,1
277,4,45,177,169.675,0.0159703,1
278,4,45,113,326.939,0.039643,1
279,4,45,144,425.689,0.0257801,1
280,4,45,191,96,0.0685863,1
281,4,45,162,232.048,0.101116,1
282,4,45,195,384.356,0.0365098,1
283,4,45,187,344.556,0.0160388,1
284,4,45,232,137.333,0.0278521,1
285,4,45,201,254.089,0.0364262,1
286,4,45,213,361.156,0.0159512,1
287,4,45,232,361.111,0.0159063,1
288,4,60,49,140.714,0.0115466,1
289,4,60,64,192.2,0.00929951,1
290,4,60,84,225.462,0.0179887,1
291,4,60,58,366.559,0.0147849,1
292,4,60,632,99.5,0.104523,1
293,4,60,500,179.867,0.0594598,1
294,4,60,666,360.133,0.029378,1
295,4,60,347,395.55,0.042913,1
296,4,60,238,126.042,0.0384961,1
297,4,60,189,272.305,0.0484366,1
298,4,60,232,356.3,0.0291242,1
299,4,60,238,403.119,0.0194183,1
300,4,60,215,139.737,0.0332911,1
301,4,60,154,243.58,0.0718208,1
302,4,60,202,350.414,0.0429238,1
303,4,60,138,406.96,0.0495645,1
304,4,60,185,100.556,0.0730316,1
305,4,60,215,173.774,0.104272,1
306,4,60,304,277.407,0.0270629,1
307,4,60,342,343.383,0.0281991,1
308,4,60,320,146.262,0.173435,1
309,4,60,216,246.756,0.0884863,1
310,4,60,352,343.35,0.0271042,1
311,4,60,399,482.5,0.024722,1
312,4,75,94,174.083,0.0205383,1
313,4,75,120,253.86,0.0542263,1
314,4,75,92,236.907,0.0556711,1
315,4,75,119,350.448,0.0462695,1
316,4,75,1334,195.773,0.0599505,1
317,4,75,1032,211.72,0.418684,1
318,4,75,1122,264.347,0.0986179,1
319,4,75,909,457.387,0.0565559,1
320,4,75,313,61.0385,0.0925408,1
321,4,75,265,159.061,0.119484,1
322,4,75,278,266.781,0.0539029,1
323,4,75,268,382.764,0.0399204,1
324,4,75,359,81.5484,0.136603,1
325,4,75,232,196.945,0.104623,1
326,4,75,369,296.067,0.0282579,1
327,4,75,470,422.853,0.0313337,1
328,4,75,373,109.464,0.174219,1
329,4,75,550,245.887,0.0541847,1
330,4,75,599,279.427,0.0336639,1
331,4,75,537,466.88,0.0326761,1
332,4,75,699,76.473,0.0369023,1
333,4,75,620,218.219,0.273734,1
334,4,75,458,334.84,0.105681,1
335,4,75,675,381.787,0.0358985,1
336,4,90,157,160.286,0.0495404,1
337,4,90,143,220.667,0.0365877,1
338,4,90,111,407.643,0.0162756,1
339,4,90,78,277.462,0.0409282,1
340,4,90,1232,88.1333,0.0849019,1
341,4,90,593,200.867,0.290115,1
342,4,90,1849,311.933,0.102877,1
343,4,90,1268,437.633,0.0751017,1
344,4,90,363,228.75,0.506867,1
345,4,90,272,199.918,0.115373,1
346,4,90,411,325.112,0.110843,1
347,4,90,304,385.081,0.0475677,1
348,4,90,420,93.6271,0.17826,1
349,4,90,553,192.229,0.260261,1
350,4,90,540,271.17,0.0832936,1
351,4,90,551,453.225,0.090908,1
352,4,90,785,111.375,0.246345,1
353,4,90,586,237.831,0.707014,1
354,4,90,837,325.078,0.0470769,1
355,4,90,995,418.989,0.0500067,1
356,4,90,955,78.2667,0.110117,1
357,4,90,566,170.191,0.418831,1
358,4,90,838,305.607,0.191068,1
359,4,90,960,381.956,0.0468137,1
360,4,105,61,72.8125,0.00954436,1
361,4,105,76,136.185,0.0377124,1
362,4,105,228,314.317,0.157779,1
363,4,105,167,330.933,0.0548756,1
364,4,105,1716,148.676,0.381528,1
365,4,105,1098,160.238,0.645748,1
366,4,105,1074,329.562,0.277926,1
367,4,105,1714,385.295,0.172283,1
368,4,105,644,145.411,0.319816,1
369,4,105,513,219.341,0.334539,1
370,4,105,552,321.058,0.0456707,1
371,4,105,457,421.33,0.0895121,1
372,4,105,851,97.3365,0.0619593,1
373,4,105,862,240.638,0.0458728,1
374,4,105,396,237.767,0.211823,1
375,4,105,751,424.029,0.0491067,1
376,4,105,896,100.366,0.446705,1
377,4,105,1150,190.905,0.0559141,1
378,4,105,298,281.074,0.135268,1
379,4,105,1107,345.514,0.057003,1
380,4,105,1293,85.9231,0.18119,1
381,4,105,999,239.676,0.165165,1
382,4,105,1455,271.381,0.0637684,1
383,4,105,746,386.514,0.571925,1
384,4,120,72,158.154,0.0154292,1
385,4,120,236,198.742,0.145496,1
386,4,120,101,341.846,0.0237612,1
387,4,120,123,444.174,0.0581664,1
388,4,120,2897,104.167,0.306342,1
389,4,120,1456,224.658,1.28057,1
390,4,120,2171,331.233,1.41383,1
391,4,120,2921,358.742,0.294194,1
392,4,120,900,99.6053,0.426816,1
393,4,120,794,252.151,0.215301,1
394,4,120,654,314.793,0.288968,1
395,4,120,444,395.035,0.264581,1
396,4,120,822,125.306,0.332318,1
397,4,120,760,223.964,0.364441,1
398,4,120,1209,287.867,0.0659303,1
399,4,120,646,419.133,0.482926,1
400,4,120,1537,80.3361,0.470063,1
401,4,120,1589,211.725,0.0746461,1
402,4,120,1531,304.658,0.0732685,1
403,4,120,823,399.65,0.187209,1
404,4,120,1104,117.546,0.936683,1
405,4,120,1641,149.083,0.376848,1
406,4,120,1725,313.342,0.151864,1
407,4,120,1746,413.692,0.144446,1
408,4,135,179,100.733,0.069868,1
409,4,135,315,261.148,0.287738,1
410,4,135,303,165.633,0.0992619,1
