index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,45,32,406.667,0.386513,1
1,3,45,43,235.364,0.00922884,1
2,3,45,45,341,0.0112602,1
3,3,45,49,642.5,0.0170841,1
4,3,45,266,263.818,0.0212149,1
5,3,45,434,330.152,0.086883,1
6,3,45,324,318.053,0.0441146,1
7,3,45,476,491.976,0.0692052,1
8,3,45,60,228.273,0.0146571,1
9,3,45,79,328,0.0160452,1
10,3,45,88,415.875,0.0491514,1
11,3,45,151,528.231,0.0909543,1
12,3,45,173,359.25,0.0645319,1
13,3,45,173,221.526,0.0481954,1
14,3,45,190,454.783,0.0945423,1
15,3,45,200,496.233,0.109326,1
16,3,45,162,139.25,0.0374804,1
17,3,45,250,359.63,0.128246,1
18,3,45,162,374.7,0.0449209,1
19,3,45,238,412,0.105885,1
20,3,45,140,282.56,0.0246774,1
21,3,45,303,265.971,0.128498,1
22,3,45,140,313.85,0.0311367,1
23,3,45,249,489.833,0.327306,1
24,3,60,70,378.857,0.0182069,1
25,3,60,75,194.56,0.0309961,1
26,3,60,87,857,0.0116016,1
27,3,60,57,821.5,0.011567,1
28,3,60,539,213.222,0.0495459,1
29,3,60,884,250.312,0.363019,1
30,3,60,756,269.035,0.230726,1
31,3,60,896,427.561,1.10355,1
32,3,60,269,230.333,0.0831447,1
33,3,60,202,240.976,0.111798,1
34,3,60,259,356.459,0.245402,1
35,3,60,259,543,0.241942,1
36,3,60,334,194.41,0.0969181,1
37,3,60,340,263.553,0.193614,1
38,3,60,345,272.863,0.100211,1
39,3,60,358,525.773,0.261844,1
40,3,60,409,142.737,0.192351,1
41,3,60,432,338.15,0.151646,1
42,3,60,288,343.368,0.105182,1
43,3,60,409,508.15,0.211073,1
44,3,60,480,147.395,0.113628,1
45,3,60,467,172.333,0.177491,1
46,3,60,345,324.163,0.176242,1
47,3,60,386,547.667,0.0594512,1
48,3,75,138,285.6,0.034325,1
49,3,75,90,241,0.016002,1
50,3,75,140,605,0.066432,1
51,3,75,138,557.167,0.0911307,1
52,3,75,756,128.716,0.408424,1
53,3,75,1394,237.258,1.11509,1
54,3,75,414,365.899,0.873383,1
55,3,75,1400,476.208,2.02548,1
56,3,75,160,263.739,0.0526671,1
57,3,75,394,278.65,0.266518,1
58,3,75,409,284.544,0.295956,1
59,3,75,142,684.25,0.0298836,1
60,3,75,394,194.895,0.139682,1
61,3,75,322,340.265,0.11893,1
62,3,75,260,435.904,0.10857,1
63,3,75,453,478.333,0.98714,1
64,3,75,700,92.75,0.150869,1
65,3,75,472,218.283,0.128844,1
66,3,75,625,418.667,1.5063,1
67,3,75,513,510.438,0.30888,1
68,3,75,483,98.8182,0.162121,1
69,3,75,591,342.895,0.283384,1
70,3,75,591,347.718,0.283601,1
71,3,75,615,458.675,0.600345,1
72,3,90,93,359.75,0.0268727,1
73,3,90,118,438.714,0.104215,1
74,3,90,100,509.833,0.0298403,1
75,3,90,134,797.333,0.0170009,1
76,3,90,1736,166.263,0.558452,1
77,3,90,2024,231.787,0.821037,1
78,3,90,1664,319.976,2.95447,1
79,3,90,1625,436.138,0.405813,1
80,3,90,475,128.667,0.191108,1
81,3,90,174,417.381,0.0449509,1
82,3,90,300,385.647,0.150452,1
83,3,90,571,481.808,0.590198,1
84,3,90,650,142.471,0.0531881,1
85,3,90,201,226.436,0.0776074,1
86,3,90,201,378.745,0.095528,1
87,3,90,291,462.875,0.134277,1
88,3,90,252,310.87,0.0375455,1
89,3,90,792,299.914,0.191894,1
