index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,45,32,142.893,0.000212243,1
1,3,45,43,129.536,0.000229636,1
2,3,45,45,182.933,0.000237401,1
3,3,45,49,342.744,0.000248992,1
4,3,45,266,133.911,0.000773618,1
5,3,45,434,248.133,0.00118524,1
6,3,45,324,277.622,0.000928893,1
7,3,45,476,464.511,0.00129723,1
8,3,45,60,121.892,0.00028425,1
9,3,45,79,131.419,0.000345877,1
10,3,45,88,223.333,0.000447499,1
11,3,45,151,402.756,0.000531338,1
12,3,45,173,145.977,0.000562357,1
13,3,45,173,144.756,0.000571685,1
14,3,45,190,302.356,0.000615318,1
15,3,45,200,436.822,0.000626028,1
16,3,45,162,54.9778,0.000571996,1
17,3,45,250,275.333,0.000753239,1
18,3,45,162,303.244,0.000551637,1
19,3,45,238,349.133,0.000726178,1
20,3,45,140,174.756,0.000482797,1
21,3,45,303,216.356,0.000905749,1
22,3,45,140,253.289,0.000488577,1
23,3,45,249,455.689,0.00079032,1
24,3,60,70,107.88,0.000392846,1
25,3,60,75,110.204,0.000348201,1
26,3,60,87,331.429,0.000390922,1
27,3,60,57,434.794,0.000312904,1
28,3,60,539,131.333,0.00154522,1
29,3,60,884,201.9,0.00237561,1
30,3,60,756,258.833,0.00207748,1
31,3,60,896,412.233,0.00251309,1
32,3,60,269,130.483,0.000882966,1
33,3,60,202,190.983,0.00068536,1
34,3,60,259,280.083,0.000830617,1
35,3,60,259,452.45,0.000824625,1
36,3,60,334,129.267,0.00102743,1
37,3,60,340,228.25,0.00103268,1
38,3,60,345,240.617,0.00103951,1
39,3,60,358,448.233,0.00111759,1
40,3,60,409,93.9833,0.001296,1
41,3,60,432,211.917,0.00127257,1
42,3,60,288,232.317,0.000898665,1
43,3,60,409,370.8,0.00122564,1
44,3,60,480,106.817,0.00139247,1
45,3,60,467,124.817,0.00135412,1
46,3,60,345,284.45,0.00107699,1
47,3,60,386,434.8,0.00120085,1
48,3,75,138,67.5139,0.000555344,1
49,3,75,90,111.898,0.000427081,1
50,3,75,140,294.113,0.000561716,1
51,3,75,138,391.622,0.000555625,1
52,3,75,756,114.987,0.00212961,1
53,3,75,1394,196.133,0.00394257,1
54,3,75,414,343.04,0.00131762,1
55,3,75,1400,369.613,0.0038066,1
56,3,75,160,139.653,0.00063223,1
57,3,75,394,212.333,0.00126662,1
58,3,75,409,266.853,0.00124987,1
59,3,75,142,378.58,0.000581935,1
60,3,75,394,73.2933,0.00124406,1
61,3,75,322,213.622,0.00108476,1
62,3,75,260,338.378,0.000886152,1
63,3,75,453,456.36,0.00138638,1
64,3,75,700,64.4,0.00204732,1
65,3,75,472,184.373,0.0014453,1
66,3,75,625,343.427,0.0018651,1
67,3,75,513,364.987,0.00155259,1
68,3,75,483,64.24,0.00146712,1
69,3,75,591,225.387,0.00178351,1
70,3,75,591,326.013,0.00175307,1
71,3,75,615,364.027,0.00183935,1
72,3,90,93,122.848,0.000507854,1
73,3,90,118,254.8,0.000570532,1
74,3,90,100,279.109,0.000515519,1
75,3,90,134,409.125,0.000585141,1
76,3,90,1736,107.467,0.00489187,1
77,3,90,2024,162.011,0.00575305,1
78,3,90,1664,298.644,0.00475119,1
79,3,90,1625,425.411,0.00450353,1
80,3,90,475,64.9111,0.00150226,1
81,3,90,174,222.395,0.000724635,1
82,3,90,300,228.178,0.00104474,1
83,3,90,571,378.5,0.00175142,1
84,3,90,650,79.8889,0.00193497,1
85,3,90,201,199.126,0.000788516,1
86,3,90,201,296.329,0.000798325,1
87,3,90,291,413.258,0.00101786,1
88,3,90,252,116.589,0.000897132,1
89,3,90,792,203.556,0.0023938,1
90,3,90,212,294.435,0.000810508,1
91,3,90,972,450.578,0.00280396,1
92,3,90,393,95.7556,0.00128454,1
93,3,90,638,174.789,0.00191974,1
94,3,90,348,354.2,0.00122149,1
95,3,90,840,445.4,0.00245764,1
96,3,105,170,158.887,0.00074846,1
97,3,105,59,169.667,0.000425197,1
98,3,105,210,246.898,0.00084293,1
99,3,105,254,280.904,0.000907352,1
100,3,105,1944,122.267,0.00564945,1
101,3,105,2574,168.333,0.00774999,1
102,3,105,594,255.171,0.00180644,1
103,3,105,2516,399.324,0.00754094,1
104,3,105,823,89.7905,0.00247009,1
105,3,105,735,202.714,0.00226708,1
106,3,105,724,316.6,0.0023408,1
107,3,105,178,441,0.000770933,1
108,3,105,446,84.9619,0.00146797,1
109,3,105,754,213.81,0.00233043,1
110,3,105,980,286.276,0.00288558,1
111,3,105,800,365.333,0.00243933,1
112,3,105,1273,97.6476,0.00373698,1
113,3,105,1188,219.905,0.00346528,1
114,3,105,1287,304.933,0.00376413,1
115,3,105,1323,448.162,0.00386413,1
116,3,105,300,81.3524,0.00110331,1
117,3,105,1628,225.162,0.00472761,1
118,3,105,1641,419.21,0.00495059,1
119,3,105,1095,388.905,0.00319521,1
120,3,120,357,86.9583,0.00122858,1
121,3,120,79,194.206,0.00052651,1
122,3,120,148,320.562,0.000735636,1
123,3,120,281,337.529,0.00105182,1
124,3,120,1836,119.058,0.00522639,1
125,3,120,3239,219.492,0.00933789,1
126,3,120,1100,350.258,0.00330621,1
127,3,120,3536,446.742,0.00987499,1
128,3,120,1078,100.842,0.00320741,1
129,3,120,827,221.375,0.00256789,1
130,3,120,1050,349.125,0.00318706,1
131,3,120,330,403.212,0.00122648,1
132,3,120,1228,65.8333,0.00369343,1
133,3,120,1430,221.3,0.00420909,1
134,3,120,1433,273.3,0.0041628,1
135,3,120,1440,454.067,0.0042604,1
136,3,120,448,95.6218,0.00156816,1
137,3,120,1512,197.658,0.00435666,1
138,3,120,959,321.742,0.00289839,1
139,3,120,1187,392.017,0.00350536,1
140,3,120,1338,99.9,0.00399911,1
141,3,120,2073,198.275,0.00624991,1
142,3,120,1895,304.25,0.00566647,1
143,3,120,410,373.667,0.0014381,1
144,3,135,448,99.1333,0.00168098,1
145,3,135,431,163.052,0.00159294,1
146,3,135,455,315.785,0.00173451,1
147,3,135,239,432.731,0.00129954,1
148,3,135,3744,113.407,0.012362,1
149,3,135,4500,226.052,0.0149116,1
150,3,135,4250,294.481,0.0126707,1
151,3,135,2006,418.067,0.00571005,1
152,3,135,1354,122.504,0.00413772,1
153,3,135,1240,167.704,0.00403329,1
154,3,135,1030,312.533,0.00316646,1
155,3,135,1333,445.593,0.00415903,1
156,3,135,1760,95.7704,0.00524107,1
157,3,135,1065,186.259,0.00328102,1
158,3,135,1030,260.83,0.00325526,1
159,3,135,920,420.719,0.00290588,1
160,3,135,1150,103.933,0.00364661,1
161,3,135,2275,238.659,0.00698035,1
162,3,135,2268,349.281,0.00670263,1
163,3,135,1872,473.489,0.00579098,1
164,3,135,390,112.15,0.00143801,1
165,3,135,609,159.289,0.0019913,1
166,3,135,951,215.037,0.00295972,1
167,3,135,1598,413.978,0.00501346,1
168,3,150,526,89.6242,0.00183214,1
169,3,150,554,229.2,0.00183825,1
170,3,150,460,312.671,0.0016419,1
171,3,150,522,463.093,0.00184059,1
172,3,150,1400,99.4933,0.00423255,1
173,3,150,5336,179.933,0.0172415,1
174,3,150,5184,294.813,0.0162127,1
175,3,150,5481,430.307,0.0174892,1
176,3,150,780,85.1467,0.00256833,1
177,3,150,1106,179.033,0.00336839,1
178,3,150,1590,312.713,0.00493795,1
179,3,150,1684,417.953,0.00514398,1
180,3,150,1250,111.827,0.00403053,1
181,3,150,857,191.78,0.00276441,1
182,3,150,1440,335.973,0.00431323,1
183,3,150,345,348.411,0.00134028,1
184,3,150,2448,97.9467,0.00783171,1
185,3,150,2650,207.747,0.00931548,1
186,3,150,1354,326.713,0.00425146,1
187,3,150,2794,413.587,0.00848547,1
188,3,150,1752,82.5533,0.00534188,1
189,3,150,2835,208.473,0.0088198,1
190,3,150,2265,308.267,0.00708249,1
191,3,150,840,422.047,0.00266131,1
192,3,165,251,88.3139,0.00121748,1
193,3,165,671,161.479,0.00220095,1
194,3,165,656,294.503,0.0021903,1
195,3,165,361,355.02,0.00139969,1
196,3,165,4154,70.7879,0.0130475,1
197,3,165,5474,212.63,0.0172204,1
198,3,165,5000,324.552,0.0153808,1
199,3,165,6734,377.248,0.0227574,1
200,3,165,1831,107.048,0.0055882,1
201,3,165,1995,195.752,0.00636241,1
202,3,165,376,291.924,0.00147895,1
203,3,165,1890,376.188,0.00595689,1
204,3,165,2554,83.4545,0.00786565,1
205,3,165,845,201.297,0.00278607,1
206,3,165,2501,270.576,0.00724815,1
207,3,165,1930,410.6,0.00602535,1
208,3,165,1323,98.303,0.00432406,1
209,3,165,3193,243.903,0.0110183,1
210,3,165,1323,310.982,0.00420205,1
211,3,165,3325,395.491,0.0113694,1
212,3,165,1740,96.0545,0.00522926,1
213,3,165,1509,202.648,0.00480268,1
214,3,165,3939,322.436,0.0132068,1
215,3,165,3488,425.606,0.0105181,1
216,3,180,333,108.974,0.00154284,1
217,3,180,137,232.352,0.00086929,1
218,3,180,725,298.525,0.00242889,1
219,3,180,773,362.694,0.00260138,1
220,3,180,1539,123.178,0.00481165,1
221,3,180,5396,195.633,0.0180644,1
222,3,180,4131,287.728,0.0129735,1
223,3,180,7904,399.322,0.0260907,1
224,3,180,1455,109.139,0.00485202,1
225,3,180,2400,217.311,0.00743301,1
226,3,180,2177,289.467,0.00684436,1
227,3,180,2393,374.378,0.00758293,1
228,3,180,484,87.1529,0.0018151,1
229,3,180,2830,214.439,0.0094812,1
230,3,180,2903,355.717,0.00936054,1
231,3,180,3095,403.878,0.00921298,1
232,3,180,2945,132.1,0.00900746,1
233,3,180,3712,226.289,0.0127488,1
234,3,180,3600,331.233,0.0125614,1
235,3,180,4018,398.344,0.0156346,1
236,3,180,4082,103.617,0.0138584,1
237,3,180,4422,165.906,0.0173274,1
238,3,180,4038,320.628,0.0135221,1
239,3,180,3645,383.294,0.0128616,1
240,3,195,534,103.353,0.00198371,1
241,3,195,380,222.893,0.00158907,1
242,3,195,946,281.364,0.00306311,1
243,3,195,631,407.438,0.00231831,1
244,3,195,4250,116.513,0.0156486,1
245,3,195,5724,228.067,0.0195405,1
246,3,195,7344,328.579,0.0231792,1
247,3,195,2700,418.036,0.00782056,1
248,3,195,1360,109.379,0.0044911,1
249,3,195,2116,151.564,0.00699525,1
250,3,195,1927,294.749,0.00617274,1
251,3,195,760,436.313,0.00265801,1
252,3,195,2338,120.395,0.00751331,1
253,3,195,740,199.569,0.00257327,1
254,3,195,2338,315.59,0.00768174,1
255,3,195,3209,410.759,0.0111652,1
256,3,195,4225,106.462,0.0131075,1
257,3,195,4087,217.256,0.0133223,1
258,3,195,4687,291.431,0.0153233,1
259,3,195,4477,455.359,0.0156296,1
260,3,195,4173,92.5282,0.01298,1
261,3,195,4670,225.836,0.0146759,1
262,3,195,2721,275.677,0.00871304,1
263,3,195,897,400.21,0.00322622,1
264,4,45,32,12.1667,0.000208136,1
265,4,45,38,140.483,0.000221451,1
266,4,45,33,149.471,0.000200741,1
267,4,45,40,311.2,0.000230588,1
268,4,45,289,143.333,0.000850034,1
269,4,45,421,184.133,0.0011903,1
270,4,45,321,212.2,0.000913233,1
271,4,45,424,403.4,0.00117319,1
272,4,45,96,89.8095,0.000414908,1
273,4,45,110,170.044,0.000403155,1
274,4,45,93,275.545,0.000363329,1
275,4,45,106,434.023,0.000419827,1
276,4,45,149,59.2889,0.000726589,1
277,4,45,177,150.822,0.000653921,1
278,4,45,113,304.956,0.000416851,1
