index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,45,32,142.893,0.000254792,1
1,3,45,43,164.864,0.000194158,1
2,3,45,45,189.241,0.000199848,1
3,3,45,49,381.914,0.000209828,1
4,3,45,266,133.911,0.000611639,1
5,3,45,434,248.133,0.000866562,1
6,3,45,324,277.622,0.000673065,1
7,3,45,476,464.511,0.000911887,1
8,3,45,60,121.892,0.000233973,1
9,3,45,79,131.419,0.000276624,1
10,3,45,88,223.333,0.000278227,1
11,3,45,151,402.756,0.00038534,1
12,3,45,173,145.977,0.000421348,1
13,3,45,173,144.756,0.000469209,1
14,3,45,190,302.356,0.000451886,1
15,3,45,200,436.822,0.000463549,1
16,3,45,162,54.9778,0.000412402,1
17,3,45,250,281.591,0.000547618,1
18,3,45,162,303.244,0.000404046,1
19,3,45,238,349.133,0.000538099,1
20,3,45,140,174.756,0.000364501,1
21,3,45,303,216.356,0.000636505,1
22,3,45,140,253.289,0.000378818,1
23,3,45,249,455.689,0.000553018,1
24,3,60,70,107.88,0.000287795,1
25,3,60,75,123.979,0.000285832,1
26,3,60,87,350.189,0.000314636,1
27,3,60,57,434.794,0.000254822,1
28,3,60,539,131.333,0.00111224,1
29,3,60,884,201.9,0.0017258,1
30,3,60,756,258.833,0.0014608,1
31,3,60,896,412.233,0.00170594,1
32,3,60,269,130.483,0.000637107,1
33,3,60,202,190.983,0.000529002,1
34,3,60,259,280.083,0.000607792,1
35,3,60,259,452.45,0.000609074,1
36,3,60,334,129.267,0.000745242,1
37,3,60,340,228.25,0.00074981,1
38,3,60,345,262.491,0.000756723,1
39,3,60,358,448.233,0.000777994,1
40,3,60,409,95.5763,0.000882552,1
41,3,60,432,211.917,0.000932429,1
42,3,60,288,232.317,0.000667727,1
43,3,60,409,370.8,0.000881142,1
44,3,60,480,106.817,0.00100964,1
45,3,60,467,124.817,0.000968017,1
46,3,60,345,284.45,0.000786102,1
47,3,60,386,434.8,0.000845765,1
48,3,75,138,69.4429,0.000451988,1
49,3,75,90,157.19,0.000344323,1
50,3,75,140,298.314,0.000450435,1
51,3,75,138,414,0.00044807,1
52,3,75,756,114.987,0.00156644,1
53,3,75,1394,196.133,0.00273716,1
54,3,75,414,343.04,0.000931898,1
55,3,75,1400,369.613,0.00266502,1
56,3,75,160,139.653,0.000498716,1
57,3,75,394,212.333,0.000916017,1
58,3,75,409,266.853,0.000930666,1
59,3,75,142,378.58,0.000564901,1
60,3,75,394,73.2933,0.000901079,1
61,3,75,322,213.622,0.000783456,1
62,3,75,260,338.378,0.000667978,1
63,3,75,453,456.36,0.00103037,1
64,3,75,700,64.4,0.00144325,1
65,3,75,472,194.761,0.0010329,1
66,3,75,625,343.427,0.00130544,1
67,3,75,513,364.987,0.00110436,1
68,3,75,483,64.24,0.00106574,1
69,3,75,591,225.387,0.00126023,1
70,3,75,591,326.013,0.00126238,1
71,3,75,615,364.027,0.00128734,1
72,3,90,93,122.848,0.000434615,1
73,3,90,118,258.243,0.000458971,1
74,3,90,100,279.109,0.000419667,1
75,3,90,134,409.125,0.000494227,1
76,3,90,1736,107.467,0.00341226,1
77,3,90,2024,162.011,0.00400754,1
78,3,90,1664,298.644,0.00320737,1
79,3,90,1625,425.411,0.0031223,1
80,3,90,475,64.9111,0.00114502,1
81,3,90,174,222.395,0.000562077,1
82,3,90,300,228.178,0.000807792,1
83,3,90,571,378.5,0.00124283,1
84,3,90,650,85.5952,0.00137382,1
85,3,90,201,199.126,0.000631748,1
86,3,90,201,296.329,0.000614355,1
87,3,90,291,413.258,0.000841606,1
88,3,90,252,116.589,0.000701049,1
89,3,90,792,203.556,0.001651,1
90,3,90,212,294.435,0.000645674,1
91,3,90,972,450.578,0.00195977,1
92,3,90,393,95.7556,0.000971303,1
93,3,90,638,174.789,0.00138091,1
94,3,90,348,354.2,0.000858528,1
95,3,90,840,445.4,0.00173158,1
96,3,105,170,158.887,0.000594207,1
97,3,105,59,169.667,0.000376785,1
98,3,105,210,246.898,0.000667927,1
99,3,105,254,286.412,0.000729724,1
100,3,105,1944,122.267,0.00373685,1
101,3,105,2574,168.333,0.00499779,1
102,3,105,594,255.171,0.00133699,1
103,3,105,2516,399.324,0.00484053,1
104,3,105,823,89.7905,0.00176513,1
105,3,105,735,202.714,0.00162611,1
106,3,105,724,316.6,0.00157272,1
107,3,105,178,441,0.000615387,1
108,3,105,446,84.9619,0.00108275,1
109,3,105,754,213.81,0.00162747,1
110,3,105,980,286.276,0.00203809,1
111,3,105,800,365.333,0.0017501,1
112,3,105,1273,97.6476,0.00262455,1
113,3,105,1188,219.905,0.00242008,1
114,3,105,1287,304.933,0.00261625,1
115,3,105,1323,448.162,0.00265916,1
116,3,105,300,81.3524,0.000841005,1
117,3,105,1628,225.162,0.00323138,1
118,3,105,1641,419.21,0.00327214,1
119,3,105,1095,388.905,0.00226355,1
120,3,120,357,86.9583,0.00098069,1
121,3,120,79,197.339,0.000465694,1
122,3,120,148,320.562,0.000593676,1
123,3,120,281,427.298,0.00081706,1
124,3,120,1836,119.058,0.00356938,1
125,3,120,3239,219.492,0.00626977,1
126,3,120,1100,350.258,0.00226714,1
127,3,120,3536,446.742,0.00668242,1
128,3,120,1078,100.842,0.00230432,1
129,3,120,827,225.127,0.00182584,1
130,3,120,1050,355.042,0.00221059,1
131,3,120,330,403.212,0.00092737,1
132,3,120,1228,65.8333,0.00255815,1
133,3,120,1430,221.3,0.00292796,1
134,3,120,1433,273.3,0.00290761,1
135,3,120,1440,454.067,0.00293917,1
136,3,120,448,95.6218,0.00115756,1
137,3,120,1512,197.658,0.00305656,1
138,3,120,959,321.742,0.00207027,1
139,3,120,1187,392.017,0.0025403,1
140,3,120,1338,99.9,0.00274218,1
141,3,120,2073,198.275,0.00408126,1
142,3,120,1895,304.25,0.00382095,1
143,3,120,410,373.667,0.00110146,1
144,3,135,448,99.8731,0.00126107,1
145,3,135,431,196.838,0.00113322,1
146,3,135,455,315.785,0.00119283,1
147,3,135,239,432.731,0.00081149,1
148,3,135,3744,113.407,0.00788627,1
149,3,135,4500,226.052,0.00901291,1
150,3,135,4250,294.481,0.00842645,1
151,3,135,2006,418.067,0.00407441,1
152,3,135,1354,122.504,0.00284206,1
153,3,135,1240,167.704,0.00269253,1
154,3,135,1030,317.233,0.0022944,1
155,3,135,1333,445.593,0.00288842,1
156,3,135,1760,95.7704,0.00394811,1
157,3,135,1065,186.259,0.00233694,1
158,3,135,1030,262.776,0.00238889,1
159,3,135,920,420.719,0.00207274,1
160,3,135,1150,103.933,0.00251986,1
161,3,135,2275,238.659,0.0047005,1
162,3,135,2268,349.281,0.00455665,1
163,3,135,1872,473.489,0.00386007,1
164,3,135,390,112.15,0.00111491,1
165,3,135,609,159.289,0.00152471,1
166,3,135,951,215.037,0.00212536,1
167,3,135,1598,413.978,0.00351162,1
168,3,150,526,90.8435,0.00139551,1
169,3,150,554,262.443,0.00140149,1
170,3,150,460,316.925,0.00126884,1
