index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,45,32,206,0.00330228,1
1,3,45,43,170.9,0.00308034,1
2,3,45,45,211.077,0.0036681,1
3,3,45,49,373.591,0.00355298,1
4,3,45,266,133.911,0.00979346,1
5,3,45,434,248.133,0.0123357,1
6,3,45,324,277.622,0.0112441,1
7,3,45,476,464.511,0.0131253,1
8,3,45,60,143.333,0.00590512,1
9,3,45,79,172.625,0.00563031,1
10,3,45,88,230.789,0.00648549,1
11,3,45,151,402.756,0.0059598,1
12,3,45,173,166.571,0.00708431,1
13,3,45,173,148.045,0.00712429,1
14,3,45,190,308.349,0.0074446,1
15,3,45,200,436.822,0.00690044,1
16,3,45,162,65.1053,0.0084624,1
17,3,45,250,275.333,0.00690038,1
18,3,45,162,303.244,0.00850716,1
19,3,45,238,349.133,0.00755446,1
20,3,45,140,208.2,0.0102296,1
21,3,45,303,222.419,0.0080859,1
22,3,45,140,270.619,0.0101251,1
23,3,45,249,455.689,0.0102507,1
24,3,60,70,282,0.00700733,1
25,3,60,75,133.756,0.00670045,1
26,3,60,87,352.161,0.00671246,1
27,3,60,57,479.714,0.00646289,1
28,3,60,539,131.333,0.0221896,1
29,3,60,884,201.9,0.0290504,1
30,3,60,756,258.833,0.0257725,1
31,3,60,896,412.233,0.0293558,1
32,3,60,269,136.389,0.0117979,1
33,3,60,202,195.241,0.0121093,1
34,3,60,259,280.083,0.0113274,1
35,3,60,259,452.45,0.0118366,1
36,3,60,334,134.228,0.0113112,1
37,3,60,340,228.25,0.0114866,1
38,3,60,345,241.475,0.0162853,1
39,3,60,358,448.233,0.0136766,1
40,3,60,409,97.2241,0.0145091,1
41,3,60,432,211.917,0.015803,1
42,3,60,288,245.179,0.0163173,1
43,3,60,409,370.8,0.0180038,1
44,3,60,480,108,0.0160263,1
45,3,60,467,125.362,0.0188692,1
46,3,60,345,284.45,0.0199116,1
47,3,60,386,434.8,0.020418,1
48,3,75,138,135.714,0.0105796,1
49,3,75,90,165.811,0.0110586,1
50,3,75,140,325.639,0.0122811,1
51,3,75,138,394.973,0.0122933,1
52,3,75,756,114.987,0.0363698,1
