index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,45,32,294.2,0.00283662,1
1,3,45,43,227.867,0.002846,1
2,3,45,45,314.667,0.00271588,1
3,3,45,49,642.5,0.00317008,1
4,3,45,266,263.818,0.0204221,1
5,3,45,434,330.152,0.0393668,1
6,3,45,324,318.053,0.031669,1
7,3,45,476,491.976,0.033686,1
8,3,45,60,155.517,0.00518977,1
9,3,45,79,245.6,0.00431154,1
10,3,45,88,402,0.0043902,1
11,3,45,151,446.579,0.00601391,1
12,3,45,173,342.364,0.00619058,1
13,3,45,173,197.227,0.00785782,1
14,3,45,190,410.069,0.00711126,1
15,3,45,200,487.472,0.00892716,1
16,3,45,162,93.1923,0.00712218,1
17,3,45,250,328.939,0.0115593,1
18,3,45,162,325.415,0.00884713,1
19,3,45,238,412,0.0108609,1
20,3,45,140,276.625,0.00839859,1
21,3,45,303,265.971,0.0102394,1
22,3,45,140,299.865,0.00992947,1
23,3,45,249,477.31,0.0127604,1
24,3,60,70,352.5,0.00576047,1
25,3,60,75,194.56,0.00614643,1
26,3,60,87,444.6,0.00652036,1
27,3,60,57,707.25,0.00468171,1
28,3,60,539,213.222,0.090057,1
29,3,60,884,250.312,0.118288,1
30,3,60,756,269.035,0.0697358,1
31,3,60,896,427.561,0.0983598,1
32,3,60,269,219.515,0.00983583,1
33,3,60,202,234.6,0.0105252,1
34,3,60,259,354.091,0.0131923,1
35,3,60,259,512.723,0.0139588,1
36,3,60,334,194.41,0.0131917,1
37,3,60,340,262.898,0.0164373,1
38,3,60,345,272.863,0.0233685,1
39,3,60,358,484.759,0.0202345,1
40,3,60,409,126.92,0.0232876,1
41,3,60,432,323.316,0.020744,1
42,3,60,288,343.368,0.0155682,1
43,3,60,409,501.263,0.0224436,1
44,3,60,480,147.395,0.0268236,1
45,3,60,467,172.333,0.0344479,1
46,3,60,345,322.019,0.0291885,1
47,3,60,386,547.667,0.0226737,1
48,3,75,138,226.19,0.00859256,1
49,3,75,90,215.545,0.0103814,1
50,3,75,140,450,0.0105897,1
51,3,75,138,476.754,0.0121729,1
52,3,75,756,128.716,0.124261,1
53,3,75,1394,237.258,0.283099,1
54,3,75,414,365.899,0.0954632,1
55,3,75,1400,476.208,0.282639,1
56,3,75,160,248.263,0.0178755,1
57,3,75,394,266.655,0.0188709,1
58,3,75,409,278.735,0.0263453,1
59,3,75,142,581.121,0.0123289,1
60,3,75,394,141.618,0.0206516,1
61,3,75,322,333.477,0.0196583,1
62,3,75,260,432.093,0.0227064,1
63,3,75,453,474.559,0.0345671,1
64,3,75,700,84.7368,0.0448184,1
65,3,75,472,211.127,0.065818,1
66,3,75,625,418.667,0.0447943,1
67,3,75,513,510.438,0.0385624,1
68,3,75,483,96.6222,0.0368891,1
69,3,75,591,299.167,0.0440586,1
70,3,75,591,345.118,0.0786209,1
71,3,75,615,402.457,0.0832512,1
72,3,90,93,347.556,0.0150624,1
73,3,90,118,396.031,0.017347,1
74,3,90,100,463.5,0.0141833,1
75,3,90,134,589.4,0.0141748,1
76,3,90,1736,166.263,0.574135,1
77,3,90,2024,231.787,0.577984,1
78,3,90,1664,319.976,0.362861,1
79,3,90,1625,436.138,0.184532,1
80,3,90,475,115.429,0.0313951,1
81,3,90,174,417.381,0.0337305,1
82,3,90,300,345.189,0.0292868,1
83,3,90,571,412.933,0.0489479,1
84,3,90,650,112.381,0.0835757,1
85,3,90,201,210.15,0.0518872,1
86,3,90,201,364.509,0.0385822,1
87,3,90,291,452.935,0.046843,1
88,3,90,252,276.432,0.0334017,1
89,3,90,792,299.914,0.0651023,1
90,3,90,212,338.685,0.061091,1
91,3,90,972,495.649,0.0892796,1
92,3,90,393,140.93,0.065896,1
93,3,90,638,222.5,0.0795016,1
94,3,90,348,457.343,0.0632283,1
95,3,90,840,551.044,0.103611,1
96,3,105,170,530.4,0.0190095,1
97,3,105,59,485.125,0.0154223,1
98,3,105,210,416.733,0.0197811,1
99,3,105,254,394.778,0.0222561,1
100,3,105,1944,125.863,0.263453,1
101,3,105,2574,182.216,0.699929,1
102,3,105,594,299.276,0.353702,1
103,3,105,2516,439.099,0.843456,1
104,3,105,823,130.944,0.0536489,1
105,3,105,735,249.889,0.0603919,1
106,3,105,724,338.505,0.0708454,1
107,3,105,178,661.75,0.023942,1
108,3,105,446,249.083,0.0407212,1
109,3,105,754,292.478,0.0530608,1
110,3,105,980,336.966,0.111795,1
111,3,105,800,378.835,0.118077,1
112,3,105,1273,139.588,0.172704,1
113,3,105,1188,261.541,0.111447,1
114,3,105,1287,341.934,0.178118,1
115,3,105,1323,508.911,0.230319,1
116,3,105,300,132.565,0.091708,1
117,3,105,1628,284.284,0.258189,1
118,3,105,1641,435,0.342105,1
119,3,105,1095,421.082,0.336265,1
120,3,120,357,292.8,0.0244434,1
121,3,120,79,327.154,0.0358864,1
122,3,120,148,418.133,0.0327645,1
123,3,120,281,442.311,0.0430558,1
124,3,120,1836,144.313,1.05791,1
125,3,120,3239,259.614,1.43487,1
126,3,120,1100,486.573,0.698113,1
