index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,45,32,215.455,0.000514346,1
1,3,45,43,184.929,0.000376384,1
2,3,45,45,227.632,0.000649172,1
3,3,45,49,458.5,0.00108155,1
4,3,45,266,133.911,0.00833522,1
5,3,45,434,248.133,0.0235291,1
6,3,45,324,277.622,0.0279025,1
7,3,45,476,464.511,0.0442271,1
8,3,45,60,209.25,0.00096484,1
9,3,45,79,191.8,0.00221846,1
10,3,45,88,245.833,0.00387271,1
11,3,45,151,402.756,0.00547348,1
12,3,45,173,154.081,0.00449923,1
13,3,45,173,148.045,0.00371542,1
14,3,45,190,308.349,0.00547076,1
15,3,45,200,436.822,0.00984276,1
16,3,45,162,58.9048,0.00357669,1
17,3,45,250,275.333,0.00694665,1
18,3,45,162,303.244,0.00916574,1
19,3,45,238,349.133,0.0152669,1
20,3,45,140,189.415,0.0061092,1
21,3,45,303,222.419,0.00748098,1
22,3,45,140,270.619,0.00622173,1
23,3,45,249,455.689,0.0149685,1
24,3,60,70,282,0.000977164,1
25,3,60,75,151,0.000916118,1
26,3,60,87,361.643,0.00266784,1
27,3,60,57,490.7,0.00122129,1
28,3,60,539,131.333,0.0390978,1
29,3,60,884,201.9,0.0556941,1
30,3,60,756,258.833,0.0420004,1
31,3,60,896,412.233,0.100631,1
32,3,60,269,136.469,0.0039266,1
33,3,60,202,195.5,0.0107999,1
34,3,60,259,280.083,0.0165441,1
35,3,60,259,452.45,0.0227626,1
36,3,60,334,129.267,0.0100194,1
37,3,60,340,228.25,0.0180192,1
38,3,60,345,241.475,0.0140447,1
39,3,60,358,448.233,0.0323544,1
40,3,60,409,95.5763,0.00788547,1
41,3,60,432,211.917,0.012328,1
42,3,60,288,247.569,0.0255252,1
43,3,60,409,370.8,0.0357465,1
44,3,60,480,108,0.0206401,1
45,3,60,467,125.362,0.0124308,1
46,3,60,345,284.45,0.0343598,1
47,3,60,386,434.8,0.0514873,1
48,3,75,138,133.793,0.00179468,1
49,3,75,90,166.613,0.0011333,1
50,3,75,140,324.059,0.00512985,1
51,3,75,138,394.973,0.00687999,1
52,3,75,756,114.987,0.0382123,1
53,3,75,1394,196.133,0.15611,1
54,3,75,414,343.04,0.116256,1
55,3,75,1400,369.613,0.185293,1
56,3,75,160,210.176,0.00913965,1
57,3,75,394,215.479,0.0253793,1
58,3,75,409,266.853,0.0298288,1
59,3,75,142,404.214,0.0143503,1
60,3,75,394,90.1148,0.0151417,1
61,3,75,322,234.373,0.0334695,1
62,3,75,260,338.378,0.04669,1
63,3,75,453,456.36,0.0548772,1
64,3,75,700,65.1757,0.0227572,1
65,3,75,472,184.373,0.0161281,1
66,3,75,625,343.427,0.0833578,1
67,3,75,513,364.987,0.0881269,1
68,3,75,483,65.6364,0.0262578,1
69,3,75,591,225.387,0.0773338,1
70,3,75,591,326.013,0.038822,1
71,3,75,615,364.027,0.0530604,1
72,3,90,93,172.542,0.00368146,1
73,3,90,118,305.816,0.00663741,1
74,3,90,100,323.978,0.00598711,1
75,3,90,134,421.805,0.00993958,1
76,3,90,1736,107.467,0.185198,1
77,3,90,2024,162.011,0.13917,1
78,3,90,1664,298.644,0.308937,1
79,3,90,1625,425.411,0.201044,1
80,3,90,475,81.7045,0.0177952,1
81,3,90,174,232.387,0.0181533,1
82,3,90,300,242.202,0.0415176,1
83,3,90,571,378.5,0.0674263,1
84,3,90,650,81.7045,0.0127006,1
85,3,90,201,200.855,0.0177927,1
86,3,90,201,298.788,0.0527034,1
87,3,90,291,423.864,0.0806025,1
88,3,90,252,172.442,0.0217644,1
89,3,90,792,204.899,0.103329,1
90,3,90,212,294.435,0.036504,1
91,3,90,972,450.578,0.22333,1
92,3,90,393,107.725,0.0433388,1
93,3,90,638,178.309,0.108596,1
94,3,90,348,358.18,0.128861,1
95,3,90,840,445.4,0.295744,1
96,3,105,170,344,0.00966059,1
97,3,105,59,286.167,0.0023102,1
98,3,105,210,253.837,0.0110764,1
99,3,105,254,287.928,0.0119402,1
100,3,105,1944,122.267,0.0728372,1
101,3,105,2574,168.333,0.321552,1
102,3,105,594,255.171,0.378107,1
103,3,105,2516,399.324,0.687385,1
104,3,105,823,93.99,0.0348151,1
105,3,105,735,202.714,0.08495,1
106,3,105,724,316.6,0.0757674,1
107,3,105,178,445.807,0.0324932,1
108,3,105,446,97.587,0.0350668,1
109,3,105,754,225.278,0.135989,1
110,3,105,980,286.276,0.177151,1
111,3,105,800,365.333,0.104355,1
112,3,105,1273,98.5865,0.0603761,1
113,3,105,1188,219.905,0.190565,1
114,3,105,1287,304.933,0.167835,1
115,3,105,1323,448.162,0.256708,1
116,3,105,300,104.429,0.0411647,1
117,3,105,1628,225.162,0.174133,1
118,3,105,1641,419.21,0.191378,1
119,3,105,1095,388.905,0.147933,1
120,3,120,357,112.167,0.00901553,1
121,3,120,79,267.857,0.00385826,1
122,3,120,148,368.514,0.0181684,1
123,3,120,281,342.2,0.0240092,1
124,3,120,1836,119.058,0.375003,1
125,3,120,3239,219.492,0.581198,1
126,3,120,1100,350.258,1.0428,1
127,3,120,3536,446.742,1.84135,1
128,3,120,1078,102.551,0.058027,1
129,3,120,827,221.375,0.065063,1
130,3,120,1050,349.125,0.125944,1
131,3,120,330,422.712,0.127927,1
132,3,120,1228,69.381,0.0639796,1
133,3,120,1430,221.3,0.179264,1
134,3,120,1433,273.3,0.198733,1
135,3,120,1440,454.067,0.306458,1
136,3,120,448,138.02,0.0652005,1
137,3,120,1512,197.658,0.198594,1
138,3,120,959,321.742,0.287993,1
139,3,120,1187,392.017,0.525124,1
140,3,120,1338,107.821,0.140139,1
141,3,120,2073,198.275,0.375314,1
142,3,120,1895,304.25,0.330796,1
143,3,120,410,373.667,0.167458,1
144,3,135,448,141.5,0.0202342,1
145,3,135,431,181.07,0.0202921,1
146,3,135,455,318.142,0.047152,1
147,3,135,239,432.731,0.0407823,1
148,3,135,3744,113.407,0.930423,1
149,3,135,4500,226.052,1.09932,1
150,3,135,4250,294.481,2.40148,1
151,3,135,2006,418.067,1.26446,1
152,3,135,1354,124.098,0.101336,1
153,3,135,1240,167.704,0.185589,1
154,3,135,1030,312.533,0.159847,1
155,3,135,1333,445.593,0.422988,1
156,3,135,1760,95.7704,0.15314,1
157,3,135,1065,191.093,0.275297,1
158,3,135,1030,261.955,0.146246,1
159,3,135,920,420.719,0.406052,1
160,3,135,1150,107.107,0.108013,1
161,3,135,2275,238.659,0.384955,1
