index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,45,32,406.667,0.00031064,1
1,3,45,43,235.364,0.000237671,1
2,3,45,45,341,0.000402894,1
3,3,45,49,595.333,0.000508395,1
4,3,45,266,263.818,0.000975882,1
5,3,45,434,330.152,0.00161963,1
6,3,45,324,318.053,0.00163966,1
7,3,45,476,490.857,0.00266581,1
8,3,45,60,206.625,0.000308666,1
9,3,45,79,304.385,0.00048486,1
10,3,45,88,415.875,0.00092214,1
11,3,45,151,528.231,0.00138274,1
12,3,45,173,359.25,0.000926157,1
13,3,45,173,221.526,0.000883356,1
14,3,45,190,379.647,0.00116032,1
15,3,45,200,496.233,0.00186858,1
16,3,45,162,103.083,0.000529675,1
17,3,45,250,359.63,0.00124367,1
18,3,45,162,324.905,0.0012179,1
19,3,45,238,409.081,0.00174747,1
20,3,45,140,282.56,0.000709266,1
21,3,45,303,265.971,0.00130205,1
22,3,45,140,299.708,0.000828933,1
23,3,45,249,466.045,0.00208018,1
24,3,60,70,378.857,0.00041102,1
25,3,60,75,188.75,0.000398777,1
26,3,60,87,857,0.000956465,1
27,3,60,57,821.5,0.000519125,1
28,3,60,539,213.222,0.00147956,1
29,3,60,884,250.312,0.00350036,1
30,3,60,756,267.759,0.00373925,1
31,3,60,896,425.655,0.00472054,1
32,3,60,269,221.034,0.00090078,1
33,3,60,202,230.636,0.00132458,1
34,3,60,259,356.067,0.00218748,1
35,3,60,259,510.658,0.0028028,1
36,3,60,334,189.55,0.00129806,1
37,3,60,340,253.698,0.00215759,1
38,3,60,345,262.491,0.00258205,1
39,3,60,358,525.773,0.0038293,1
40,3,60,409,134.833,0.00133425,1
41,3,60,432,325,0.00185252,1
42,3,60,288,343.368,0.00241142,1
43,3,60,409,484.8,0.00350041,1
44,3,60,480,147.395,0.00146658,1
45,3,60,467,169.093,0.00210621,1
46,3,60,345,322.019,0.00263269,1
47,3,60,386,547.667,0.00359989,1
48,3,75,138,285.6,0.000519887,1
49,3,75,90,210.944,0.00046886,1
50,3,75,140,605,0.00138274,1
51,3,75,138,514.378,0.00189278,1
52,3,75,756,128.716,0.00273709,1
53,3,75,1394,237.258,0.00407806,1
54,3,75,414,364.486,0.00415506,1
55,3,75,1400,474.593,0.0100096,1
56,3,75,160,263.739,0.00100104,1
57,3,75,394,266.655,0.00264923,1
58,3,75,409,279.529,0.00353975,1
59,3,75,142,657.8,0.00265712,1
60,3,75,394,167.481,0.00155451,1
61,3,75,322,330.956,0.00298088,1
62,3,75,260,432.542,0.00363054,1
63,3,75,453,461.846,0.00586625,1
64,3,75,700,92.75,0.00202046,1
65,3,75,472,206.097,0.00283546,1
66,3,75,625,411.448,0.00496417,1
67,3,75,513,495.62,0.00535899,1
68,3,75,483,95.2619,0.00175793,1
69,3,75,591,301.137,0.00567152,1
70,3,75,591,342.867,0.00498219,1
71,3,75,615,423.475,0.00612856,1
72,3,90,93,312.714,0.000857507,1
73,3,90,118,386.483,0.00142607,1
74,3,90,100,496.8,0.00132004,1
75,3,90,134,797.333,0.00272201,1
76,3,90,1736,166.263,0.00460529,1
77,3,90,2024,231.787,0.0062842,1
78,3,90,1664,319.976,0.00818047,1
79,3,90,1625,434.045,0.0153435,1
80,3,90,475,121.2,0.00230512,1
81,3,90,174,328.959,0.00163179,1
82,3,90,300,343.4,0.0037937,1
83,3,90,571,407.405,0.00707019,1
84,3,90,650,138.4,0.00263956,1
85,3,90,201,212.297,0.00201388,1
86,3,90,201,348.556,0.00284485,1
87,3,90,291,451.21,0.00492532,1
88,3,90,252,310.87,0.00166986,1
89,3,90,792,299.914,0.00580016,1
90,3,90,212,338.203,0.00258575,1
91,3,90,972,490.859,0.0113452,1
92,3,90,393,173.686,0.00199148,1
93,3,90,638,214.313,0.00477285,1
94,3,90,348,436.685,0.00418239,1
95,3,90,840,551.044,0.0131144,1
96,3,105,170,656.5,0.00169866,1
97,3,105,59,594,0.000724294,1
98,3,105,210,465.25,0.00275004,1
99,3,105,254,536.286,0.00246185,1
100,3,105,1944,125.863,0.00601335,1
101,3,105,2574,182.216,0.0112613,1
102,3,105,594,299.17,0.00496069,1
103,3,105,2516,435.979,0.0241596,1
104,3,105,823,149.853,0.00347926,1
105,3,105,735,246.488,0.00491259,1
106,3,105,724,389.545,0.00812725,1
107,3,105,178,643.704,0.0048996,1
108,3,105,446,249.083,0.00283249,1
109,3,105,754,294.319,0.00812846,1
110,3,105,980,341.778,0.0111039,1
111,3,105,800,386.718,0.0104843,1
112,3,105,1273,148.056,0.00490091,1
113,3,105,1188,261.541,0.00841941,1
114,3,105,1287,343.418,0.0120407,1
115,3,105,1323,495.089,0.015144,1
116,3,105,300,134.265,0.00174438,1
117,3,105,1628,284.284,0.010355,1
118,3,105,1641,437.16,0.0152625,1
119,3,105,1095,421.082,0.0138213,1
120,3,120,357,292.8,0.00210294,1
121,3,120,79,327.154,0.00120843,1
122,3,120,148,507.2,0.00324299,1
123,3,120,281,470,0.0050092,1
124,3,120,1836,144.313,0.00620629,1
125,3,120,3239,259.614,0.022003,1
126,3,120,1100,486.573,0.0113982,1
127,3,120,3536,466.571,0.039077,1
128,3,120,1078,177.895,0.00585221,1
129,3,120,827,266.605,0.00765453,1
130,3,120,1050,361.515,0.0140846,1
131,3,120,330,438.542,0.00798919,1
132,3,120,1228,122.25,0.00445976,1
133,3,120,1430,258.431,0.0112707,1
134,3,120,1433,296.337,0.0139573,1
135,3,120,1440,503.747,0.0201092,1
136,3,120,448,191.694,0.00260698,1
137,3,120,1512,315.912,0.0122001,1
138,3,120,959,507.313,0.0144452,1
139,3,120,1187,434.551,0.0174312,1
140,3,120,1338,202.143,0.00917579,1
141,3,120,2073,278,0.0144107,1
142,3,120,1895,334.141,0.0198491,1
143,3,120,410,393.333,0.00977004,1
144,3,135,448,397.4,0.00316268,1
145,3,135,431,276.385,0.0045679,1
146,3,135,455,419.5,0.00676695,1
147,3,135,239,507.041,0.00574222,1
148,3,135,3744,156.897,0.0107376,1
149,3,135,4500,238.258,0.0240281,1
150,3,135,4250,324.197,0.0284594,1
151,3,135,2006,642.919,0.0283085,1
152,3,135,1354,149.054,0.00858431,1
153,3,135,1240,193.759,0.0114426,1
154,3,135,1030,377.706,0.0145021,1
155,3,135,1333,486.178,0.0246519,1
156,3,135,1760,125.931,0.00577174,1
157,3,135,1065,303.784,0.0137364,1
158,3,135,1030,267.954,0.013843,1
159,3,135,920,585.726,0.017855,1
160,3,135,1150,117.908,0.0060324,1
161,3,135,2275,295.538,0.0206443,1
