index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,100,495,97.9383,0.0262327,1
1,3,100,211,84.0667,0.0309671,1
2,3,100,307,257.989,0.0410913,1
3,3,100,180,98.3276,0.0371685,1
4,3,100,442,99.6721,0.0446471,1
5,3,100,547,161.141,0.0476016,1
6,3,100,682,289.04,0.042105,1
7,3,100,739,341.34,0.0381107,1
8,3,100,510,78.8182,0.0513658,1
9,3,100,840,131.232,0.0461026,1
10,3,100,615,160.245,0.0619258,1
11,3,100,951,216.6,0.0402968,1
12,3,100,409,45.4,0.0543998,1
13,3,100,602,161.828,0.0600251,1
14,3,100,637,221.827,0.0750437,1
15,3,100,1248,326.91,0.0569064,1
16,3,100,1326,94.78,0.0599337,1
17,3,100,1260,119.37,0.0428327,1
18,3,100,1326,294.17,0.0845514,1
19,3,100,1490,294.69,0.0621895,1
20,3,100,1077,37.92,0.0797996,1
21,3,100,1680,95.4592,0.0626042,1
22,3,100,1120,91.1,0.038067,1
23,3,100,1665,295.6,0.0771379,1
24,3,120,259,112.649,0.0646519,1
25,3,120,719,170.991,0.0479733,1
26,3,120,278,78.7959,0.0551961,1
27,3,120,574,161.708,0.0431817,1
28,3,120,844,119.699,0.0636248,1
29,3,120,877,185.136,0.080756,1
30,3,120,1050,165.025,0.0595642,1
31,3,120,646,383.286,0.082213,1
32,3,120,316,63.4074,0.121511,1
33,3,120,1391,168.504,0.0857973,1
34,3,120,1148,235.118,0.0940006,1
35,3,120,1438,220.867,0.0715105,1
36,3,120,1799,82.75,0.0886726,1
37,3,120,1350,140.583,0.103152,1
38,3,120,1739,287.758,0.0852025,1
39,3,120,1739,255.967,0.0781067,1
40,3,120,2025,71.375,0.109583,1
41,3,120,2058,149.175,0.0824327,1
42,3,120,2025,226.168,0.121429,1
43,3,120,2159,260.3,0.100122,1
44,3,120,2211,109.891,0.120984,1
45,3,120,2419,156.817,0.114841,1
46,3,120,1561,222.275,0.134899,1
47,3,120,2293,352.917,0.128749,1
48,3,140,883,80.0351,0.061302,1
49,3,140,775,183.942,0.0844139,1
50,3,140,592,111.824,0.0683399,1
51,3,140,706,316.633,0.083773,1
52,3,140,1445,61.4222,0.0815853,1
53,3,140,889,162.431,0.10799,1
54,3,140,1470,327.343,0.0966646,1
55,3,140,1450,289.479,0.0874188,1
56,3,140,960,16.967,0.111653,1
57,3,140,1940,114.42,0.0956848,1
58,3,140,567,53.874,0.134851,1
59,3,140,1956,340.007,0.126179,1
60,3,140,937,68.3971,0.179723,1
61,3,140,2322,135.686,0.100675,1
62,3,140,2337,248.721,0.144076,1
63,3,140,709,330.193,0.217772,1
64,3,140,1980,45.6593,0.1622,1
65,3,140,1614,146.207,0.221604,1
66,3,140,1379,203.636,0.205143,1
67,3,140,2363,139.579,0.0949987,1
68,3,140,3412,66.2071,0.139181,1
69,3,140,2074,198.079,0.218879,1
70,3,140,3059,191.279,0.192588,1
71,3,140,2419,300.571,0.211917,1
72,3,160,696,66.3217,0.105433,1
73,3,160,892,126.346,0.114088,1
74,3,160,759,285.755,0.136211,1
75,3,160,875,352.893,0.145044,1
76,3,160,840,93.7447,0.150791,1
77,3,160,1108,93.7197,0.135856,1
78,3,160,945,188.863,0.14394,1
79,3,160,1228,367.431,0.172185,1
80,3,160,2175,66.42,0.116667,1
81,3,160,2558,198.306,0.151047,1
82,3,160,2070,107.012,0.104265,1
83,3,160,1982,319.753,0.186487,1
84,3,160,2478,31.8129,0.114107,1
85,3,160,888,97.7887,0.265565,1
86,3,160,1518,172.154,0.28205,1
87,3,160,3000,312,0.214452,1
88,3,160,3018,74.6835,0.295513,1
89,3,160,900,50.1837,0.354674,1
90,3,160,900,131.45,0.348617,1
91,3,160,1305,133.7,0.218081,1
92,3,160,1050,119.442,0.359466,1
93,3,160,3521,160.587,0.277441,1
94,3,160,951,58.2188,0.367755,1
95,3,160,4300,282.562,0.19241,1
96,3,180,464,50.5782,0.158986,1
97,3,180,826,90.4242,0.146708,1
98,3,180,371,175.362,0.198145,1
99,3,180,1079,259.139,0.145254,1
100,3,180,1489,75.2114,0.151993,1
101,3,180,461,213.61,0.279975,1
102,3,180,1822,232.644,0.202054,1
103,3,180,2227,391.683,0.22873,1
104,3,180,2279,76.9489,0.243607,1
105,3,180,2990,197.417,0.236789,1
106,3,180,680,101.925,0.322911,1
107,3,180,2926,354.806,0.260007,1
108,3,180,4037,79.7389,0.230124,1
109,3,180,3569,132.15,0.284124,1
110,3,180,3472,248.044,0.341753,1
111,3,180,850,351.203,0.479163,1
112,3,180,2003,92.0194,0.343765,1
113,3,180,3237,101.344,0.432155,1
114,3,180,4355,142.017,0.20165,1
115,3,180,3419,348.272,0.419981,1
116,3,180,5232,78.1611,0.321032,1
117,3,180,4907,162.611,0.229555,1
118,3,180,5196,243.539,0.354703,1
119,3,180,5417,334.083,0.333359,1
120,3,200,343,37.8384,0.234592,1
121,3,200,1966,140.508,0.185224,1
122,3,200,1987,128.305,0.161399,1
123,3,200,1255,345.333,0.280196,1
124,3,200,2975,98.785,0.219212,1
125,3,200,623,64.7745,0.400322,1
126,3,200,1221,151.945,0.323233,1
127,3,200,2279,357.72,0.284558,1
128,3,200,1983,39.8235,0.204146,1
129,3,200,3564,187.9,0.360144,1
130,3,200,1177,181.471,0.475324,1
131,3,200,3921,324.55,0.322998,1
132,3,200,4992,108.729,0.296752,1
133,3,200,3799,157.417,0.429348,1
134,3,200,4887,171.425,0.284987,1
135,3,200,1555,130,0.497476,1
136,3,200,5087,79.175,0.496332,1
137,3,200,5961,134.195,0.412418,1
138,3,200,5961,173.345,0.384317,1
139,3,200,5999,274.215,0.403895,1
140,3,200,1579,37.6458,0.677323,1
141,3,200,5823,161.195,0.503727,1
142,3,200,3667,252.65,0.614488,1
143,3,200,4563,226.865,0.608572,1
144,3,220,1467,121.441,0.243115,1
145,3,220,2323,209.241,0.178577,1
146,3,220,2083,255.676,0.262432,1
147,3,220,459,84.4472,0.312151,1
148,3,220,3562,86.4512,0.271842,1
149,3,220,3427,126.682,0.331646,1
150,3,220,3625,265.764,0.322459,1
151,3,220,1851,240.055,0.394592,1
152,3,220,4030,67.4136,0.2901,1
153,3,220,4761,161.831,0.368284,1
154,3,220,4503,194.059,0.312008,1
155,3,220,2084,322.386,0.535606,1
156,3,220,5989,73.9404,0.437019,1
157,3,220,5538,121.332,0.340771,1
158,3,220,4482,259.359,0.562363,1
159,3,220,5937,271.395,0.419045,1
160,3,220,7020,78.7318,0.38308,1
161,3,220,4235,160.955,0.809878,1
162,3,220,3974,71.5682,0.20885,1
163,3,220,3515,323.714,0.804888,1
164,3,220,4211,34.3333,0.423166,1
165,3,220,8467,185.677,0.610389,1
166,3,220,8425,316.336,0.589762,1
167,3,220,6988,353.427,0.750746,1
168,3,240,371,69.075,0.470215,1
169,3,240,590,225.963,0.424679,1
170,3,240,919,283.018,0.470624,1
171,3,240,1694,197.771,0.338722,1
172,3,240,4067,62.4417,0.272948,1
173,3,240,4261,125.219,0.403731,1
174,3,240,3508,173.004,0.263544,1
175,3,240,4012,336.983,0.444105,1
176,3,240,1433,12.2035,0.56428,1
177,3,240,5489,91.7203,0.378105,1
178,3,240,5297,254.679,0.578688,1
179,3,240,5615,248.083,0.40364,1
180,3,240,3328,37.6862,0.307882,1
181,3,240,4750,191.9,0.882649,1
182,3,240,6779,265.046,0.625435,1
183,3,240,7182,378.046,0.572874,1
184,3,240,4800,64.5792,0.991036,1
185,3,240,3338,98.0542,1.06283,1
186,3,240,5615,250.875,0.946149,1
187,3,240,1247,126.708,1.14214,1
188,3,240,8845,50.8958,0.470642,1
189,3,240,9450,171.925,0.79224,1
190,3,240,4659,220.462,1.00493,1
191,3,240,10023,252.746,0.712009,1
192,3,260,1723,32.6419,0.320079,1
193,3,260,2839,110.066,0.310216,1
194,3,260,2284,114.185,0.227994,1
195,3,260,826,159.189,0.573111,1
196,3,260,1887,48.3827,0.487188,1
197,3,260,5002,127.273,0.403878,1
198,3,260,4897,212.692,0.503255,1
199,3,260,2693,363.904,0.766222,1
200,3,260,4200,46.5292,0.305825,1
201,3,260,5460,98.4962,0.393574,1
202,3,260,4855,232.678,0.810906,1
203,3,260,6681,260.098,0.62891,1
204,3,260,7609,63.6462,0.468103,1
205,3,260,8269,176.362,0.658469,1
206,3,260,1605,60.8885,1.01841,1
207,3,260,7802,370.073,0.804108,1
208,3,260,9486,93.5538,0.959799,1
209,3,260,3141,186.312,1.37696,1
210,3,260,9362,232.635,0.648183,1
211,3,260,7029,412.527,1.04501,1
212,3,260,4547,96.1517,1.34416,1
213,3,260,11113,193.392,1.09138,1
214,3,260,4689,310.604,1.37533,1
215,3,260,11550,265.4,0.919631,1
216,3,280,1715,123.841,0.638395,1
217,3,280,1411,136.734,0.604209,1
218,3,280,3774,254.111,0.500452,1
219,3,280,3379,314.032,0.538396,1
220,3,280,2315,45,0.633082,1
221,3,280,1041,139.817,1.03893,1
222,3,280,5272,205.461,0.639743,1
223,3,280,5610,313.071,0.684853,1
224,3,280,1388,105.926,1.19539,1
225,3,280,5280,174.8,1.07376,1
226,3,280,3919,281.029,1.01164,1
227,3,280,7646,377.082,0.991431,1
228,3,280,5839,53.9286,0.763231,1
229,3,280,9672,117.839,0.768932,1
230,3,280,8742,260.907,1.19722,1
231,3,280,9655,385.893,1.06848,1
232,3,280,1775,20.8678,1.14937,1
233,3,280,10260,188.011,1.2441,1
234,3,280,10598,118.237,0.763406,1
235,3,280,11183,394.964,1.22257,1
236,3,280,9989,70.4821,1.47845,1
237,3,280,12485,138.692,1.22295,1
238,3,280,12238,134.986,0.753493,1
239,3,280,13619,313.439,0.99749,1
240,4,100,398,76.1452,0.0313932,1
241,4,100,405,187.263,0.0304956,1
242,4,100,453,230.656,0.0340821,1
243,4,100,362,218.168,0.0301198,1
244,4,100,555,53.3517,0.0389297,1
245,4,100,451,105.562,0.0375712,1
246,4,100,633,320.212,0.0473621,1
247,4,100,375,328.232,0.0514861,1
248,4,100,616,96.2414,0.0465822,1
249,4,100,942,134.35,0.0501219,1
250,4,100,678,232.34,0.0545454,1
251,4,100,391,220.051,0.0565753,1
252,4,100,637,84.6575,0.0689513,1
253,4,100,1042,189.44,0.0570969,1
254,4,100,960,202.39,0.0645378,1
255,4,100,1074,400.21,0.104417,1
256,4,100,1212,73.9175,0.0651356,1
257,4,100,725,184.31,0.0862886,1
258,4,100,1207,191.78,0.0559482,1
259,4,100,1267,353.47,0.0912325,1
260,4,100,1304,87.4,0.0538462,1
261,4,100,1226,140.97,0.0869047,1
262,4,100,1253,283.56,0.09562,1
263,4,100,1516,367.4,0.110465,1
264,4,120,676,99.4455,0.0448952,1
265,4,120,560,180.821,0.0491423,1
266,4,120,367,261.239,0.0594849,1
267,4,120,224,202.659,0.0624144,1
268,4,120,706,83.4956,0.0672127,1
269,4,120,809,143.383,0.0788455,1
270,4,120,901,335.075,0.0700208,1
271,4,120,894,317.742,0.0569188,1
272,4,120,748,121.935,0.112257,1
273,4,120,1194,137.026,0.0753927,1
274,4,120,882,282.598,0.0863546,1
275,4,120,1250,303.742,0.098527,1
276,4,120,989,82.7899,0.109978,1
277,4,120,1316,190.15,0.144991,1
278,4,120,1052,304.567,0.0927522,1
279,4,120,640,330.874,0.125354,1
280,4,120,1642,75.5833,0.0975916,1
281,4,120,1953,201.05,0.0976871,1
282,4,120,707,270.862,0.122173,1
283,4,120,1545,328.292,0.168544,1
284,4,120,1987,111.042,0.119833,1
