index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,100,495,191.524,0.0280832,1
1,3,100,211,84.0667,0.0336482,1
2,3,100,307,412.81,0.0235783,1
3,3,100,180,95.9589,0.0420464,1
4,3,100,442,199.875,0.0319597,1
5,3,100,547,218.723,0.0627877,1
6,3,100,682,408.613,0.0504239,1
7,3,100,739,372.944,0.0681336,1
8,3,100,510,188.629,0.0284063,1
9,3,100,840,211.948,0.0683493,1
10,3,100,615,174.079,0.0675534,1
11,3,100,951,229.269,0.117018,1
12,3,100,409,47.5,0.0704594,1
13,3,100,602,265.741,0.0662446,1
14,3,100,637,325.823,0.0652048,1
15,3,100,1248,371.098,0.145705,1
16,3,100,1326,167.214,0.155675,1
17,3,100,1260,129.75,0.150039,1
18,3,100,1326,321.011,0.219042,1
19,3,100,1490,322.705,0.243453,1
20,3,100,1077,51.5882,0.0700486,1
21,3,100,1680,108.779,0.427702,1
22,3,100,1120,101.67,0.158326,1
23,3,100,1665,313.533,0.274615,1
24,3,120,259,185.647,0.039833,1
25,3,120,719,200.312,0.053596,1
26,3,120,278,79.5909,0.0578724,1
27,3,120,574,167.812,0.0597326,1
28,3,120,844,237.615,0.0571413,1
29,3,120,877,219.443,0.0973857,1
30,3,120,1050,200.33,0.104621,1
31,3,120,646,538.672,0.0644572,1
32,3,120,316,105.104,0.0777956,1
33,3,120,1391,210.38,0.213503,1
34,3,120,1148,246.402,0.240996,1
35,3,120,1438,227.774,0.197913,1
36,3,120,1799,128.573,0.243005,1
37,3,120,1350,181.489,0.217117,1
38,3,120,1739,326.619,0.297671,1
39,3,120,1739,271.865,0.312278,1
40,3,120,2025,119.352,0.294934,1
41,3,120,2058,170.486,0.46785,1
42,3,120,2025,232.017,0.66286,1
43,3,120,2159,284.429,0.485088,1
44,3,120,2211,154.101,0.620271,1
45,3,120,2419,241.868,0.454944,1
46,3,120,1561,285.92,0.334854,1
47,3,120,2293,435.023,0.454892,1
48,3,140,883,116.467,0.0603022,1
49,3,140,775,215.573,0.0989657,1
50,3,140,592,120.698,0.0983905,1
51,3,140,706,401.697,0.082245,1
52,3,140,1445,88.7791,0.146408,1
53,3,140,889,192.821,0.238016,1
54,3,140,1470,394.761,0.191095,1
55,3,140,1450,303.847,0.18181,1
56,3,140,960,18.381,0.165206,1
57,3,140,1940,139.735,0.31792,1
58,3,140,567,56.4587,0.164849,1
59,3,140,1956,408.819,0.317972,1
60,3,140,937,103.562,0.165197,1
61,3,140,2322,160.051,0.44915,1
62,3,140,2337,268.341,0.463617,1
63,3,140,709,467.907,0.122417,1
64,3,140,1980,56.2202,0.216561,1
65,3,140,1614,233.849,0.354126,1
66,3,140,1379,289.835,0.321475,1
67,3,140,2363,144.522,0.636398,1
68,3,140,3412,82.7589,0.719306,1
69,3,140,2074,206.071,1.27292,1
70,3,140,3059,227.381,0.923263,1
71,3,140,2419,371.01,0.644475,1
72,3,160,696,86.6705,0.103949,1
73,3,160,892,182.808,0.103054,1
74,3,160,759,324.051,0.169854,1
75,3,160,875,388.035,0.166662,1
76,3,160,840,148.727,0.132245,1
77,3,160,1108,121.958,0.169189,1
78,3,160,945,259.631,0.180981,1
79,3,160,1228,501.178,0.190833,1
80,3,160,2175,101.093,0.128046,1
81,3,160,2558,265.931,0.516531,1
82,3,160,2070,114.581,0.423995,1
83,3,160,1982,323.373,0.956184,1
84,3,160,2478,36.2574,0.682384,1
85,3,160,888,111.914,0.260122,1
86,3,160,1518,218.805,0.353012,1
87,3,160,3000,342.778,1.07874,1
88,3,160,3018,91.2844,2.07585,1
89,3,160,900,48.3133,0.405045,1
90,3,160,900,165.252,0.438436,1
91,3,160,1305,140.273,0.492189,1
92,3,160,1050,227.9,0.225804,1
93,3,160,3521,242.485,1.20804,1
94,3,160,951,63.8483,0.479101,1
95,3,160,4300,314.707,1.77901,1
96,3,180,464,74.3182,0.156601,1
97,3,180,826,115.375,0.15393,1
98,3,180,371,211.297,0.158595,1
99,3,180,1079,298.993,0.199705,1
100,3,180,1489,140.413,0.298794,1
101,3,180,461,396.094,0.106692,1
102,3,180,1822,374.404,0.330987,1
103,3,180,2227,449.02,0.402322,1
104,3,180,2279,89.2071,0.791264,1
105,3,180,2990,209.029,0.9918,1
106,3,180,680,124.257,0.324262,1
107,3,180,2926,386.988,0.729443,1
108,3,180,4037,114.943,1.31017,1
109,3,180,3569,158.527,1.18633,1
110,3,180,3472,279.268,1.71365,1
111,3,180,850,513.455,0.239229,1
112,3,180,2003,197.295,0.369057,1
113,3,180,3237,138.698,1.1258,1
114,3,180,4355,160.834,1.9999,1
115,3,180,3419,358.223,2.57401,1
116,3,180,5232,90.8312,3.07348,1
117,3,180,4907,206.014,2.44368,1
118,3,180,5196,278.279,2.72704,1
119,3,180,5417,355.013,2.99875,1
120,3,200,343,44.8602,0.223987,1
121,3,200,1966,188.736,0.332877,1
122,3,200,1987,132.599,0.38476,1
123,3,200,1255,379.112,0.426245,1
124,3,200,2975,155.976,0.660285,1
125,3,200,623,63.9677,0.38222,1
126,3,200,1221,194.517,0.352461,1
127,3,200,2279,371.57,0.852919,1
128,3,200,1983,49.9799,0.436923,1
129,3,200,3564,220.882,1.10203,1
130,3,200,1177,257.023,0.383866,1
131,3,200,3921,345.027,1.30239,1
132,3,200,4992,161.348,1.42485,1
133,3,200,3799,167.177,1.73324,1
134,3,200,4887,176.57,1.94848,1
135,3,200,1555,135.772,0.752152,1
136,3,200,5087,131.958,2.06268,1
137,3,200,5961,160.102,3.37749,1
138,3,200,5961,185.396,4.66865,1
139,3,200,5999,285.346,4.37447,1
140,3,200,1579,45.9108,0.780434,1
141,3,200,5823,261.965,2.91789,1
142,3,200,3667,382.65,1.66709,1
143,3,200,4563,240.841,2.85218,1
144,3,220,1467,214.846,0.165643,1
145,3,220,2323,292.705,0.484691,1
146,3,220,2083,277.482,0.534064,1
147,3,220,459,85.293,0.378119,1
148,3,220,3562,119.307,0.859549,1
149,3,220,3427,134.045,1.17417,1
150,3,220,3625,306.437,1.01595,1
151,3,220,1851,264.927,0.619366,1
152,3,220,4030,94.7273,1.50286,1
153,3,220,4761,174.989,2.03032,1
154,3,220,4503,211.874,1.80101,1
155,3,220,2084,479.342,0.574618,1
156,3,220,5989,93.7605,2.10927,1
157,3,220,5538,138.88,2.39664,1
158,3,220,4482,264.777,4.83798,1
159,3,220,5937,292.198,2.63337,1
