index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,100,495,98.0976,0.0158249,1
1,3,100,211,218.822,0.0108751,1
2,3,100,307,287.315,0.0268344,1
3,3,100,180,381.431,0.0214212,1
4,3,100,442,100.014,0.0208149,1
5,3,100,547,179.404,0.0193374,1
6,3,100,682,309.05,0.0503878,1
7,3,100,739,476.03,0.120416,1
8,3,100,510,91.1928,0.0236086,1
9,3,100,840,151.47,0.0808845,1
10,3,100,615,316.83,0.135014,1
11,3,100,951,400.92,0.142597,1
12,3,100,409,74.9216,0.025458,1
13,3,100,602,204.546,0.104788,1
14,3,100,637,286.806,0.146108,1
15,3,100,1248,375.72,0.184061,1
16,3,100,1326,104.3,0.0657383,1
17,3,100,1260,260.27,0.16992,1
18,3,100,1326,325.31,0.156603,1
19,3,100,1490,413.21,0.347466,1
20,3,100,1077,68.6667,0.107054,1
21,3,100,1680,169.1,0.102061,1
22,3,100,1120,312.35,0.251569,1
23,3,100,1665,411.65,0.485685,1
24,3,120,259,104.944,0.021963,1
25,3,120,719,230.042,0.075733,1
26,3,120,278,280,0.0416568,1
27,3,120,574,390.551,0.0920657,1
28,3,120,844,118.029,0.0343925,1
29,3,120,877,198.237,0.0728736,1
30,3,120,1050,263.208,0.189736,1
31,3,120,646,429.067,0.118506,1
32,3,120,316,96.9589,0.0421433,1
33,3,120,1391,182.783,0.143013,1
34,3,120,1148,289.817,0.145265,1
35,3,120,1438,362.45,0.305447,1
36,3,120,1799,93.3583,0.0848135,1
37,3,120,1350,222.158,0.274967,1
38,3,120,1739,338.242,0.472059,1
39,3,120,1739,373.642,0.514722,1
40,3,120,2025,89.4917,0.133583,1
41,3,120,2058,288.708,0.489903,1
42,3,120,2025,294.65,0.235214,1
43,3,120,2159,363.033,0.663311,1
44,3,120,2211,131.117,0.207509,1
45,3,120,2419,163.45,0.19683,1
46,3,120,1561,313.8,0.718255,1
47,3,120,2293,432.117,0.835747,1
48,3,140,883,108.417,0.0726882,1
49,3,140,775,191.23,0.0516529,1
50,3,140,592,316.713,0.118653,1
51,3,140,706,400.36,0.205135,1
52,3,140,1445,66.6462,0.0772927,1
53,3,140,889,172.107,0.0574724,1
54,3,140,1470,353.486,0.266913,1
55,3,140,1450,436.407,0.44606,1
56,3,140,960,98.8556,0.0806349,1
57,3,140,1940,180.021,0.35681,1
58,3,140,567,294.551,0.215128,1
59,3,140,1956,368.721,0.410142,1
60,3,140,937,97.9044,0.15912,1
61,3,140,2322,210.107,0.529044,1
62,3,140,2337,297.186,0.460622,1
63,3,140,709,411.286,0.406339,1
64,3,140,1980,106.387,0.239581,1
65,3,140,1614,221.171,0.587643,1
66,3,140,1379,290.621,0.777508,1
67,3,140,2363,367.243,0.705166,1
68,3,140,3412,85.3,0.270187,1
69,3,140,2074,222.479,0.19591,1
70,3,140,3059,274.221,1.39826,1
71,3,140,2419,371.7,1.52442,1
72,3,160,696,127.186,0.0869953,1
73,3,160,892,188.622,0.180014,1
74,3,160,759,293.163,0.0964713,1
75,3,160,875,383.9,0.145818,1
76,3,160,840,126,0.151822,1
77,3,160,1108,190.962,0.305049,1
78,3,160,945,289.706,0.470904,1
79,3,160,1228,403.081,0.490972,1
80,3,160,2175,92.8146,0.228881,1
81,3,160,2558,212.969,0.358055,1
82,3,160,2070,255.587,0.474343,1
83,3,160,1982,392.013,0.377963,1
84,3,160,2478,106.713,0.307268,1
85,3,160,888,215.838,0.513622,1
86,3,160,1518,296.19,1.06199,1
87,3,160,3000,396.869,1.07007,1
88,3,160,3018,97.9313,0.156039,1
89,3,160,900,189.577,0.262402,1
90,3,160,900,290.431,0.859559,1
91,3,160,1305,405.138,1.32309,1
92,3,160,1050,125.406,0.391159,1
93,3,160,3521,190.75,1.31378,1
94,3,160,951,290.164,0.664546,1
95,3,160,4300,392.525,3.1299,1
96,3,180,464,100.12,0.0394891,1
97,3,180,826,199.458,0.275214,1
98,3,180,371,288.582,0.176501,1
99,3,180,1079,390.017,0.633297,1
100,3,180,1489,87.04,0.205606,1
101,3,180,461,254.954,0.160679,1
102,3,180,1822,279.572,0.519415,1
103,3,180,2227,416.072,0.450415,1
104,3,180,2279,84.3427,0.126494,1
105,3,180,2990,256.128,0.549382,1
106,3,180,680,360.935,0.704598,1
107,3,180,2926,410.389,1.09553,1
108,3,180,4037,93.1111,0.57401,1
109,3,180,3569,192.872,1.43008,1
110,3,180,3472,296.944,1.2892,1
111,3,180,850,409.708,0.865716,1
112,3,180,2003,117.25,0.532391,1
113,3,180,3237,172.739,1.68629,1
114,3,180,4355,254.872,2.46918,1
115,3,180,3419,391.2,1.24626,1
116,3,180,5232,102.072,0.730353,1
117,3,180,4907,222.294,2.35765,1
118,3,180,5196,265.394,1.98854,1
119,3,180,5417,413.106,3.42008,1
120,3,200,343,107.767,0.0502257,1
121,3,200,1966,158.07,0.373954,1
122,3,200,1987,272.43,0.29215,1
123,3,200,1255,383.533,0.321531,1
124,3,200,2975,113.61,0.25298,1
125,3,200,623,199.07,0.208413,1
