index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,100,495,219.214,0.00211316,1
1,3,100,211,291.696,0.0020454,1
2,3,100,307,696.25,0.00473234,1
3,3,100,180,418.25,0.00360879,1
4,3,100,442,215.643,0.00242605,1
5,3,100,547,217.976,0.00334138,1
6,3,100,682,468.75,0.00717665,1
7,3,100,739,538.641,0.0100031,1
8,3,100,510,245.667,0.00311605,1
9,3,100,840,244.167,0.00483481,1
10,3,100,615,345.154,0.0072019,1
11,3,100,951,413.32,0.0127757,1
12,3,100,409,95.0256,0.0014518,1
13,3,100,602,339.321,0.00463145,1
14,3,100,637,433.586,0.00896139,1
15,3,100,1248,443.5,0.014464,1
16,3,100,1326,184.214,0.00395148,1
17,3,100,1260,284.456,0.00939902,1
18,3,100,1326,356,0.0135094,1
19,3,100,1490,454.023,0.0150664,1
20,3,100,1077,93.1268,0.00408014,1
21,3,100,1680,199.386,0.0074799,1
22,3,100,1120,353.091,0.0097672,1
23,3,100,1665,440.533,0.0171175,1
24,3,120,259,201,0.00174126,1
25,3,120,719,336.769,0.0071128,1
26,3,120,278,298.677,0.00452943,1
27,3,120,574,415.56,0.00940495,1
28,3,120,844,261.667,0.00476284,1
29,3,120,877,233.333,0.00763952,1
30,3,120,1050,345.071,0.0120591,1
31,3,120,646,595.662,0.0118904,1
32,3,120,316,172.2,0.00197618,1
33,3,120,1391,232.299,0.0117525,1
34,3,120,1148,319.817,0.0117405,1
35,3,120,1438,400.797,0.0223903,1
36,3,120,1799,145.547,0.00817531,1
37,3,120,1350,289.517,0.01212,1
38,3,120,1739,382.02,0.0191621,1
39,3,120,1739,397.395,0.0222402,1
40,3,120,2025,149.972,0.0072153,1
41,3,120,2058,329.952,0.0133618,1
42,3,120,2025,310.392,0.0180933,1
43,3,120,2159,398.132,0.0242163,1
44,3,120,2211,191.348,0.0116216,1
45,3,120,2419,252.342,0.0121467,1
46,3,120,1561,400.663,0.0173954,1
47,3,120,2293,547.293,0.0290112,1
48,3,140,883,175.474,0.00551057,1
49,3,140,775,243.425,0.00650117,1
50,3,140,592,338.992,0.0101469,1
51,3,140,706,513.677,0.0149331,1
52,3,140,1445,97.1609,0.00615285,1
53,3,140,889,217,0.00812648,1
54,3,140,1470,426.532,0.0201497,1
55,3,140,1450,460.775,0.0283251,1
56,3,140,960,112.438,0.00574083,1
57,3,140,1940,231.975,0.0190508,1
58,3,140,567,317.101,0.0112306,1
59,3,140,1956,440.849,0.0334147,1
60,3,140,937,147.944,0.00524597,1
61,3,140,2322,249.776,0.0190167,1
62,3,140,2337,321.195,0.0237781,1
63,3,140,709,526.592,0.0198124,1
64,3,140,1980,133.385,0.0109392,1
65,3,140,1614,359.837,0.0115259,1
66,3,140,1379,399.515,0.0233527,1
67,3,140,2363,380.187,0.0378406,1
68,3,140,3412,106.625,0.0110082,1
