index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed
0,3,80,140,334.333,0.00121754
1,3,80,320,264.583,0.00258333
2,3,80,255,541.167,0.00360859
3,3,80,312,567.522,0.00463696
4,3,80,227,83.3684,0.000966645
5,3,80,307,338.8,0.0032862
6,3,80,210,430.769,0.00375556
7,3,80,307,495.088,0.00574321
8,3,80,524,153.827,0.00293296
9,3,80,582,339.064,0.00552299
10,3,80,625,361.281,0.00682112
11,3,80,369,582.039,0.00709511
12,3,80,672,223.562,0.00348239
13,3,80,535,193.463,0.00351603
14,3,80,759,356.75,0.00927287
15,3,80,319,399.957,0.00526463
16,3,80,522,238.641,0.00274655
17,3,80,554,298.74,0.00667428
18,3,80,960,390.365,0.0105329
19,3,80,842,512.828,0.0112182
20,3,80,940,98.4545,0.00337815
21,3,80,1035,259.345,0.00751029
22,3,80,1102,360.114,0.0117745
23,3,80,682,433.359,0.0085379
24,3,80,1260,88.7568,0.00444769
25,3,80,856,147.313,0.00475362
26,3,80,1215,317.045,0.00765972
27,3,80,560,444.491,0.00734691
28,3,100,500,276.462,0.00297369
29,3,100,211,317.629,0.00288995
30,3,100,403,286.05,0.00480989
31,3,100,394,586,0.00754649
32,3,100,641,121.4,0.00342228
33,3,100,725,266.167,0.00808675
34,3,100,461,520.444,0.00726132
35,3,100,442,455.783,0.00904127
36,3,100,980,185.688,0.00498121
37,3,100,840,255.659,0.00822166
38,3,100,993,339.938,0.0127793
39,3,100,999,480.573,0.016123
40,3,100,962,144.909,0.00474535
41,3,100,1209,264.987,0.00886982
42,3,100,1200,476.845,0.0184114
43,3,100,1165,496.946,0.018206
44,3,100,1427,146.559,0.00727255
45,3,100,1427,254.685,0.0110877
46,3,100,1497,301.933,0.0155068
47,3,100,1365,462.968,0.0196995
48,3,100,1665,110.283,0.00531455
49,3,100,1120,326.045,0.00783323
50,3,100,1592,398.246,0.0184374
51,3,100,1570,465.171,0.0230351
52,3,100,1711,127.812,0.00685969
53,3,100,1327,232.625,0.0103431
54,3,100,1459,363.279,0.0118116
55,3,100,1987,423.173,0.0304047
56,3,120,488,210.394,0.00314621
57,3,120,719,296,0.00779303
58,3,120,710,366.366,0.0115636
59,3,120,383,439.436,0.0105624
60,3,120,1065,126.317,0.00608481
61,3,120,359,270.333,0.00557515
62,3,120,1077,407.359,0.0162226
63,3,120,445,483.771,0.012733
64,3,120,1350,198.344,0.0104967
65,3,120,1391,301.296,0.0152387
66,3,120,479,492.185,0.0126349
67,3,120,1004,462.387,0.0242188
68,3,120,1039,192.849,0.00732683
69,3,120,875,295.653,0.0098235
70,3,120,1435,263.982,0.0190622
71,3,120,1795,419.486,0.0307023
72,3,120,1466,140.735,0.00862734
73,3,120,1920,249.819,0.01778
74,3,120,1583,428.377,0.0211531
75,3,120,1247,477.359,0.0259703
76,3,120,1757,141.932,0.00811612
77,3,120,1710,199.276,0.0150704
78,3,120,1931,343.638,0.0260269
79,3,120,1225,485.648,0.0248789
80,3,120,1724,140.36,0.00736733
81,3,120,1535,349.083,0.0153294
82,3,120,1900,444.298,0.0207445
83,3,120,2456,542.817,0.0283669
84,3,140,979,242.31,0.00656706
85,3,140,800,208.477,0.0110998
86,3,140,787,376.156,0.0150962
87,3,140,762,447.87,0.0192787
88,3,140,460,245.649,0.00478228
89,3,140,720,334.213,0.0108123
90,3,140,1402,475.956,0.0235866
91,3,140,1200,429.898,0.022496
92,3,140,520,96.1219,0.00406569
93,3,140,520,289.806,0.00876427
94,3,140,750,365.248,0.0159833
95,3,140,567,555.814,0.0208767
96,3,140,1938,171.948,0.0104796
97,3,140,589,247.882,0.00890739
98,3,140,2337,396.862,0.0370288
99,3,140,825,378.466,0.0210336
100,3,140,1557,185.466,0.0155115
101,3,140,921,256.069,0.0135204
102,3,140,2027,372.736,0.0210582
103,3,140,1830,428.893,0.0429656
104,3,140,910,306.773,0.00757785
105,3,140,2620,347.05,0.0255557
106,3,140,3227,361.774,0.0487349
107,3,140,2620,419.757,0.0517544
108,3,140,3688,132.513,0.0260731
109,3,140,943,212.407,0.0156233
110,3,140,3631,329.328,0.0653411
111,3,140,3900,542.784,0.062026
112,3,160,1134,162.983,0.00906477
113,3,160,1134,215.557,0.0170658
114,3,160,300,470.633,0.0105502
115,3,160,560,801.5,0.023381
116,3,160,1312,148.25,0.00978423
117,3,160,1717,246.482,0.0256004
118,3,160,1390,312.846,0.030172
119,3,160,1787,439.56,0.0495178
120,3,160,2200,157.917,0.027236
121,3,160,2383,337.018,0.0347066
122,3,160,2470,348.964,0.0433048
123,3,160,543,439.226,0.0196927
124,3,160,3159,131.419,0.0196769
125,3,160,3175,192.519,0.0400607
126,3,160,2142,337.145,0.0419421
127,3,160,3168,464.344,0.0678479
128,3,160,983,98.7477,0.00758735
129,3,160,1607,236.149,0.026173
130,3,160,3062,310,0.0487522
131,3,160,2025,456.113,0.0562171
132,3,160,4109,132.13,0.0230083
133,3,160,1430,283.85,0.0187749
134,3,160,4423,331.518,0.0676123
135,3,160,4477,525.449,0.102366
136,3,160,4083,109.927,0.0234131
137,3,160,5004,221.033,0.0388968
