index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed
0,3,80,140,106.889,0.635677
1,3,80,320,142.652,0.102759
2,3,80,255,375.769,0.132827
3,3,80,312,401.789,0.265012
4,3,80,227,53.0714,0.0415082
5,3,80,307,293.69,0.0891024
6,3,80,210,143.154,0.0599767
7,3,80,307,431.286,0.131133
8,3,80,524,164,0.193159
9,3,80,582,300.306,0.185184
10,3,80,625,259.045,0.196435
11,3,80,369,510.52,0.175012
12,3,80,672,187.896,0.0867071
13,3,80,535,98.8033,0.189567
14,3,80,759,230.662,0.171743
15,3,80,319,116.155,0.124575
16,3,80,522,129.947,0.098485
17,3,80,554,231.75,0.161046
18,3,80,960,336.508,0.891556
19,3,80,842,439.213,0.25659
20,3,80,940,52.2308,0.0832583
21,3,80,1035,224.745,0.245238
22,3,80,1102,294.464,0.225311
23,3,80,682,191.403,0.25922
24,3,80,1260,71.4167,0.144556
25,3,80,856,34.6957,0.0889793
26,3,80,1215,230.275,0.248276
27,3,80,560,241.373,0.143423
28,3,100,500,178.257,0.238869
29,3,100,211,75.9342,0.0652506
30,3,100,403,117.134,0.218606
31,3,100,394,491.967,0.346731
32,3,100,641,82.8846,0.440231
33,3,100,725,192.456,0.274429
34,3,100,461,499.623,0.159474
35,3,100,442,294.351,0.24691
36,3,100,980,159.688,0.420601
37,3,100,840,216.197,0.33356
38,3,100,993,195.846,0.314613
39,3,100,999,439.89,1.03585
40,3,100,962,67.209,0.151653
41,3,100,1209,218.525,0.55152
42,3,100,1200,274.407,0.343795
43,3,100,1165,423.16,0.304708
44,3,100,1427,58.5507,0.270773
45,3,100,1427,163.356,0.34425
46,3,100,1497,211.805,0.367935
47,3,100,1365,378.253,1.0025
48,3,100,1665,70.2308,0.428823
49,3,100,1120,264.776,0.194955
50,3,100,1592,326.085,0.301019
51,3,100,1570,299.453,0.358389
52,3,100,1711,115.988,0.214497
53,3,100,1327,83.5667,0.151061
54,3,100,1459,291.985,0.214993
55,3,100,1987,360.902,0.577705
56,3,120,488,156.969,2.19827
