index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,80,480,122.228,0.432642,1
1,3,80,382,221.442,0.419926,1
2,3,80,469,295.75,0.0589642,1
3,3,80,227,404.903,0.222505,1
4,3,80,409,108.585,0.168307,1
5,3,80,280,258.345,0.258007,1
6,3,80,409,298.696,0.227379,1
7,3,80,524,418.462,0.0380271,1
8,3,80,728,101.558,0.370343,1
9,3,80,782,168.35,0.10984,1
10,3,80,462,274.438,0.504899,1
11,3,80,672,381.1,0.0384193,1
12,3,80,642,57.2222,0.206543,1
13,3,80,911,160.625,0.0514753,1
14,3,80,383,359.1,0.233943,1
15,3,80,522,449.763,0.140894,1
16,3,80,646,108.525,0.440917,1
17,3,80,1120,180.8,0.0278186,1
18,3,80,982,278.337,0.0296082,1
19,3,80,940,408.513,0.0783986,1
20,3,100,673,106.625,0.255532,1
21,3,100,742,188.49,0.041862,1
22,3,100,461,270.242,1.49717,1
23,3,100,725,412.33,0.0491615,1
24,3,100,640,101.609,0.53936,1
25,3,100,942,268.131,0.949634,1
26,3,100,391,358.384,0.258138,1
27,3,100,1000,378.6,0.0515887,1
28,3,100,528,117.65,0.235805,1
29,3,100,1008,184.04,0.518907,1
30,3,100,985,329.8,0.694966,1
31,3,100,1069,389.53,0.0376213,1
32,3,100,1451,91.56,0.472644,1
33,3,100,923,228.442,1.16024,1
34,3,100,885,289.33,1.26848,1
35,3,100,1470,428.17,0.106973,1
36,3,100,1470,90.3775,0.958948,1
37,3,100,1738,192.13,0.0474522,1
38,3,100,1749,349.42,0.0446838,1
39,3,100,1346,447.55,0.0962221,1
40,3,120,1043,118.79,0.256698,1
41,3,120,1043,161.866,0.602088,1
42,3,120,1003,377.892,0.0558702,1
43,3,120,1021,341.417,0.0570717,1
44,3,120,1361,91.75,0.788272,1
45,3,120,1438,213.067,0.0681505,1
46,3,120,1295,270,0.280747,1
47,3,120,1372,373.85,0.079296,1
48,3,120,1152,80.3656,0.853282,1
49,3,120,1655,207.658,1.47509,1
50,3,120,1619,279.308,0.611022,1
51,3,120,1487,374.475,0.114229,1
52,3,120,1338,136.864,1.16923,1
53,3,120,1583,170.212,1.49864,1
54,3,120,2138,344.025,0.0664907,1
55,3,120,1466,410.383,0.843398,1
56,3,120,2517,107.183,0.25226,1
57,3,120,2485,225.883,0.0980182,1
58,3,120,1343,361.417,3.27478,1
59,3,120,2485,402.917,0.123965,1
60,3,140,425,125.693,0.279691,1
61,3,140,1467,191.521,0.0723677,1
62,3,140,562,331.307,1.24839,1
63,3,140,1393,429.229,0.0996224,1
64,3,140,1881,110.536,0.225771,1
65,3,140,614,248.833,0.863042,1
66,3,140,1351,327.821,6.01206,1
67,3,140,1113,425.686,4.9745,1
68,3,140,1200,125.425,1.17863,1
69,3,140,1969,214.907,1.55548,1
70,3,140,2437,312.964,0.166004,1
71,3,140,1568,461.414,0.833159,1
72,3,140,2594,107.786,1.78718,1
73,3,140,2118,181.8,2.60684,1
74,3,140,1670,287.057,1.64082,1
75,3,140,2073,462.536,0.686975,1
76,3,140,2195,99.8913,2.59628,1
77,3,140,2522,188.314,2.69064,1
78,3,140,1609,341.55,2.00482,1
79,3,140,2012,441.407,3.25242,1
80,3,160,979,114.345,2.29028,1
81,3,160,1228,204.383,7.16522,1
82,3,160,1650,311.694,0.116468,1
83,3,160,1918,374.775,0.105609,1
84,3,160,2097,140.137,3.43818,1
85,3,160,2012,213.438,0.479888,1
86,3,160,1982,278.763,5.7195,1
87,3,160,764,362.317,1.89153,1
88,3,160,1518,87.3786,1.99177,1
89,3,160,3019,225.919,0.552127,1
90,3,160,2552,315.894,1.69443,1
91,3,160,819,397.836,1.01086,1
92,3,160,983,89.5581,0.573229,1
93,3,160,1382,170.601,4.53275,1
94,3,160,983,329.175,3.0742,1
95,3,160,3018,441.312,0.772102,1
96,3,160,951,109.243,1.12263,1
97,3,160,4300,224.506,0.123739,1
98,3,160,1430,285.812,1.64637,1
99,3,160,2362,382.562,9.08608,1
100,4,80,183,123.36,0.0482688,1
101,4,80,278,230.041,0.148433,1
102,4,80,288,345.627,0.0900586,1
103,4,80,215,446.5,0.169206,1
104,4,80,283,114.016,0.188594,1
105,4,80,550,135.627,0.0767108,1
106,4,80,578,293.062,0.0339359,1
107,4,80,548,432.4,0.0465572,1
108,4,80,370,105.804,0.179803,1
109,4,80,617,232.835,0.166614,1
110,4,80,603,285.013,0.0346975,1
111,4,80,501,448.975,0.0303516,1
112,4,80,726,76.7467,0.236563,1
113,4,80,648,183.974,0.202645,1
114,4,80,690,285.132,0.0347654,1
115,4,80,522,367.1,0.0315815,1
