index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,80,480,182.925,0.226938,1
1,3,80,382,418.417,0.0954411,1
2,3,80,469,482.966,0.395845,1
3,3,80,227,454.833,0.0986324,1
4,3,80,409,194.531,0.0225817,1
5,3,80,280,300.867,0.116778,1
6,3,80,409,489.925,0.119057,1
7,3,80,524,483.787,0.536144,1
8,3,80,728,190.744,0.358451,1
9,3,80,782,200.075,0.777644,1
10,3,80,462,468.05,0.203168,1
11,3,80,672,491.509,0.282355,1
12,3,80,642,84.3611,0.249956,1
13,3,80,911,204.471,2.19364,1
14,3,80,383,395.451,0.22266,1
15,3,80,522,566.679,0.0784384,1
16,3,80,646,194.541,0.0852549,1
17,3,80,1120,229.148,0.869155,1
18,3,80,982,353.964,0.108363,1
19,3,80,940,468.367,2.68306,1
20,3,100,673,177.367,0.370488,1
21,3,100,742,270.938,0.847862,1
22,3,100,461,354.259,0.356852,1
23,3,100,725,463.261,0.853479,1
24,3,100,640,125.412,0.233659,1
25,3,100,942,384.382,4.18215,1
26,3,100,391,474.708,0.299227,1
27,3,100,1000,430.253,3.27679,1
28,3,100,528,141.688,0.16591,1
29,3,100,1008,244.82,1.15422,1
30,3,100,985,483.984,0.0823829,1
31,3,100,1069,472.628,1.48201,1
32,3,100,1451,136.607,3.18026,1
33,3,100,923,394.577,0.103757,1
34,3,100,885,371.149,0.365485,1
35,3,100,1470,488.078,6.8793,1
36,3,100,1470,112.986,0.530337,1
37,3,100,1738,235.478,2.22104,1
38,3,100,1749,428.667,0.833238,1
39,3,100,1346,487.459,6.81778,1
40,3,120,1043,177.958,3.95026,1
41,3,120,1043,186.167,1.08358,1
42,3,120,1003,493.511,6.23924,1
43,3,120,1021,442.667,6.50384,1
44,3,120,1361,109.443,0.555038,1
45,3,120,1438,254.623,5.59573,1
46,3,120,1295,328.796,3.06383,1
47,3,120,1372,483.655,2.37683,1
48,3,120,1152,145.087,1.10624,1
49,3,120,1655,287.726,2.02708,1
50,3,120,1619,327.111,3.7884,1
51,3,120,1487,430.407,5.15846,1
52,3,120,1338,162.481,2.0912,1
53,3,120,1583,279.169,1.27684,1
54,3,120,2138,405.769,5.85843,1
55,3,120,1466,467.043,1.35269,1
56,3,120,2517,160.262,1.3054,1
57,3,120,2485,256.876,8.92893,1
58,3,120,1343,376.956,2.82786,1
59,3,120,2485,442.349,41.0194,1
60,3,140,425,149.108,0.195081,1
61,3,140,1467,260.78,5.20074,1
62,3,140,562,434.28,0.42605,1
63,3,140,1393,475.743,23.6099,1
64,3,140,1881,149.773,2.22767,1
65,3,140,614,470.818,0.226384,1
66,3,140,1351,398.522,15.0681,1
67,3,140,1113,531.947,0.627777,1
68,3,140,1200,229.119,0.512792,1
69,3,140,1969,228.427,14.8353,1
70,3,140,2437,369.474,9.0767,1
71,3,140,1568,477.802,0.88692,1
72,3,140,2594,146.136,2.08205,1
73,3,140,2118,300.927,1.67667,1
74,3,140,1670,338.513,2.57476,1
75,3,140,2073,539.28,1.55094,1
76,3,140,2195,130.169,1.69421,1
77,3,140,2522,206.6,3.44478,1
78,3,140,1609,441.879,0.495121,1
79,3,140,2012,508.504,6.10997,1
80,3,160,979,240.154,0.239463,1
81,3,160,1228,369.453,3.78366,1
82,3,160,1650,399.316,1.15078,1
83,3,160,1918,446.87,14.4481,1
84,3,160,2097,159.368,11.3202,1
85,3,160,2012,229.108,1.58693,1
86,3,160,1982,304.207,16.9809,1
87,3,160,764,424.685,0.547216,1
88,3,160,1518,144.644,0.565162,1
89,3,160,3019,282.167,12.4345,1
90,3,160,2552,338.283,3.30287,1
91,3,160,819,418.943,0.786737,1
92,3,160,983,123.441,0.344797,1
93,3,160,1382,196.05,3.72855,1
94,3,160,983,472.829,0.49729,1
95,3,160,3018,527.948,60.1145,0
96,3,160,951,127.211,0.308946,1
97,3,160,4300,272.244,58.2151,1
98,3,160,1430,327.54,1.1925,1
99,3,160,2362,434.985,5.79043,1
100,4,80,183,204,0.0442139,1
101,4,80,278,325.833,0.154221,1
102,4,80,288,434.525,0.14508,1
103,4,80,215,531.714,0.0547706,1
104,4,80,283,203.722,0.0707651,1
105,4,80,550,171.517,0.213538,1
106,4,80,578,343.226,0.53174,1
107,4,80,548,491.961,0.765423,1
108,4,80,370,158.256,0.220658,1
109,4,80,617,258.029,0.771391,1
110,4,80,603,345.047,0.733898,1
111,4,80,501,481.853,0.120749,1
112,4,80,726,92.8387,0.437363,1
113,4,80,648,207.29,0.519054,1
114,4,80,690,323.727,2.12082,1
115,4,80,522,432.984,0.254668,1
116,4,80,795,174.926,3.05727,1
117,4,80,1028,224.11,0.906029,1
118,4,80,951,327.861,1.48943,1
119,4,80,682,415.493,0.280086,1
120,4,100,592,156.188,2.03717,1
121,4,100,537,251.529,0.455153,1
122,4,100,456,314.24,0.299911,1
123,4,100,445,433.481,0.238988,1
124,4,100,953,141.438,1.65604,1
125,4,100,555,259.716,0.441989,1
126,4,100,835,364.703,2.65376,1
