index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,80,480,80.493,0.0211833,1
1,3,80,382,178.692,0.0231552,1
2,3,80,469,241.387,0.0253976,1
3,3,80,227,89.254,0.028356,1
4,3,80,409,96.8302,0.0264798,1
5,3,80,280,90.6909,0.0335791,1
6,3,80,409,264.152,0.0370358,1
7,3,80,524,379.737,0.034179,1
8,3,80,728,91.4026,0.0290639,1
9,3,80,782,118.775,0.0277889,1
10,3,80,462,234.538,0.0369633,1
11,3,80,672,307.163,0.0363185,1
12,3,80,642,12.5152,0.0311149,1
13,3,80,911,79.0513,0.029276,1
14,3,80,383,128.938,0.0344434,1
15,3,80,522,349.263,0.0447195,1
16,3,80,646,91.0769,0.0457026,1
17,3,80,1120,153.325,0.0373151,1
18,3,80,982,257.438,0.0415104,1
19,3,80,940,159.15,0.0263109,1
20,3,100,673,96.25,0.0375156,1
21,3,100,742,147.897,0.0362462,1
22,3,100,461,134.576,0.0448259,1
23,3,100,725,287.66,0.0432666,1
24,3,100,640,51.087,0.0393853,1
25,3,100,942,152.804,0.0426167,1
26,3,100,391,165.75,0.0540642,1
27,3,100,1000,330.84,0.0487528,1
28,3,100,528,56.6857,0.0601748,1
29,3,100,1008,63.6633,0.039328,1
30,3,100,985,314.57,0.0726002,1
31,3,100,1069,332.788,0.0752922,1
32,3,100,1451,59.2449,0.0510961,1
33,3,100,923,202.42,0.0929493,1
34,3,100,885,200.03,0.0882413,1
35,3,100,1470,385.74,0.0746001,1
36,3,100,1470,86,0.0784684,1
37,3,100,1738,109.818,0.0647356,1
38,3,100,1749,342.34,0.0855756,1
39,3,100,1346,268.01,0.0813223,1
40,3,120,1043,93.3362,0.0507237,1
41,3,120,1043,121.008,0.0540942,1
42,3,120,1003,310.258,0.0646852,1
43,3,120,1021,183.783,0.0533039,1
44,3,120,1361,85.359,0.0738296,1
45,3,120,1438,143.875,0.0719714,1
46,3,120,1295,224.731,0.0867824,1
47,3,120,1372,357.875,0.0901133,1
48,3,120,1152,47.6017,0.0734858,1
49,3,120,1655,174.192,0.0946454,1
50,3,120,1619,196.725,0.102007,1
51,3,120,1487,341.9,0.13606,1
52,3,120,1338,45.0625,0.120143,1
53,3,120,1583,130.342,0.139716,1
54,3,120,2138,282.383,0.109772,1
55,3,120,1466,342.686,0.133036,1
56,3,120,2517,105.083,0.109316,1
57,3,120,2485,131.025,0.0980911,1
58,3,120,1343,121.358,0.153097,1
59,3,120,2485,282.025,0.113713,1
60,3,140,425,31.3836,0.105756,1
61,3,140,1467,179.971,0.0961485,1
62,3,140,562,180.593,0.131405,1
