index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,80,480,100.263,0.0402652,1
1,3,80,382,258.981,0.0215421,1
2,3,80,469,326.436,0.0274076,1
3,3,80,227,89.0278,0.0287448,1
4,3,80,409,194.531,0.0261193,1
5,3,80,280,91.2419,0.0323304,1
6,3,80,409,423.548,0.0265342,1
7,3,80,524,407.015,0.0431663,1
8,3,80,728,171.73,0.0477974,1
9,3,80,782,140.687,0.05784,1
10,3,80,462,390.977,0.0315391,1
11,3,80,672,385.207,0.047564,1
12,3,80,642,16.1961,0.0347045,1
13,3,80,911,94.629,0.103571,1
14,3,80,383,138.243,0.0527681,1
15,3,80,522,426.034,0.0478593,1
16,3,80,646,157.083,0.0571532,1
17,3,80,1120,193.115,0.121018,1
18,3,80,982,324.175,0.0946988,1
19,3,80,940,171.865,0.114655,1
20,3,100,673,134.179,0.0509882,1
21,3,100,742,188.039,0.0527514,1
22,3,100,461,157.948,0.0461217,1
23,3,100,725,298.25,0.0630075,1
24,3,100,640,59.4937,0.0592061,1
25,3,100,942,185.547,0.0460616,1
26,3,100,391,209.813,0.0530208,1
27,3,100,1000,372.893,0.0882374,1
28,3,100,528,68.4138,0.0618392,1
29,3,100,1008,70.1011,0.105586,1
30,3,100,985,459.016,0.0942801,1
31,3,100,1069,375.116,0.189277,1
32,3,100,1451,83.9254,0.135329,1
33,3,100,923,351.673,0.0991378,1
34,3,100,885,253.671,0.0946302,1
35,3,100,1470,435.446,0.211956,1
36,3,100,1470,99,0.354644,1
37,3,100,1738,123.818,0.327791,1
38,3,100,1749,419.227,0.238866,1
39,3,100,1346,284.844,0.227114,1
40,3,120,1043,128.893,0.0698801,1
41,3,120,1043,137.143,0.0714562,1
42,3,120,1003,398.67,0.100626,1
43,3,120,1021,200.824,0.111296,1
44,3,120,1361,101.165,0.239715,1
45,3,120,1438,167.621,0.198568,1
46,3,120,1295,254.695,0.184074,1
47,3,120,1372,460.833,0.153105,1
48,3,120,1152,81.4058,0.0930935,1
49,3,120,1655,239.941,0.216563,1
50,3,120,1619,227.49,0.244709,1
51,3,120,1487,375.81,0.305189,1
52,3,120,1338,53.8256,0.136707,1
53,3,120,1583,213.139,0.265389,1
54,3,120,2138,328.802,0.410071,1
55,3,120,1466,372.455,0.590859,1
56,3,120,2517,157.113,0.493765,1
57,3,120,2485,148.467,0.627409,1
58,3,120,1343,124.698,0.286212,1
59,3,120,2485,307.202,0.617118,1
60,3,140,425,35.2683,0.112729,1
61,3,140,1467,244.61,0.176097,1
62,3,140,562,232.324,0.112588,1
63,3,140,1393,293,0.196555,1
64,3,140,1881,94.5424,0.302254,1
65,3,140,614,326.667,0.0860063,1
66,3,140,1351,155.281,0.200917,1
67,3,140,1113,370.876,0.186362,1
68,3,140,1200,168.288,0.145217,1
69,3,140,1969,90.947,0.284801,1
70,3,140,2437,306.879,0.434891,1
71,3,140,1568,400.295,0.817766,1
72,3,140,2594,106.204,0.510173,1
73,3,140,2118,215.439,0.491949,1
74,3,140,1670,169.37,0.423522,1
75,3,140,2073,369.175,0.52683,1
76,3,140,2195,116.69,0.903644,1
77,3,140,2522,192.953,0.906445,1
78,3,140,1609,256.67,0.498281,1
79,3,140,2012,249.746,0.635602,1
80,3,160,979,137.462,0.10557,1
81,3,160,1228,299.079,0.181736,1
82,3,160,1650,322.358,0.273319,1
83,3,160,1918,405.203,0.314902,1
84,3,160,2097,80.4056,0.349413,1
85,3,160,2012,173.523,0.842583,1
86,3,160,1982,106.816,0.390254,1
87,3,160,764,173.89,0.247081,1
88,3,160,1518,86.1818,0.207182,1
89,3,160,3019,206.088,1.16083,1
90,3,160,2552,259.248,1.6053,1
91,3,160,819,84.3506,0.329952,1
92,3,160,983,68.9785,0.356846,1
93,3,160,1382,60.7826,0.366824,1
94,3,160,983,353.639,0.285069,1
95,3,160,3018,373.984,0.856056,1
