index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,80,480,100.263,0.0392843,1
1,3,80,382,258.981,0.0219025,1
2,3,80,469,326.436,0.0276896,1
3,3,80,227,89.0278,0.0290253,1
4,3,80,409,194.531,0.0263079,1
5,3,80,280,91.2419,0.0328054,1
6,3,80,409,423.548,0.0270288,1
7,3,80,524,407.015,0.0430372,1
8,3,80,728,171.73,0.0479463,1
9,3,80,782,140.687,0.0585471,1
10,3,80,462,390.977,0.0318391,1
11,3,80,672,385.207,0.0483743,1
12,3,80,642,16.1961,0.0348557,1
13,3,80,911,94.629,0.10286,1
14,3,80,383,138.243,0.0540349,1
15,3,80,522,426.034,0.0475675,1
16,3,80,646,157.083,0.0579454,1
17,3,80,1120,193.115,0.122837,1
18,3,80,982,324.175,0.0949812,1
19,3,80,940,171.865,0.115241,1
20,3,100,673,134.179,0.0504502,1
21,3,100,742,188.039,0.054318,1
22,3,100,461,157.948,0.0476141,1
23,3,100,725,298.25,0.0646414,1
24,3,100,640,59.4937,0.0598152,1
25,3,100,942,185.547,0.0464401,1
26,3,100,391,209.813,0.0529525,1
27,3,100,1000,372.893,0.0899048,1
28,3,100,528,68.4138,0.0631234,1
29,3,100,1008,70.1011,0.107821,1
30,3,100,985,459.016,0.0960127,1
31,3,100,1069,375.116,0.192605,1
32,3,100,1451,83.9254,0.135735,1
33,3,100,923,351.673,0.100001,1
34,3,100,885,253.671,0.095796,1
35,3,100,1470,435.446,0.217746,1
36,3,100,1470,99,0.363518,1
37,3,100,1738,123.818,0.33307,1
38,3,100,1749,419.227,0.241871,1
39,3,100,1346,284.844,0.230481,1
40,3,120,1043,128.893,0.0713786,1
41,3,120,1043,137.143,0.0756507,1
42,3,120,1003,398.67,0.101522,1
43,3,120,1021,200.824,0.112376,1
44,3,120,1361,101.165,0.24238,1
45,3,120,1438,167.621,0.199987,1
46,3,120,1295,254.695,0.185638,1
47,3,120,1372,460.833,0.154198,1
48,3,120,1152,81.4058,0.0931319,1
49,3,120,1655,239.941,0.21711,1
50,3,120,1619,227.49,0.245962,1
51,3,120,1487,375.81,0.30501,1
52,3,120,1338,53.8256,0.137228,1
53,3,120,1583,213.139,0.273101,1
54,3,120,2138,328.802,0.414963,1
55,3,120,1466,372.455,0.597644,1
56,3,120,2517,157.113,0.510981,1
57,3,120,2485,148.467,0.649297,1
58,3,120,1343,124.698,0.290056,1
59,3,120,2485,307.202,0.62186,1
60,3,140,425,35.2683,0.113428,1
61,3,140,1467,244.61,0.180901,1
62,3,140,562,232.324,0.113756,1
63,3,140,1393,293,0.199027,1
64,3,140,1881,94.5424,0.305183,1
65,3,140,614,326.667,0.0866054,1
66,3,140,1351,155.281,0.20766,1
67,3,140,1113,370.876,0.192469,1
68,3,140,1200,168.288,0.1505,1
69,3,140,1969,90.947,0.29631,1
70,3,140,2437,306.879,0.447901,1
71,3,140,1568,400.295,0.827183,1
72,3,140,2594,106.204,0.514997,1
73,3,140,2118,215.439,0.498837,1
74,3,140,1670,169.37,0.428971,1
75,3,140,2073,369.175,0.533647,1
76,3,140,2195,116.69,0.910463,1
77,3,140,2522,192.953,0.909568,1
78,3,140,1609,256.67,0.507271,1
79,3,140,2012,249.746,0.63397,1
80,3,160,979,137.462,0.104986,1
81,3,160,1228,299.079,0.18322,1
82,3,160,1650,322.358,0.274632,1
83,3,160,1918,405.203,0.314426,1
84,3,160,2097,80.4056,0.351844,1
85,3,160,2012,173.523,0.851779,1
86,3,160,1982,106.816,0.392741,1
87,3,160,764,173.89,0.253045,1
88,3,160,1518,86.1818,0.210579,1
89,3,160,3019,206.088,1.17286,1
90,3,160,2552,259.248,1.60821,1
91,3,160,819,84.3506,0.333656,1
92,3,160,983,68.9785,0.357156,1
93,3,160,1382,60.7826,0.367592,1
94,3,160,983,353.639,0.288066,1
95,3,160,3018,373.984,0.867477,1
96,3,160,951,39.9038,0.296664,1
97,3,160,4300,166.069,1.75436,1
98,3,160,1430,144.071,0.566541,1
99,3,160,2362,223.182,0.954683,1
100,4,80,183,97.6562,0.0215396,1
101,4,80,278,186.761,0.0217889,1
102,4,80,288,343.684,0.0182459,1
