index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,80,480,122.228,0.0141331,1
1,3,80,382,218.603,0.02417,1
2,3,80,469,295.75,0.0362929,1
3,3,80,227,403.048,0.023922,1
4,3,80,409,101.204,0.0179964,1
5,3,80,280,241.578,0.0231439,1
6,3,80,409,298.696,0.040181,1
7,3,80,524,418.462,0.0448963,1
8,3,80,728,101.558,0.0215853,1
9,3,80,782,168.35,0.0540878,1
10,3,80,462,274.438,0.0509343,1
11,3,80,672,381.1,0.122048,1
12,3,80,642,57.2222,0.0248897,1
13,3,80,911,160.625,0.0636928,1
14,3,80,383,359.1,0.0688836,1
15,3,80,522,449.763,0.150199,1
16,3,80,646,107.756,0.0552493,1
17,3,80,1120,180.8,0.0977826,1
18,3,80,982,278.337,0.150333,1
19,3,80,940,408.513,0.178942,1
20,3,100,673,105.526,0.0217824,1
21,3,100,742,188.49,0.0652174,1
22,3,100,461,270.242,0.0924852,1
23,3,100,725,412.33,0.0905829,1
24,3,100,640,101.609,0.0368912,1
25,3,100,942,268.131,0.109624,1
26,3,100,391,339.74,0.128648,1
27,3,100,1000,378.6,0.181908,1
28,3,100,528,102.608,0.0324015,1
29,3,100,1008,184.04,0.102361,1
30,3,100,985,329.8,0.122795,1
31,3,100,1069,389.53,0.145269,1
32,3,100,1451,91.56,0.11058,1
33,3,100,923,224.73,0.124455,1
34,3,100,885,289.33,0.257597,1
35,3,100,1470,428.17,0.305011,1
36,3,100,1470,90.3775,0.060241,1
37,3,100,1738,192.13,0.212951,1
38,3,100,1749,349.42,0.251907,1
39,3,100,1346,447.55,0.541159,1
40,3,120,1043,118.79,0.080378,1
41,3,120,1043,161.866,0.109527,1
42,3,120,1003,377.892,0.201571,1
43,3,120,1021,341.417,0.231514,1
44,3,120,1361,91.4407,0.0572255,1
45,3,120,1438,213.067,0.180319,1
46,3,120,1295,270,0.207599,1
47,3,120,1372,373.85,0.207481,1
48,3,120,1152,80.2632,0.127558,1
49,3,120,1655,207.658,0.278716,1
50,3,120,1619,279.308,0.484859,1
51,3,120,1487,374.475,0.25599,1
52,3,120,1338,130.627,0.158326,1
53,3,120,1583,169.7,0.268312,1
54,3,120,2138,344.025,0.440795,1
55,3,120,1466,410.383,0.276575,1
56,3,120,2517,107.183,0.195859,1
57,3,120,2485,225.883,0.470379,1
58,3,120,1343,361.417,0.405735,1
59,3,120,2485,402.917,1.01203,1
60,3,140,425,112.896,0.0424934,1
61,3,140,1467,191.521,0.156349,1
62,3,140,562,331.307,0.248395,1
63,3,140,1393,429.229,0.498168,1
64,3,140,1881,110.536,0.137756,1
65,3,140,614,235.557,0.17736,1
66,3,140,1351,327.821,0.552734,1
67,3,140,1113,425.686,0.67129,1
68,3,140,1200,125.156,0.239593,1
69,3,140,1969,214.907,0.290295,1
70,3,140,2437,312.964,0.676974,1
71,3,140,1568,461.414,0.32681,1
72,3,140,2594,107.786,0.381203,1
73,3,140,2118,181.8,0.584507,1
74,3,140,1670,287.057,0.886699,1
75,3,140,2073,462.536,1.62591,1
76,3,140,2195,98.4643,0.167818,1
77,3,140,2522,188.314,0.323382,1
78,3,140,1609,341.55,1.28006,1
79,3,140,2012,441.407,1.64226,1
80,3,160,979,113.1,0.202469,1
81,3,160,1228,204.383,0.242599,1
82,3,160,1650,311.694,0.597764,1
83,3,160,1918,374.775,0.471935,1
84,3,160,2097,140.137,0.250084,1
85,3,160,2012,213.438,0.227549,1
86,3,160,1982,278.763,0.622598,1
87,3,160,764,359.438,0.726287,1
88,3,160,1518,87.3786,0.261816,1
89,3,160,3019,225.919,0.673463,1
90,3,160,2552,315.894,0.460614,1
91,3,160,819,397.836,0.411344,1
92,3,160,983,89.5581,0.260433,1
93,3,160,1382,167.227,0.673302,1
94,3,160,983,313.648,0.951501,1
95,3,160,3018,441.312,2.50295,1
96,3,160,951,108.045,0.267896,1
97,3,160,4300,224.506,1.88228,1
98,3,160,1430,285.812,1.20934,1
99,3,160,2362,382.562,2.64332,1
100,4,80,183,123.36,0.00494363,1
101,4,80,278,226.932,0.022551,1
102,4,80,288,345.487,0.0362004,1
103,4,80,215,446.5,0.0268915,1
104,4,80,283,98.5217,0.0130993,1
105,4,80,550,135.203,0.0360998,1
106,4,80,578,293.062,0.0685557,1
107,4,80,548,432.4,0.0872649,1
108,4,80,370,104.265,0.0178877,1
109,4,80,617,232.835,0.0834232,1
110,4,80,603,285.013,0.0801704,1
111,4,80,501,448.975,0.101089,1
112,4,80,726,74.7533,0.0186013,1
113,4,80,648,183.974,0.0542213,1
114,4,80,690,285.132,0.101988,1
115,4,80,522,367.1,0.107146,1
116,4,80,795,118.838,0.0564048,1
117,4,80,1028,205.175,0.135066,1
118,4,80,951,303.013,0.16983,1
119,4,80,682,365.65,0.178785,1
120,4,100,592,117.755,0.036168,1
121,4,100,537,192.298,0.0658666,1
122,4,100,456,212.134,0.0561852,1
123,4,100,445,393.273,0.118089,1
124,4,100,953,99.0808,0.0514486,1
125,4,100,555,229.434,0.0646024,1
126,4,100,835,289.74,0.103999,1
127,4,100,754,372.29,0.141516,1
128,4,100,687,80.4444,0.0578959,1
129,4,100,961,202,0.13214,1
130,4,100,688,357.96,0.17485,1
131,4,100,1098,395.54,0.395957,1
132,4,100,709,87.3684,0.0640949,1
133,4,100,1188,210.58,0.254552,1
134,4,100,1183,268.17,0.265297,1
135,4,100,1116,449.89,0.405152,1
136,4,100,1635,108.43,0.153157,1
137,4,100,644,187.174,0.0767246,1
138,4,100,1376,296.08,0.40416,1
139,4,100,1369,373.62,0.384296,1
140,4,120,741,71.7636,0.0774105,1
141,4,120,746,217.302,0.144024,1
142,4,120,717,277.542,0.140697,1
143,4,120,968,414.925,0.336892,1
144,4,120,770,131.526,0.0975758,1
145,4,120,678,227.686,0.10885,1
146,4,120,1023,342.192,0.385073,1
147,4,120,1062,440.429,0.293499,1
148,4,120,1459,117.695,0.170174,1
149,4,120,1383,188.773,0.184107,1
150,4,120,1190,262.592,0.20877,1
151,4,120,1589,339.042,0.642459,1
152,4,120,1512,127.336,0.284449,1
153,4,120,861,217.792,0.149244,1
154,4,120,1704,307.792,0.708312,1
155,4,120,1679,464.242,1.1226,1
156,4,120,1582,92.6991,0.212829,1
157,4,120,861,197.317,0.201678,1
158,4,120,1644,294.533,0.449892,1
159,4,120,1745,391.975,1.01307,1
160,4,140,1150,73.4851,0.13053,1
161,4,140,923,219.709,0.148145,1
162,4,140,990,358.843,0.429675,1
