index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,80,480,162.464,0.00254306,1
1,3,80,382,418.417,0.00321475,1
2,3,80,469,429.75,0.00461241,1
3,3,80,227,403.048,0.00384135,1
4,3,80,409,194.531,0.00176171,1
5,3,80,280,300.867,0.00265377,1
6,3,80,409,475.257,0.0046075,1
7,3,80,524,475.661,0.00640574,1
8,3,80,728,181.907,0.00262028,1
9,3,80,782,199.881,0.00513677,1
10,3,80,462,466.714,0.00491914,1
11,3,80,672,484.089,0.00798368,1
12,3,80,642,74,0.0019855,1
13,3,80,911,204.471,0.00495572,1
14,3,80,383,383.04,0.00451826,1
15,3,80,522,566.679,0.00580075,1
16,3,80,646,190.2,0.00407528,1
17,3,80,1120,229.148,0.0063829,1
18,3,80,982,353.964,0.00769753,1
19,3,80,940,444.671,0.00802323,1
20,3,100,673,136.284,0.00317609,1
21,3,100,742,254.704,0.00576327,1
22,3,100,461,341.083,0.00656372,1
23,3,100,725,461.152,0.0104962,1
24,3,100,640,125.412,0.00324548,1
25,3,100,942,343.75,0.00857208,1
26,3,100,391,410.675,0.00677185,1
27,3,100,1000,430.253,0.0127358,1
28,3,100,528,129.26,0.00247629,1
29,3,100,1008,217.9,0.00821294,1
30,3,100,985,483.984,0.0103781,1
31,3,100,1069,439.226,0.0153246,1
32,3,100,1451,133.925,0.00505363,1
33,3,100,923,394.577,0.00750296,1
34,3,100,885,369.933,0.0103792,1
35,3,100,1470,483.349,0.0207236,1
36,3,100,1470,104.86,0.00530436,1
37,3,100,1738,223.214,0.00989014,1
38,3,100,1749,428.474,0.0173611,1
39,3,100,1346,466.979,0.0218901,1
40,3,120,1043,175.207,0.00588867,1
41,3,120,1043,184.109,0.00804449,1
42,3,120,1003,484.36,0.015125,1
43,3,120,1021,390.768,0.0171594,1
44,3,120,1361,107.022,0.00573975,1
45,3,120,1438,254.623,0.0115891,1
46,3,120,1295,304.365,0.0143529,1
47,3,120,1372,480.977,0.0210899,1
48,3,120,1152,137.344,0.00675443,1
49,3,120,1655,287.726,0.0138285,1
50,3,120,1619,327.111,0.0219618,1
51,3,120,1487,409.142,0.0241392,1
52,3,120,1338,156.185,0.00702318,1
53,3,120,1583,279.169,0.0100498,1
54,3,120,2138,402.04,0.0249094,1
55,3,120,1466,441.495,0.0244539,1
56,3,120,2517,160.262,0.0099631,1
57,3,120,2485,256.876,0.0121751,1
58,3,120,1343,370.684,0.018036,1
59,3,120,2485,442.349,0.030205,1
60,3,140,425,137.984,0.00291016,1
61,3,140,1467,260.78,0.0137604,1
62,3,140,562,409.245,0.0100851,1
63,3,140,1393,461.81,0.0294457,1
64,3,140,1881,130.476,0.0100902,1
65,3,140,614,466.846,0.0110985,1
66,3,140,1351,376.189,0.0228505,1
