index,nrLayers,nrNodes,nrEdges,objectiveValue,timeElapsed,solvedToCompletion
0,3,80,480,162.464,0.00280807,1
1,3,80,382,418.417,0.00361522,1
2,3,80,469,429.75,0.00418999,1
3,3,80,227,403.048,0.00343911,1
4,3,80,409,194.531,0.00162363,1
5,3,80,280,300.867,0.00238965,1
6,3,80,409,475.257,0.00420592,1
7,3,80,524,475.661,0.00607346,1
8,3,80,728,181.907,0.00254037,1
9,3,80,782,199.881,0.00504693,1
10,3,80,462,466.714,0.00435999,1
11,3,80,672,484.089,0.0077056,1
12,3,80,642,74,0.00186691,1
13,3,80,911,204.471,0.004918,1
14,3,80,383,383.04,0.00417212,1
15,3,80,522,566.679,0.00575249,1
16,3,80,646,190.2,0.00338295,1
17,3,80,1120,229.148,0.00598822,1
18,3,80,982,353.964,0.00685926,1
19,3,80,940,444.671,0.00764101,1
20,3,100,673,136.284,0.00307439,1
21,3,100,742,254.704,0.00533706,1
22,3,100,461,341.083,0.00622923,1
23,3,100,725,461.152,0.00972649,1
24,3,100,640,125.412,0.00299543,1
25,3,100,942,343.75,0.00794644,1
26,3,100,391,410.675,0.00653908,1
27,3,100,1000,430.253,0.0119352,1
28,3,100,528,129.26,0.00236976,1
29,3,100,1008,217.9,0.00782846,1
30,3,100,985,483.984,0.00995087,1
31,3,100,1069,439.226,0.0145137,1
32,3,100,1451,133.925,0.00462505,1
33,3,100,923,394.577,0.0072153,1
34,3,100,885,369.933,0.00974165,1
35,3,100,1470,483.349,0.0196358,1
36,3,100,1470,104.86,0.0050538,1
37,3,100,1738,223.214,0.00964304,1
38,3,100,1749,428.474,0.0161323,1
39,3,100,1346,466.979,0.0204615,1
40,3,120,1043,175.207,0.00594142,1
41,3,120,1043,184.109,0.00788723,1
42,3,120,1003,484.36,0.0142081,1
43,3,120,1021,390.768,0.0164866,1
44,3,120,1361,107.022,0.00543824,1
45,3,120,1438,254.623,0.0110778,1
46,3,120,1295,304.365,0.0137405,1
47,3,120,1372,480.977,0.0201474,1
48,3,120,1152,137.344,0.00668313,1
49,3,120,1655,287.726,0.0131377,1
50,3,120,1619,327.111,0.0214088,1
51,3,120,1487,409.142,0.0228043,1
52,3,120,1338,156.185,0.00666566,1
53,3,120,1583,279.169,0.00974821,1
54,3,120,2138,402.04,0.0237192,1
55,3,120,1466,441.495,0.0231617,1
56,3,120,2517,160.262,0.00952243,1
57,3,120,2485,256.876,0.0116403,1
58,3,120,1343,370.684,0.017488,1
59,3,120,2485,442.349,0.0289203,1
60,3,140,425,137.984,0.00289666,1
61,3,140,1467,260.78,0.0133371,1
62,3,140,562,409.245,0.0140083,1
63,3,140,1393,461.81,0.0329143,1
64,3,140,1881,130.476,0.0101995,1
65,3,140,614,466.846,0.0112352,1
66,3,140,1351,376.189,0.0226385,1
67,3,140,1113,513.303,0.027277,1
68,3,140,1200,223.328,0.00919166,1
69,3,140,1969,227.932,0.0160622,1
70,3,140,2437,366.284,0.0289383,1
71,3,140,1568,475.324,0.0303653,1
72,3,140,2594,146.136,0.00960351,1
73,3,140,2118,300.927,0.013903,1
74,3,140,1670,325.393,0.0206832,1
75,3,140,2073,539.28,0.0263109,1
76,3,140,2195,112.455,0.0140913,1
77,3,140,2522,204.906,0.0223066,1
78,3,140,1609,421.741,0.0253932,1
79,3,140,2012,490.452,0.0337481,1
80,3,160,979,240.154,0.0085353,1
81,3,160,1228,367.75,0.0164302,1
82,3,160,1650,399.109,0.0291287,1
83,3,160,1918,440.008,0.0383867,1
84,3,160,2097,156.94,0.0134806,1
85,3,160,2012,219,0.0218978,1
86,3,160,1982,287.755,0.0349942,1
87,3,160,764,395.625,0.0206253,1
88,3,160,1518,144.644,0.00762385,1
89,3,160,3019,261.646,0.0284434,1
90,3,160,2552,333.42,0.0355993,1
91,3,160,819,405.487,0.0206205,1
92,3,160,983,122.904,0.00550234,1
93,3,160,1382,192.442,0.0162407,1
94,3,160,983,464.112,0.024316,1
95,3,160,3018,527.333,0.0719801,1
96,3,160,951,120.084,0.00693073,1
97,3,160,4300,272.244,0.0264159,1
98,3,160,1430,319.79,0.021877,1
99,3,160,2362,413.581,0.0501901,1
100,4,80,183,204,0.00120407,1
101,4,80,278,307.375,0.00344173,1
102,4,80,288,426.571,0.00449464,1
103,4,80,215,518.12,0.00534978,1
104,4,80,283,203.722,0.00218868,1
105,4,80,550,171.517,0.00341801,1
106,4,80,578,343.226,0.00478864,1
107,4,80,548,465.78,0.00693455,1
108,4,80,370,158.256,0.0032732,1
109,4,80,617,258.029,0.00440126,1
110,4,80,603,340.062,0.00633276,1
111,4,80,501,477.38,0.00848863,1
112,4,80,726,92.8387,0.00275978,1
113,4,80,648,203.113,0.00498805,1
114,4,80,690,322.851,0.00681877,1
115,4,80,522,419.594,0.00994557,1
116,4,80,795,174.926,0.00401877,1
117,4,80,1028,218.853,0.00630243,1
118,4,80,951,327.37,0.00546045,1
119,4,80,682,400.712,0.0114866,1
120,4,100,592,156.188,0.00469717,1
121,4,100,537,250.953,0.00574323,1
122,4,100,456,283.524,0.00774972,1
123,4,100,445,409.903,0.00839946,1
124,4,100,953,140.909,0.00424742,1
125,4,100,555,249.494,0.00633788,1
126,4,100,835,358.829,0.0093775,1
127,4,100,754,386.927,0.0106201,1
128,4,100,687,118.661,0.00565557,1
129,4,100,961,224.126,0.0082011,1
130,4,100,688,372.875,0.0103839,1
131,4,100,1098,423.356,0.0157805,1
132,4,100,709,147.259,0.0040364,1
133,4,100,1188,255.513,0.00727853,1
134,4,100,1183,314.35,0.0111582,1
135,4,100,1116,460.411,0.013989,1
136,4,100,1635,129.507,0.00692621,1
137,4,100,644,243,0.00916921,1
138,4,100,1376,356.753,0.0104337,1
139,4,100,1369,416.448,0.0158981,1
140,4,120,741,89.6786,0.00689447,1
141,4,120,746,267.659,0.0143985,1
142,4,120,717,305.159,0.012128,1
